branch,tree,date,parent,order,bearing,opp_length_cm,declination,length_cm,diameter_mm,root_dia,twigs,spurs,scars
127,15,68,113,4,250,,25,10.5,32.6
128,15,68,127,5,160,,40,107,11.4
129,15,68,127,4,250,,20,10,27.3
130,15,68,129,5,170,,50,65,8
131,15,68,129,5,250,,50,88,12.7
132,15,68,139,5,330,,35,6.5,19.4
133,15,72,132,5,0,,20,61,12.6
134,15,72,133,6,300,,55,84,11.7
135,15,72,139,5,220,,20,33,6.4
136,15,72,139,4,220,,10,4.5,16.9
137,15,72,136,5,170,,50,75,8.1
138,15,72,136,4,220,,10,87,10
139,15,72,129,4,240,,25,21.5,25.5
140,15,72,42,2,120,,55,38,65.1
141,15,72,140,3,60,,0,38,8.4
142,15,72,140,2,150,,20,51,59.4
143,15,72,142,3,60,,0,104,13.7
144,15,72,142,3,200,,35,170,17.8
145,15,72,142,2,140,,50,31.5,53.1
146,15,72,6,4,,,,43,27.7
147,15,72,6,3,310,,45,35,91
148,15,72,147,4,140,,20,37,30.3
149,15,72,157,5,80,,0,38.5,8.5
150,15,72,158,4,180,,0,23.5,13.8
151,15,72,148,5,90,,35,67,6.4
152,15,72,148,4,150,,20,24,26.1
153,15,72,152,5,70,,35,31,5.1
154,15,72,152,4,150,,15,15,24.3
155,15,72,163,5,90,,5,89.5,9.5
156,15,72,163,5,180,,-35,52,6.6
157,15,72,163,4,140,,15,36.5,18.3
158,15,72,157,4,180,,0,8,15.5
159,15,72,158,5,270,,45,13.5,6
160,15,72,150,5,110,,35,54,6.7
161,15,72,150,4,210,,5,31,9.7
162,15,72,154,5,0,,90,41,6.2
163,15,72,154,4,150,,20,12,23.5
164,15,72,145,3,180,,0,77,11.9
165,15,72,145,2,140,,60,11,53.9
166,15,72,165,3,250,,20,65,10.4
167,15,72,165,3,70,,30,68,32.5
168,15,72,165,2,120,,65,73,35.8
169,15,72,168,3,10,,40,64,9.6
170,15,72,168,2,120,,75,21,36.5
171,15,72,170,3,300,,40,65.5,11.7
172,15,72,170,3,200,,20,63.5,10.8
173,15,72,170,3,90,,0,86,8.3
174,15,72,170,3,120,,-25,44.5,8.2
175,15,72,170,3,80,,15,66,10.3
176,15,72,170,2,120,,75,27.5,21.8
177,15,72,176,3,120,,75,67,12.3
178,15,72,176,3,40,,30,66,10.3
179,15,72,167,4,240,,60,70,11.1
180,15,72,167,4,20,,35,130,9
181,15,72,167,4,110,,0,126.5,9
182,15,72,167,3,90,,45,45.5,22
183,15,72,182,4,30,,25,42,10.7
184,15,72,182,3,120,,15,81.5,11.5
185,15,72,182,4,120,,-10,67,7.5
186,15,73,73,2,0,,50,88,98
187,15,73,186,3,60,,45,29,32
188,15,73,187,4,120,,25,171,16.6
189,15,73,186,2,10,,75,51,92.8
190,15,73,189,3,80,,30,60,56.4
191,15,73,190,4,180,,45,29,32.3
192,15,73,191,5,120,,25,95.5,12.1
193,15,73,191,4,180,,50,29,25.4
194,15,73,193,5,290,,15,49,7.9
195,15,73,193,4,160,,45,12.5,22.8
196,15,73,195,5,230,,25,51,10
197,15,73,195,4,150,,30,141.5,13.6
198,15,73,190,3,80,,65,19,51.7
199,15,73,198,4,100,,15,87,11.3
200,15,73,198,3,80,,65,18.5,46.8
201,15,73,200,4,100,,30,39,41
202,15,73,201,5,110,,0,102,9.4
203,15,73,201,4,90,,45,40,31
204,15,73,203,5,340,,45,75,11.3
205,15,73,203,4,110,,45,31.5,24
206,15,73,205,5,190,,15,56,8.8
207,15,73,205,5,140,,0,86.5,8
208,15,73,205,5,20,,0,56,6.4
209,15,73,205,4,90,,55,117,1.2
210,15,73,189,2,,,,19.5,84.5
211,15,73,210,3,50,,35,70,44.3
212,15,73,211,4,350,,10,95,16
213,15,73,211,4,30,,40,39,39.3
214,15,73,213,5,120,,20,118,12.2
215,15,73,213,4,10,,50,25,28.8
216,15,73,215,5,240,,80,41,8.7
