"[0, 0]","[0, 93]","[0, 0]",180
"[0, -21.217622392718749]","[93, 105.25]","[0, -21.217622392718745]",107.0
"[0, 22.5]","[93, 93.0]","[0, 22.5]",178.0
"[22.5, 1.0507555926686116]","[93.0, 110.9980530712231]","[22.5, 17.637851025325951]",125.0
"[1.0507555926686116, -86.598513146253509]","[110.9980530712231, 172.37073176078502]","[17.637851025325951, 123.01228059763221]",60.299999999999997
"[1.0507555926686116, -11.625561377017309]","[110.9980530712231, 182.8890190411143]","[17.637851025325951, -29.285644481791437]",92.0
"[-11.625561377017309, -59.70974058520973]","[182.8890190411143, 215.32220744241761]","[-29.285644481791437, -19.214050177109499]",23.899999999999999
"[-59.70974058520973, -84.70974058520973]","[215.32220744241761, 215.32220744241761]","[-19.214050177109499, -36.891719706773188]",5.5
"[-59.70974058520973, -82.922792616750897]","[215.32220744241761, 230.97960873959852]","[-19.214050177109499, -19.214050177109502]",12.0
"[-82.922792616750897, -123.9227926167509]","[230.97960873959852, 230.97960873959852]","[-19.214050177109502, 16.292991378052474]",6.4000000000000004
"[-123.9227926167509, -113.9227926167509]","[230.97960873959852, 230.97960873959852]","[16.292991378052474, 26.25493835896993]",2.6000000000000001
"[-123.9227926167509, -139.92279261675088]","[230.97960873959852, 230.97960873959852]","[16.292991378052474, 30.149397838603488]",2.0
"[-84.70974058520973, -104.70974058520973]","[215.32220744241761, 215.32220744241761]","[-36.891719706773188, -51.033855330504139]",6.7000000000000002
"[-21.217622392718749, -71.217622392718752]","[105.25, 105.25]","[-21.217622392718745, -71.217622392718738]",37.0
"[-71.217622392718752, -92.717622392718752]","[105.25, 105.25]","[-71.217622392718738, -71.217622392718738]",11.4
"[-82.922792616750897, -54.945538004299948]","[230.97960873959852, 208.32407466180436]","[-19.214050177109502, -1.2140501771094989]",2.8999999999999999
"[-82.922792616750897, -55.522340346684302]","[230.97960873959852, 271.60244979479558]","[-19.214050177109502, 5.2859498228905046]",4.7999999999999998
