Tree,Position,Branch,No.,Dry Weight [g],Area [mm^2],Perimeter [mm],SLA [cm^2/g],,
6,D,1,4,0.1365,,,,,
6,D,1,5,0.0588,,,,,
6,D,1,6,0.2962,,,,,
6,D,1,7,0.0272,,,,,
6,D,2,8,0.1352,,,,,
6,D,2,9,0.097,,,,,
6,D,2,10,0.0381,,,,,
6,D,2,11,0.0125,,,,,
6,D,2,12,0.0494,,,,,
6,D,2,13,0.0736,,,,,
6,D,2,14,0.2633,,,,,
6,D,2,15,0.1474,,,,,
6,L,1,1,0.1666,,,,,
6,L,1,2,0.1477,,,,,
6,L,1,3,0.0754,,,,,
6,L,1,4,0.1943,,,,,
6,L,1,5,0.0783,,,,,
6,L,1,6,0.3227,,,,,
6,L,1,7,0.1323,,,,,
6,L,2,8,0.0899,,,,,
6,L,2,9,0.0972,,,,,
6,L,2,10,0.2193,,,,,
6,L,2,11,0.2461,,,,,
6,L,2,12,0.2179,,,,,
6,L,2,13,0.3126,,,,,
6,L,2,14,0.2413,,,,,
6,L,2,15,0.1131,,,,,
7,D,1,1,0.1507,,,,,
7,D,1,2,0.2243,,,,,
7,D,1,3,0.1957,,,,,
7,D,1,4,0.1873,,,,,
7,D,1,5,0.2399,,,,,
7,D,1,6,0.053,,,,,
7,D,1,7,0.025,,,,,
7,D,1,8,0.1898,,,,,
7,D,2,9,0.2266,,,,,
7,D,2,10,0.2254,,,,,
7,D,2,11,0.1557,,,,,
7,D,2,12,0.1662,,,,,
7,D,2,13,0.0893,,,,,
7,D,2,14,0.224,,,,,
7,D,2,15,0.0618,,,,,
7,L,1,1,0.1628,,,,,
7,L,1,2,0.1156,,,,,
7,L,1,3,0.0261,,,,,
7,L,1,4,0.2285,,,,,
7,L,1,5,0.1047,,,,,
7,L,1,6,0.0827,,,,,
7,L,1,7,0.205,,,,,
7,L,1,8,0.315,,,,,
7,L,2,9,0.0566,,,,,
7,L,2,10,0.2046,,,,,
7,L,2,11,0.1492,,,,,
7,L,2,12,0.3034,,,,,
7,L,2,13,0.3168,,,,,
7,L,2,14,0.2635,,,,,
7,L,2,15,0.03052,,,,,
8,D,1,1,0.1951,,,,,
8,D,1,2,0.1532,,,,,
8,D,1,3,0.1203,,,,,
8,D,1,4,0.1763,,,,,
8,D,1,5,0.0473,,,,,
8,D,1,6,0.0672,,,,,
8,D,1,7,0.1349,,,,,
8,D,1,8,0.0408,,,,,
8,D,2,9,0.058,,,,,
8,D,2,10,0.247,,,,,
8,D,2,11,0.1092,,,,,
8,D,2,12,0.112,,,,,
8,D,2,13,0.1325,,,,,
8,D,2,14,0.2342,,,,,
8,D,2,15,0.209,,,,,
8,L,,1,0.0753,,,,,
8,L,,2,0.1497,,,,,
8,L,,3,0.1964,,,,,
8,L,,4,0.2358,,,,,
8,L,,5,0.308,,,,,
8,L,,6,0.2351,,,,,
8,L,,7,0.2271,,,,,
8,L,1,8,0.0439,,,,,
8,L,2,9,0.2248,,,,,
8,L,2,10,0.2295,,,,,
8,L,2,11,0.0633,,,,,
8,L,2,12,0.2382,,,,,
8,L,2,13,0.0336,,,,,
8,L,2,14,0.2893,,,,,
8,L,2,15,0.2032,,,,,
9,D,,1,0.3213,,,,,
9,D,,2,0.1406,,,,,
9,D,,3,0.0771,,,,,
9,D,,4,0.2234,,,,,
9,D,,5,0.2748,,,,,
9,D,,6,0.0442,,,,,
9,D,1,7,0.0634,,,,,
9,D,2,8,0.1023,,,,,
9,D,2,9,0.0381,,,,,
9,D,2,10,0.181,,,,,
9,D,2,11,0.0671,,,,,
9,D,2,12,0.1186,,,,,
9,D,2,13,0.0363,,,,,
9,D,2,14,0.2106,,,,,
9,D,2,15,0.1463,,,,,
9,L,1,1,0.203,,,,,
9,L,1,2,0.1857,,,,,
9,L,1,3,0.2841,,,,,
9,L,1,4,0.1157,,,,,
9,L,1,5,0.0932,,,,,
9,L,1,6,0.0432,,,,,
9,L,1,7,0.0603,,,,,
9,L,1,8,0.0813,,,,,
9,L,2,9,0.2408,,,,,
9,L,2,10,0.1567,,,,,
9,L,2,11,0.2032,,,,,
9,L,2,12,0.164,,,,,
9,L,2,13,0.0918,,,,,
9,L,2,14,0.12,,,,,
9,L,2,15,0.0497,,,,,
10,D,1,1,0.2121,,,,,
10,D,1,2,0.0963,,,,,
10,D,1,3,0.088,,,,,
10,D,1,4,504,,,,,
10,D,1,5,0.0889,,,,,
10,D,1,6,0.338,,,,,
10,D,1,7,0.0747,,,,,
10,D,1,8,0.3899,,,,,
10,D,2,9,0.0648,,,,,
10,D,2,10,0.2002,,,,,
10,D,2,11,0.1849,,,,,
10,D,2,12,0.1073,,,,,
10,D,2,13,0.044,,,,,
10,D,2,14,0.0987,,,,,
10,D,2,15,0.1434,,,,,
10,L,1,1,0.1229,,,,,
10,L,1,2,0.1595,,,,,
10,L,1,3,0.1588,,,,,
10,L,1,4,0.0635,,,,,
10,L,1,5,0.0764,,,,,
10,L,1,6,0.2059,,,,,
10,L,1,7,0.2621,,,,,
10,L,1,8,0.0679,,,,,
10,L,2,9,0.0681,,,,,
10,L,2,10,0.2158,,,,,
10,L,2,11,0.2364,,,,,
10,L,2,12,0.205,,,,,
10,L,2,13,0.0497,,,,,
10,L,2,14,0.1383,,,,,
10,L,2,15,0.0645,,,,,
11,D,1,1,0.2664,,,,,
11,D,1,2,0.1106,,,,,
11,D,1,3,0.083,,,,,
11,D,1,4,0.0584,,,,,
11,D,1,5,0.1077,,,,,
11,D,1,6,0.0346,,,,,
11,D,1,7,0.1226,,,,,
11,D,1,8,0.2677,,,,,
11,D,2,9,0.145,,,,,
11,D,2,10,0.0617,,,,,
11,D,2,11,0.0486,,,,,
11,D,2,12,0.1939,,,,,
11,D,2,13,0.0635,,,,,
11,D,2,14,0.0633,,,,,
11,D,2,15,0.0475,,,,,
11,L,1,1,0.1378,,,,,
11,L,1,2,0.0739,,,,,
11,L,1,3,0.1102,,,,,
11,L,1,4,0.2085,,,,,
11,L,1,5,0.2466,,,,,
11,L,1,6,0.131,,,,,
11,L,1,7,0.0915,,,,,
11,L,1,8,0.1011,,,,,
11,L,2,9,0.1929,,,,,
11,L,2,10,0.0483,,,,,
11,L,2,11,0.095,,,,,
11,L,2,12,0.1218,,,,,
11,L,2,13,0.0308,,,,,
11,L,2,14,0.2153,,,,,
11,L,2,15,0.2272,,,,,
12,D,1,1,0.2687,,,,,
12,D,1,2,0.425,,,,,
12,D,1,3,0.2044,,,,,
12,D,1,4,0.3015,,,,,
12,D,1,5,0.2394,,,,,
12,D,1,6,0.3075,,,,,
12,D,1,7,0.3191,,,,,
12,D,2,8,0.1313,,,,,
12,D,2,9,0.2746,,,,,
12,D,2,10,0.3613,,,,,
12,D,2,11,0.2013,,,,,
12,D,2,12,0.174,,,,,
12,D,2,13,0.211,,,,,
12,D,2,14,0.111,,,,,
12,D,2,15,0.2499,,,,,
12,L,1,1,0.1722,,,,,
12,L,1,2,0.2606,,,,,
12,L,1,3,0.0831,,,,,
12,L,1,4,0.112,,,,,
12,L,1,5,0.0764,,,,,
12,L,1,6,0.1464,,,,,
12,L,1,7,0.2254,,,,,
12,L,2,8,0.1153,,,,,
12,L,2,9,0.0999,,,,,
12,L,2,10,0.3053,,,,,
12,L,2,11,0.1667,,,,,
12,L,3,12,0.1178,,,,,
12,L,3,13,0.2013,,,,,
12,L,3,14,0.088,,,,,
12,L,3,15,0.031,,,,,
13,D,0,1,0.1534,,,,,
13,D,,2,0.093,,,,,
13,D,,3,0.1317,,,,,
13,D,,4,0.0924,,,,,
13,D,,5,0.021,,,,,
13,D,,6,0.1189,,,,,
13,D,,7,0.2737,,,,,
13,D,,8,0.0747,,,,,
13,D,,9,0.0493,,,,,
13,D,,10,0.0784,,,,,
13,D,,11,0.0665,,,,,
13,D,,12,0.1598,,,,,
13,D,,13,0.189,,,,,
13,D,,14,0.159,,,,,
13,D,,15,0.1785,,,,,
13,L,,1,0.0329,,,,,
13,L,,2,0.1938,,,,,
13,L,,3,0.0802,,,,,
13,L,,4,0.2358,,,,,
13,L,,5,0.1592,,,,,
13,L,,6,0.195,,,,,
13,L,,7,0.0218,,,,,
13,L,,8,0.1091,,,,,
13,L,,9,0.0751,,,,,
13,L,,10,0.2596,,,,,
13,L,,11,0.2719,,,,,
13,L,,12,0.2818,,,,,
13,L,,13,0.1524,,,,,
13,L,,14,0.2136,,,,,
13,L,,15,0.1843,,,,,
14,D,,1,0.213,,,,,
14,D,,2,0.1389,,,,,
14,D,,3,0.0889,,,,,
14,D,,4,0.1321,,,,,
14,D,,5,0.0749,,,,,
14,D,,6,0.0352,,,,,
14,D,,7,0.1697,,,,,
14,D,1,8,0.0425,,,,,
14,D,2,9,0.1104,,,,,
14,D,2,10,0.2497,,,,,
14,D,2,11,0.1484,,,,,
14,D,2,12,0.1371,,,,,
14,D,2,13,0.1085,,,,,
14,D,2,14,0.059,,,,,
14,D,2,15,0.2886,,,,,
14,L,1,1,0.1237,,,,,
14,L,1,2,0.104,,,,,
14,L,1,3,0.0435,,,,,
14,L,1,4,0.298,,,,,
14,L,1,5,0.2799,,,,,
14,L,1,6,0.277,,,,,
14,L,1,7,0.1176,,,,,
14,L,1,8,0.2854,,,,,
14,L,2,9,0.1052,,,,,
14,L,2,10,0.1065,,,,,
14,L,2,11,0.2303,,,,,
14,L,2,12,0.2378,,,,,
14,L,2,13,0.0303,,,,,
14,L,2,14,0.2177,,,,,
14,L,2,15,0.0867,,,,,
15,D,1,1,0.1603,,,,,
15,D,1,2,0.0609,,,,,
15,D,1,3,0.0881,,,,,
15,D,1,4,0.0938,,,,,
15,D,1,5,0.161,,,,,
15,D,1,6,0.2628,,,,,
15,D,1,7,0.1624,,,,,
15,D,2,8,0.136,,,,,
15,D,2,9,0.1757,,,,,
15,D,2,10,0.1105,,,,,
15,D,2,11,0.1193,,,,,
15,D,2,12,0.1108,,,,,
15,D,2,13,0.2528,,,,,
15,D,2,14,0.1321,,,,,
15,D,2,15,0.0164,,,,,
15,L,1,1,0.2538,,,,,
15,L,1,2,0.0244,,,,,
15,L,1,3,0.1181,,,,,
15,L,1,4,0.1157,,,,,
15,L,1,5,0.2107,,,,,
15,L,1,6,0.0836,,,,,
15,L,1,7,0.1882,,,,,
15,L,1,8,0.2877,,,,,
15,L,2,9,0.2999,,,,,
15,L,2,10,0.3112,,,,,
15,L,2,11,0.0578,,,,,
15,L,2,12,0.0712,,,,,
15,L,2,13,0.1718,,,,,
15,L,2,14,0.3416,,,,,
15,L,2,15,0.3554,,,,,
16,D,1,1,0.2252,,,,,
16,D,1,2,0.0798,,,,,
16,D,1,3,0.3731,,,,,
16,D,1,4,0.059,,,,,
16,D,1,5,0.0966,,,,,
16,D,1,6,0.1087,,,,,
16,D,1,7,0.1656,,,,,
16,D,2,8,0.0854,,,,,
16,D,2,9,0.3007,,,,,
16,D,2,10,0.136,,,,,
16,D,2,11,0.2263,,,,,
16,D,2,12,0.0403,,,,,
16,D,2,13,0.03,,,,,
16,D,2,14,0.3604,,,,,
16,D,2,15,0.1292,,,,,
16,L,1,1,0.1325,,,,,
16,L,1,2,0.2887,,,,,
16,L,1,3,0.2542,,,,,
16,L,1,4,0.095,,,,,
16,L,1,5,0.0645,,,,,
16,L,1,6,0.047,,,,,
16,L,1,7,0.0143,,,,,
16,L,2,8,0.1631,,,,,
16,L,2,9,0.2886,,,,,
16,L,2,10,0.1223,,,,,
16,L,2,11,0.1995,,,,,
16,L,2,12,0.2114,,,,,
16,L,2,13,0.0422,,,,,
16,L,2,14,0.1147,,,,,
16,L,2,15,0.0201,,,,,
17,D,1,1,0.2372,,,,,
17,D,1,2,0.0553,,,,,
17,D,1,3,0.1135,,,,,
17,D,1,4,0.0957,,,,,
17,D,1,5,0.063,,,,,
17,D,1,6,0.4329,,,,,
17,D,1,7,0.1034,,,,,
17,D,1,8,0.2908,,,,,
17,D,2,9,0.0968,,,,,
17,D,2,10,0.1535,,,,,
17,D,2,11,0.0439,,,,,
17,D,2,12,0.2403,,,,,
17,D,2,13,0.0766,,,,,
17,D,2,14,0.2675,,,,,
17,D,2,15,0.1771,,,,,
17,L,1,1,0.2341,,,,,
17,L,1,2,0.038,,,,,
17,L,1,3,0.0759,,,,,
17,L,1,4,0.0654,,,,,
17,L,1,5,0.0663,,,,,
17,L,1,6,0.2177,,,,,
17,L,1,7,0.2081,,,,,
17,L,1,8,0.2647,,,,,
17,L,2,9,0.0766,,,,,
17,L,2,10,0.0593,,,,,
17,L,2,11,0.1586,,,,,
17,L,2,12,0.135,,,,,
17,L,2,13,0.1488,,,,,
17,L,2,14,0.2337,,,,,
17,L,2,15,0.246,,,,,
18,D,,1,0.1841,,,,,
18,D,,2,0.1844,,,,,
18,D,,3,0.2975,,,,,
18,D,,4,0.0685,,,,,
18,D,,5,0.2196,,,,,
18,D,,6,0.2425,,,,,
18,D,,7,0.0833,,,,,
18,D,,8,0.0468,,,,,
18,D,,9,0.1366,,,,,
18,D,,10,0.1288,,,,,
18,D,,11,0.2008,,,,,
18,D,,12,0.0944,,,,,
18,D,,13,0.1853,,,,,
18,D,,14,0.2648,,,,,
18,D,,15,0.156,,,,,
18,L,,1,0.1579,,,,,
18,L,,2,0.24,,,,,
18,L,,3,0.2504,,,,,
18,L,,4,0.342,,,,,
18,L,,5,0.2324,,,,,
18,L,,6,0.3556,,,,,
18,L,,7,0.0261,,,,,
18,L,,8,0.0587,,,,,
18,L,,9,0.2519,,,,,
18,L,,10,0.0725,,,,,
18,L,,11,0.4137,,,,,
18,L,,12,0.2384,,,,,
18,L,,13,0.0272,,,,,
18,L,,14,0.3297,,,,,
18,L,,15,0.1202,,,,,
19,D,,1,0.1645,,,,,
19,D,,2,0.0289,,,,,
19,D,,3,0.2432,,,,,
19,D,,4,0.3169,,,,,
19,D,,5,0.0687,,,,,
19,D,,6,0.0915,,,,,
19,D,,7,0.0205,,,,,
19,D,,8,0.069,,,,,
19,D,,9,0.2494,,,,,
19,D,,10,0.1362,,,,,
19,D,,11,0.1965,,,,,
19,D,,12,0.0345,,,,,
19,D,,13,0.0302,,,,,
19,D,,14,0.1672,,,,,
19,D,,15,0.0148,,,,,
19,L,,1,0.2815,,,,,
19,L,,2,0.0473,,,,,
19,L,,3,0.3545,,,,,
19,L,,4,0.0778,,,,,
19,L,,5,0.0544,,,,,
19,L,,6,0.3063,,,,,
19,L,,7,0.18,,,,,
19,L,,8,0.0737,,,,,
19,L,,9,0.1002,,,,,
19,L,,10,0.0716,,,,,
19,L,,11,0.0278,,,,,
19,L,,12,0.1288,,,,,
19,L,,13,0.1972,,,,,
19,L,,14,0.1091,,,,,
19,L,,15,0.2931,,,,,
20,D,,1,0.3573,,,,,
20,D,,2,0.1725,,,,,
20,D,,3,0.194,,,,,
20,D,,4,0.2005,,,,,
20,D,,5,0.1432,,,,,
20,D,,6,0.1177,,,,,
20,D,,7,0.4219,,,,,
20,D,,8,0.1085,,,,,
20,D,,9,0.2805,,,,,
20,D,,10,0.1204,,,,,
20,D,,11,0.2693,,,,,
20,D,,12,0.1836,,,,,
20,D,,13,0.3977,,,,,
20,D,,14,0.2524,,,,,
20,D,,15,0.1331,,,,,
20,L,,1,0.3574,,,,,
20,L,,2,0.2569,,,,,
20,L,,3,0.2203,,,,,
20,L,,4,0.2938,,,,,
20,L,,5,0.1058,,,,,
20,L,,6,0.206,,,,,
20,L,,7,0.346,,,,,
20,L,,8,0.2065,,,,,
20,L,,9,0.2104,,,,,
20,L,,10,0.2109,,,,,
20,L,,11,0.1389,,,,,
20,L,,12,0.2182,,,,,
20,L,,13,0.1781,,,,,
20,L,,14,0.2299,,,,,
20,L,,15,0.1861,,,,,
21,D,,1,0.3078,,,,,
21,D,,2,0.2488,,,,,
21,D,,3,0.1064,,,,,
21,D,,4,0.1264,,,,,
21,D,,5,0.2232,,,,,
21,D,,6,0.169,,,,,
21,D,,7,0.1014,,,,,
21,D,,8,0.0947,,,,,
21,D,,9,0.2692,,,,,
21,D,,10,0.1795,,,,,
21,D,,11,0.2518,,,,,
21,D,,12,0.2467,,,,,
21,D,,13,0.1158,,,,,
21,D,,14,0.2944,,,,,
21,D,,15,0.0452,,,,,
21,L,,1,0.3793,,,,,
21,L,,2,0.0413,,,,,
21,L,,3,0.0908,,,,,
21,L,,4,0.2447,,,,,
21,L,,5,0.0475,,,,,
21,L,,6,0.2716,,,,,
21,L,,7,0.0782,,,,,
21,L,,8,0.4201,,,,,
21,L,,9,0.1691,,,,,
21,L,,10,0.1837,,,,,
21,L,,11,0.2442,,,,,
21,L,,12,0.1384,,,,,
21,L,,13,0.0908,,,,,
21,L,,14,0.1887,,,,,
21,L,,15,0.0405,,,,,
22,D,,1,0.2968,,,,,
22,D,,2,0.049,,,,,
22,D,,3,0.0582,,,,,
22,D,,4,0.1264,,,,,
22,D,,5,0.2013,,,,,
22,D,,6,0.0645,,,,,
22,D,,7,0.1292,,,,,
22,D,,8,0.1803,,,,,
22,D,,9,0.0691,,,,,
22,D,,10,0.0958,,,,,
22,D,,11,0.0946,,,,,
22,D,,12,0.2104,,,,,
22,D,,13,0.0722,,,,,
22,D,,14,0.1164,,,,,
22,D,,15,0.0534,,,,,
22,L,,1,0.2886,,,,,
22,L,,2,0.1437,,,,,
22,L,,3,0.2725,,,,,
22,L,,4,0.2373,,,,,
22,L,,5,0.2744,,,,,
22,L,,6,0.0915,,,,,
22,L,,7,0.3344,,,,,
22,L,,8,0.1647,,,,,
22,L,,9,0.2177,,,,,
22,L,,10,0.2926,,,,,
22,L,,11,0.0534,,,,,
22,L,,12,0.166,,,,,
