Tree,Position,Branch,No.,Dry Weight [g],Area [mm^2],Perimeter [mm],SLA [cm^2/g],,
26,L,,12,0.0624,,,,,
26,L,,13,0.132,,,,,
26,L,,14,0.1466,,,,,
26,L,,15,0.166,,,,,
27,D,,1,0.1341,,,,,
27,D,,2,0.1002,,,,,
27,D,,3,0.3289,,,,,
27,D,,4,0.0528,,,,,
27,D,,5,0.1284,,,,,
27,D,,6,0.0472,,,,,
27,D,,7,0.0784,,,,,
27,D,,8,0.2326,,,,,
27,D,,9,0.1602,,,,,
27,D,,10,0.0941,,,,,
27,D,,11,0.1195,,,,,
27,D,,12,0.2627,,,,,
27,D,,13,0.0665,,,,,
27,D,,14,0.0288,,,,,
27,D,,15,0.3125,,,,,
27,L,,1,0.2242,,,,,
27,L,,2,0.15,,,,,
27,L,,3,0.0985,,,,,
27,L,,4,0.0797,,,,,
27,L,,5,0.3267,,,,,
27,L,,6,0.1057,,,,,
27,L,,7,0.0734,,,,,
27,L,,8,0.2005,,,,,
27,L,,9,0.1596,,,,,
27,L,,10,0.1879,,,,,
27,L,,11,0.1482,,,,,
27,L,,12,0.0657,,,,,
27,L,,13,0.1106,,,,,
27,L,,14,0.3129,,,,,
27,L,,15,0.223,,,,,
28,D,1,1,0.1336,,,,,
28,D,1,2,0.0709,,,,,
28,D,1,3,0.0343,,,,,
28,D,1,4,0.2612,,,,,
28,D,1,5,0.2131,,,,,
28,D,1,6,0.1712,,,,,
28,D,1,7,0.0781,,,,,
28,D,1,8,0.0351,,,,,
28,D,2,9,0.1012,,,,,
28,D,2,10,0.1579,,,,,
28,D,2,11,0.2556,,,,,
28,D,2,12,0.0442,,,,,
28,D,2,13,0.1748,,,,,
28,D,2,14,0.1015,,,,,
28,D,2,15,0.0574,,,,,
28,L,1,1,0.0519,,,,,
28,L,1,2,0.1817,,,,,
28,L,1,3,0.1561,,,,,
28,L,1,4,0.1685,,,,,
28,L,1,5,0.186,,,,,
28,L,1,6,0.2999,,,,,
28,L,1,7,0.0412,,,,,
28,L,2,8,0.1638,,,,,
28,L,2,9,0.0732,,,,,
28,L,2,10,0.1995,,,,,
28,L,2,11,0.0313,,,,,
28,L,2,12,0.2438,,,,,
28,L,2,13,0.0626,,,,,
28,L,2,14,0.2326,,,,,
28,L,2,15,0.1989,,,,,
29,D,1,1,0.2831,,,,,
29,D,1,2,0.1313,,,,,
29,D,1,3,0.1664,,,,,
29,D,1,4,0.213,,,,,
29,D,1,5,0.022,,,,,
29,D,1,6,0.2858,,,,,
29,D,1,7,0.0704,,,,,
29,D,3,8,0.3398,,,,,
29,D,3,9,0.2061,,,,,
29,D,3,10,0.0667,,,,,
29,D,3,11,0.1121,,,,,
29,D,3,12,0.161,,,,,
29,D,2,13,0.2429,,,,,
29,D,2,14,0.0639,,,,,
29,D,2,15,0.2336,,,,,
29,L,1,1,0.2944,,,,,
29,L,1,2,0.0958,,,,,
29,L,1,3,0.1179,,,,,
29,L,1,4,0.0691,,,,,
29,L,1,5,0.2434,,,,,
29,L,1,6,0.2275,,,,,
29,L,1,7,0.2124,,,,,
29,L,1,8,0.0579,,,,,
29,L,2,9,0.1838,,,,,
29,L,2,10,0.1129,,,,,
29,L,2,11,0.1645,,,,,
29,L,2,12,0.0905,,,,,
29,L,2,13,0.2359,,,,,
29,L,2,14,0.1735,,,,,
29,L,2,15,0.094,,,,,
30,D,1,1,0.1542,,,,,
30,D,1,2,0.0917,,,,,
30,D,1,3,0.0667,,,,,
30,D,1,4,0.1779,,,,,
30,D,1,5,0.1634,,,,,
30,D,1,6,0.0367,,,,,
30,D,1,7,0.0952,,,,,
30,D,2,8,0.1013,,,,,
30,D,2,9,0.1434,,,,,
30,D,2,10,0.1114,,,,,
30,D,2,11,0.1677,,,,,
30,D,2,12,0.0626,,,,,
30,D,2,13,0.0618,,,,,
30,D,2,14,0.1468,,,,,
30,D,2,15,0.0925,,,,,
30,L,0,1,0.1948,,,,,
30,L,0,2,0.1723,,,,,
30,L,0,3,0.2818,,,,,
30,L,0,4,0.1959,,,,,
30,L,0,5,0.1086,,,,,
30,L,0,6,0.0741,,,,,
30,L,0,7,0.0805,,,,,
30,L,3,8,0.0746,,,,,
30,L,2,9,0.1921,,,,,
30,L,2,10,0.1586,,,,,
30,L,2,11,0.1524,,,,,
30,L,2,12,0.1716,,,,,
30,L,2,13,0.0335,,,,,
30,L,2,14,0.0984,,,,,
30,L,2,15,0.1072,,,,,
