apple,1,6,4,.
apple,1,23,21,.
apple,1,35,31,?
apple,1,38,37,-
apple,7,5,3,.
apple,7,8,7,.
apple,8,3,1,?
apple,13,20,18,.
apple,14,6,4,.
apple,14,16,14,-
apple,14,22,20,.
cherry,1,30,28,-
cherry,1,47,45,.
cherry,1,61,59,?
cherry,7,4,2,-
cherry,7,11,8,-
cherry,10,19,13,-
cherry,10,30,29,.
cherry,13,4,2,-
cherry,13,15,12,-
cherry,13,36,34,-
cherry,15,13,8,.
cherry,15,27,25,.
cherry,15,49,47,.
cherry,15,53,51,.
cherry,15,55,53,-
cherry,15,77,86,.
cherry,15,89,87,.
cherry,15,91,89,.
cherry,15,165,145,.
cherry,15,238,147,-
cherry,15,170,168,.
,,,,
,,,,
apple,2,length,diameter,
apple,8,length,diameter,
cherry,7,length,diameter,
apple,7,length,mass,
apple,9,length,mass,
apple,20,length,mass,
cherry,15,diameter,,
apple,12,diameter,,
