"","n","a","s"
"117",31,26,18.5
"118",32,3,5414.8
"119",33,32,911
"120",34,32,956.8
"121",35,34,402.9
"122",36,34,258.8
"123",37,33,167.5
"124",38,33,312.7
"125",1,0,0
"126",2,1,52695
"127",3,1,215025.3
"128",4,3,135460.5
"129",5,4,43516.2
"130",6,4,117583.2
"131",7,6,796
"132",8,7,16
"133",9,7,189.2
"134",10,9,56.8
"135",11,10,4.2
"136",12,10,4.6
"137",13,8,8.7
"138",14,2,299
"139",15,14,14.9
"140",16,9,6.6
"141",17,9,7.5
"142",18,2,30870.4
"143",19,18,4347.6
"144",20,19,115.8
"145",21,20,3.9
"146",22,20,28.4
"147",23,22,21.1
"148",24,22,3.1
"149",25,19,695.7
"150",26,25,2.9
"151",27,25,524
"152",28,27,10.2
"153",29,28,4
"154",30,27,766.5
"155",31,30,6.5
"156",32,30,3.3
"157",33,30,265.2
"158",34,33,3.3
"159",35,33,123.6
"160",36,35,17.5
"161",37,35,44.4
"162",38,37,9.6
"163",39,37,15.3
"164",40,39,24.8
"165",41,30,17.5
"166",42,57,67260.8
"167",43,42,743.4
"168",44,43,0.8
"169",45,46,2.9
"170",46,43,130.8
"171",47,46,230
"172",48,47,3.7
"173",49,47,83.2
"174",50,49,3.5
"175",51,49,112.5
"176",52,51,2.6
"177",53,51,41.8
"178",54,53,6.2
"179",55,53,27
"180",56,55,73.8
"181",57,18,26230.4
"182",58,42,373.2
"183",59,58,2.5
"184",60,58,227.5
"185",61,60,3.5
"186",62,61,1.4
"187",63,60,230
"188",64,63,9.3
"189",65,63,61.5
"190",66,65,2.6
"191",67,66,2.6
"192",68,66,45.3
"193",69,68,9.8
"194",70,6,19.8
"195",71,70,31.7
"196",72,65,1.3
"197",73,3,61646.4
"198",74,73,9224.8
"199",75,73,2472
"200",76,75,8.9
"201",77,86,459
"202",78,77,12.2
"203",79,77,46.2
"204",80,77,392.7
"205",81,80,14.9
"206",82,80,248
"207",83,82,200.2
"208",84,83,15.6
"209",85,83,8
"210",86,75,2025.5
"211",87,74,6176.8
"212",88,87,4.7
"213",89,87,3229.1
"214",90,89,9.3
"215",91,89,680.4
"216",92,91,1844.4
"217",93,92,2013.6
"218",94,93,16.6
"219",95,93,300.5
"220",96,95,31.5
"221",97,95,192.8
"222",98,97,40.4
"223",99,97,9.7
"224",100,97,106.4
"225",101,100,23.1
"226",102,124,284.4
"227",103,102,10.4
"228",104,102,93
