"","group","diameter","length","path","subtree","mass","tot_mass"
"1","all-branch","7651  ,  9004","8443  ,  9500","9693  ,  11060","11262  ,  11751","12613  ,  13288","14377  ,  14264"
"2","cherry","3960  ,  4551","4396  ,  4906","5198  ,  5846","6242  ,  6286","6474  ,  6468","7582  ,  7050"
"3","apple","3663  ,  3745","4022  ,  4506","4496  ,  5172","4982  ,  5428","6042  ,  6434","6764  ,  6864"
"4","Bud.9-1","96  ,  80","115  ,  127","129  ,  146","139  ,  152","143  ,  153","159  ,  165"
"5","Bud.9-2","75  ,  70","82  ,  88","92  ,  100","99  ,  107","109  ,  106","121  ,  121"
"6","Bud.9-3","65  ,  56","76  ,  75","84  ,  81","89  ,  87","97  ,  97","106  ,  106"
"7","Bud.9-4","113  ,  107","137  ,  143","153  ,  147","167  ,  161","167  ,  168","188  ,  184"
"8","CG.3041-1","154  ,  150","185  ,  183","205  ,  211","224  ,  223","250  ,  240","274  ,  263"
"9","CG.3041-2","105  ,  95","126  ,  121","137  ,  141","147  ,  149","174  ,  180","188  ,  190"
"10","CG.3041-3","130  ,  120","156  ,  154","169  ,  172","185  ,  183","214  ,  219","232  ,  230"
"11","CG.3041-4","109  ,  97","128  ,  139","139  ,  128","154  ,  147","173  ,  163","194  ,  188"
"12","CG.6210-1","133  ,  131","160  ,  162","172  ,  177","188  ,  189","225  ,  226","244  ,  241"
"13","CG.6210-2","408  ,  382","446  ,  459","522  ,  551","583  ,  584","616  ,  596","705  ,  670"
"14","CG.6210-3","242  ,  221","279  ,  304","312  ,  322","345  ,  343","389  ,  369","431  ,  409"
"15","CG.6210-4","165  ,  152","189  ,  205","217  ,  225","237  ,  241","265  ,  254","297  ,  287"
"16","M.26","266  ,  253","286  ,  292","324  ,  349","366  ,  373","425  ,  431","484  ,  469"
"17","JM.8-1","244  ,  221","268  ,  271","291  ,  293","328  ,  321","409  ,  419","451  ,  444"
"18","JM.8-2","260  ,  245","272  ,  261","305  ,  312","333  ,  329","435  ,  443","478  ,  470"
"19","JM.8-3","221  ,  200","228  ,  228","253  ,  261","278  ,  278","360  ,  357","398  ,  385"
"20","PiAu.5683-1","276  ,  254","289  ,  313","324  ,  348","362  ,  372","451  ,  442","508  ,  489"
"21","PiAu.5683-2","212  ,  197","220  ,  226","246  ,  250","269  ,  266","350  ,  351","386  ,  376"
"22","PiAu.5683-3","389  ,  373","402  ,  443","453  ,  521","510  ,  552","636  ,  673","723  ,  728"
"23","cherry-1","206  ,  212","212  ,  217","238  ,  248","260  ,  261","327  ,  334","358  ,  352"
"24","cherry-2","486  ,  482","539  ,  539","617  ,  633","692  ,  675","809  ,  818","925  ,  872"
"25","cherry-3","2229  ,  2528","2545  ,  2786","3075  ,  3429","3848  ,  3745","3478  ,  3409","4344  ,  3816"
"26","cherry-4","610  ,  603","681  ,  726","793  ,  812","901  ,  882","1009  ,  998","1159  ,  1082"
"27","cherry-5","388  ,  399","406  ,  443","474  ,  522","521  ,  548","637  ,  671","719  ,  717"
