species,tree,height,triangles,center_r,avg_r,avg_volume
cherry,1,5.334,26.755349,147.3394778,86.99664472,58.03160892
cherry,2,5.334,32.415731,127.7090531,91.26396091,53.37492804
cherry,3,5.944,34.1798355,192.4347393,101.5493841,75.53819159
cherry,4,3.658,19.8120005,55.23369035,93.77089646,25.01523028
cherry,5,5.029,29.5099445,127.7090531,72.95322971,52.40633254
cherry,6,5.639,25.50254,157.9025958,82.00828415,61.13504527
cherry,7,3.962,23.4215445,50.03999844,60.22122212,24.48718098
cherry,8,5.182,31.429122,127.7703829,93.175817,53.06650164
cherry,9,5.944,34.706572,157.9025958,169.3977084,64.20305594
cherry,10,4.42,37.5998185,86.49748954,117.7425993,41.36576935
cherry,11,3.048,10.6912805,36.48447833,75.69720506,15.72525294
cherry,12,5.486,33.721538,157.831967,113.2661771,63.85116832
cherry,13,4.877,30.3869545,118.6133296,73.72971654,49.66676138
cherry,14,3.962,20.646664,60.70014285,68.21915535,27.11560228
cherry,15,5.055,24.9281505,134.0663538,89.38680289,52.99816811
apple,1,1.51,5.15955,2.664305142,16.52867752,2.607951714
apple,2,2.1,8.12265,9.41678156,20.59137016,5.846477187
apple,4,3.95,18.7321,43.09892057,48.84063268,20.61034019
apple,5,3.9,15.42275,49.32110662,54.75006216,21.58128554
apple,6,2.85,12.509,23.42522017,27.29716669,11.97807339
apple,7,2.3,8.25875,12.77005054,21.89312651,7.009600179
apple,8,3.05,10.74375,22.4492975,33.65965962,11.06434917
apple,9,4.5,18.54325,67.43304276,37.02091746,28.65876425
apple,10,2.9,14.2475,22.64227036,26.30244774,12.29659012
apple,11,4.1,12.55,57.90583579,73.16982003,23.4852786
apple,12,2.25,5.82875,11.49404032,30.51868372,5.774263441
apple,13,5.2,28.06125,99.54103598,54.39290509,42.53409533
apple,14,5.73,36.07225,129.6813591,84.61656431,55.25120305
apple,15,5.3,29.155,110.2933986,58.28773036,46.48279955
apple,17,5.84,28.1582,149.8493509,71.00638279,59.3358503
apple,18,5.75,25.5725,134.0663538,58.40845766,53.21295128
apple,19,5.8,27.36,140.5004665,66.74862421,55.95348883
apple,20,5.13,28.5383,99.54103598,61.9421906,42.69311199
