FILE	Rspns1	Rspns2	Time	Mask	LAI	SEL	DIFN	MTA	SEM	SMP
146	008    	41     	11 Oct 19:11:35	00111	1.85	0.03	0.189	0	0	3
147	008    	42     	11 Oct 19:12:09	11111	0.50	0.02	0.682	0	47	3
148	008    	42     	11 Oct 19:12:51	11111	1.01	0.02	0.431	64	21	3
149	009    	11     	11 Oct 19:14:52	11111	1.37	0.04	0.312	43	9	3
150	009    	12     	11 Oct 19:15:27	11111	0.83	0.13	0.534	67	4	3
151	009    	21     	11 Oct 19:16:04	11111	0.88	0.10	0.476	59	17	3
152	009    	22     	11 Oct 19:16:34	00000	0.00	0.00	0.000	0	0	0
153	009    	31     	11 Oct 19:17:06	11111	0.87	0.04	0.507	42	24	3
154	009    	32     	11 Oct 19:17:37	11111	0.71	0.03	0.545	39	13	3
155	009    	41     	11 Oct 19:18:09	00000	0.00	0.00	0.000	0	0	0
156	009    	42     	11 Oct 19:18:40	10111	0.53	0.07	0.639	0	0	2
157	010    	11     	11 Oct 19:20:06	00000	0.00	0.00	0.000	0	0	0
158	010    	12     	11 Oct 19:20:40	11111	0.36	0.00	0.764	50	40	3
159	010    	21     	11 Oct 19:21:15	00000	0.00	0.00	0.000	0	0	0
160	010    	22     	11 Oct 19:21:45	00000	0.00	0.00	0.000	0	0	0
161	010    	31     	11 Oct 19:23:03	00000	0.00	0.00	0.000	0	0	0
162	010    	32     	11 Oct 19:23:35	00000	0.00	0.00	0.000	0	0	0
163	010    	41     	11 Oct 19:24:07	11111	0.45	0.07	0.724	44	28	3
164	010    	42     	11 Oct 19:24:36	11111	0.75	0.25	0.631	90	9	3
165	011    	11     	11 Oct 19:25:51	00011	0.31	0.02	0.742	46	0	2
166	123    	11     	21 Oct 07:23:09	11111	0.09	0.02	0.949	0	0	3
167	014    	11     	21 Oct 07:30:22	11111	2.19	0.03	0.150	45	11	3
168	014    	12     	21 Oct 07:31:21	11111	0.60	0.00	0.637	90	20	3
169	014    	21     	21 Oct 07:32:02	11111	1.88	0.06	0.209	58	13	3
170	22     	22     	21 Oct 07:32:42	11111	0.47	0.04	0.733	90	0	3
171	014    	31     	21 Oct 07:33:36	11111	1.98	0.03	0.182	41	6	3
172	014    	32     	21 Oct 07:34:16	11111	1.26	0.04	0.390	90	28	3
173	014    	41     	21 Oct 07:34:55	00111	3.63	0.09	0.035	0	0	3
174	014    	42     	21 Oct 07:35:36	11111	1.88	0.05	0.241	62	4	3
175	013    	11     	21 Oct 07:37:14	11111	1.12	0.00	0.379	47	18	3
176	013    	12     	21 Oct 07:37:56	11111	1.35	0.02	0.392	90	25	3
177	013    	21     	21 Oct 07:38:34	11111	1.87	0.02	0.215	0	32	3
178	013    	22     	21 Oct 07:39:40	11111	0.97	0.03	0.470	41	18	3
179	013    	31     	21 Oct 07:40:20	11111	1.55	0.03	0.291	0	0	3
180	013    	32     	21 Oct 07:40:55	11111	1.92	0.02	0.197	0	0	3
181	013    	41     	21 Oct 07:41:31	11111	1.95	0.02	0.195	44	5	3
182	013    	42     	21 Oct 07:42:06	11111	0.89	0.03	0.499	53	9	3
183	012    	11     	21 Oct 07:44:11	11111	1.89	0.02	0.191	0	0	3
184	012    	12     	21 Oct 07:45:44	11111	1.63	0.02	0.264	46	12	3
185	012    	21     	21 Oct 07:46:28	11111	2.00	0.00	0.170	32	7	3
186	012    	22     	21 Oct 07:46:59	11111	1.35	0.00	0.309	39	3	3
187	012    	32     	21 Oct 07:51:01	11111	1.64	0.00	0.242	25	16	3
188	012    	41     	21 Oct 07:51:37	11111	2.87	0.00	0.087	0	0	3
189	012    	42     	21 Oct 07:52:20	11111	2.29	0.00	0.138	21	8	3
190	011    	11     	21 Oct 07:54:22	11111	1.52	0.02	0.297	0	0	3
191	011    	12     	21 Oct 07:55:36	11111	0.82	0.03	0.570	90	5	3
192	011    	21     	21 Oct 07:57:00	11111	1.63	0.04	0.326	41	14	3
193	011    	22     	21 Oct 07:58:16	11111	0.74	0.03	0.654	60	18	3
194	011    	31     	21 Oct 07:59:22	11111	2.12	0.02	0.252	75	13	3
195	011    	32     	21 Oct 08:00:35	11111	2.34	0.10	0.206	63	5	3
196	011    	41     	21 Oct 08:02:08	11111	2.48	0.00	0.116	16	14	3
197	011    	42     	21 Oct 08:03:49	11111	1.49	0.03	0.364	90	20	3
198	010    	11     	21 Oct 08:06:31	11111	1.26	0.03	0.336	0	38	3
199	010    	12     	21 Oct 08:07:02	11111	1.07	0.04	0.393	41	3	3
200	010    	21     	21 Oct 08:07:55	11111	2.21	0.03	0.235	76	13	3
201	010    	22     	21 Oct 08:08:26	11111	0.61	0.02	0.750	90	0	3
202	010    	31     	21 Oct 08:09:01	11111	2.92	0.03	0.088	0	0	3
203	010    	32     	21 Oct 08:09:33	11111	1.08	0.07	0.467	54	11	3
204	010    	41     	21 Oct 08:10:05	11111	2.58	0.05	0.111	0	0	3
205	010    	42     	21 Oct 08:10:37	11111	2.04	0.00	0.167	41	9	3
206	009    	11     	21 Oct 08:12:59	11111	1.91	0.00	0.212	53	5	3
207	009    	12     	21 Oct 08:14:00	11111	1.16	0.03	0.361	0	0	3
208	009    	21     	21 Oct 08:14:32	11111	1.43	0.02	0.316	0	0	3
209	009    	22     	21 Oct 08:15:10	11111	2.31	0.09	0.137	0	0	3
210	009    	31     	21 Oct 08:15:43	11111	1.65	0.02	0.298	0	0	3
211	009    	32     	21 Oct 08:16:14	11111	1.97	0.02	0.209	43	2	3
212	009    	41     	21 Oct 08:16:50	11111	1.81	0.03	0.228	61	14	3
213	009    	42     	21 Oct 08:17:30	11111	1.99	0.04	0.190	42	1	3
214	009    	42     	21 Oct 08:18:16	11111	0.06	0.02	0.956	0	37	3
215	008    	11     	21 Oct 08:19:55	11111	1.94	0.03	0.192	42	7	3
216	008    	12     	21 Oct 08:21:12	11111	2.22	0.02	0.152	41	2	3
217	008    	21     	21 Oct 08:22:12	11111	1.94	0.05	0.201	0	0	3
218	008    	22     	21 Oct 08:22:51	11111	2.07	0.06	0.161	19	20	3
219	008    	31     	21 Oct 08:23:48	11111	0.03	0.00	0.983	0	69	3
220	008    	32     	21 Oct 08:24:22	11111	1.97	0.02	0.174	24	13	3
221	008    	41     	21 Oct 08:25:08	11111	2.60	0.00	0.108	0	0	3
222	008    	42     	21 Oct 08:25:46	11111	2.68	0.03	0.110	55	8	3
223	007    	11     	21 Oct 08:27:41	11111	0.15	0.07	0.898	82	19	3
224	007    	11     	21 Oct 08:28:39	11111	0.05	0.00	0.960	24	66	3
225	007    	11     	21 Oct 08:29:26	11111	2.07	0.00	0.189	0	37	3
226	007    	12     	21 Oct 08:30:00	11111	1.59	0.02	0.266	23	22	3
227	007    	21     	21 Oct 08:30:41	11111	2.52	0.00	0.114	0	7	3
228	007    	22     	21 Oct 08:31:16	11111	2.17	0.06	0.152	40	3	3
229	007    	31     	21 Oct 08:31:53	11111	0.90	0.02	0.468	34	9	3
230	007    	32     	21 Oct 08:32:40	11111	0.81	0.09	0.490	0	0	3
231	007    	41     	21 Oct 08:33:11	11111	1.43	0.03	0.318	0	0	3
232	007    	42     	21 Oct 08:33:45	11111	0.98	0.02	0.441	0	0	3
