"","species","tree","group","Pf","avg_path","sd_path","No_Twigs"
"1","apple","3","All","0.576","160.498","46.892","261"
"2","apple","3","No scars","0.65","180.953","46.725","116"
"3","apple","3","No spurs","0.565","157.326","47.126","233"
"4","apple","3","Twigs only","0.643","179.09","49.447","89"
"5","apple","4","All","0.521","221.315","73.682","685"
"6","apple","4","No scars","0.576","244.978","75.331","343"
"7","apple","4","No spurs","0.553","216.964","71.622","614"
"8","apple","4","Twigs only","0.615","241.443","73.45","273"
"9","apple","5","All","0.469","195.026","67.07","436"
"10","apple","5","No scars","0.545","226.633","56.101","180"
"11","apple","5","No spurs","0.467","193.95","67.597","410"
"12","apple","5","Twigs only","0.551","229.104","55.831","154"
"13","apple","13","All","0.363","236.071","92.581","637"
"14","apple","13","No scars","0.406","264.008","93.355","326"
"15","apple","13","No spurs","0.354","230.552","92.291","544"
"16","apple","13","Twigs only","0.403","262.291","95.325","234"
"17","apple","14","All","0.241","285.08","142.345","1153"
"18","apple","14","No scars","0.278","328.044","145.449","578"
"19","apple","14","No spurs","0.231","273.007","137.09","951"
"20","apple","14","Twigs only","0.272","320.59","140.949","376"
"21","apple","15","All","0.271","241.044","103.915","887"
"22","apple","15","No scars","0.305","270.855","106.006","494"
"23","apple","15","No spurs","0.379","226.176","92.056","688"
"24","apple","15","Twigs only","0.479","256.288","88.777","295"
"25","cherry","15","All","0.646","409.923","104.199","2860"
"26","cherry","15","No scars","0.681","432.506","89.874","2326"
"27","cherry","15","No spurs","0.633","402.174","109.038","2125"
"28","cherry","15","Twigs only","0.681","432.139","92.518","1596"
