"","species","tree","length_ratio","diameter_ratio","mass_ratio"
"627",2,15,1.417,0.974,1.264
"628",2,15,2.559,0.251,0.162
"629",2,15,0.412,0.977,0.357
"630",2,15,2.143,0.909,0.063
"631",2,15,1.2,0.174,2
"632",2,15,1.2,0.917,34.846
"633",2,15,1.722,0.336,0.216
"634",2,15,0.123,0.233,0.006
"635",2,15,6.111,0.477,1.601
"636",2,15,0.786,0.182,0.063
"637",2,15,0.778,0.846,0.741
"638",2,15,2.171,0.48,0.673
"639",2,15,1.829,0.353,0.241
"640",2,15,0.922,0.124,0.022
"641",2,15,0.204,1.025,0.227
"642",2,15,4.045,0.121,0.133
"643",2,15,6.682,0.231,0.503
"644",2,15,1.545,0.932,1.426
"645",2,15,2.235,0.185,0.114
"646",2,15,1.118,0.779,0.947
"647",2,15,3.263,0.585,0.807
"648",2,15,0.806,0.486,0.156
"649",2,15,0.492,0.383,0.08
"650",2,15,1.688,0.757,0.983
"651",2,15,0.921,0.74,0.67
"652",2,15,0.3,0.131,0.006
"653",2,15,1.314,1.002,0.597
"654",2,15,1.413,0.104,0.02
"655",2,15,0.217,1.024,0.246
"656",2,15,3.6,0.721,2.711
"657",2,15,1.722,0.758,1.092
"658",2,15,0.677,0.253,0.049
"659",2,15,0.282,0.86,0.179
"660",2,15,3.714,0.349,0.524
"661",2,15,1.086,0.775,0.802
"662",2,15,3.737,0.46,0.838
"663",2,15,1.5,0.36,0.201
"664",2,15,2.079,0.745,1.104
"665",2,15,1.481,0.517,0.434
"666",2,15,0.479,0.371,0.109
"667",2,15,1.913,0.391,0.146
"668",2,15,0.696,0.837,0.436
"669",2,15,1.969,0.333,0.248
"670",2,15,1.812,0.894,1.219
"671",2,15,1.172,0.329,0.151
"672",2,15,1.879,0.621,0.738
"673",2,15,0.188,0.834,0.166
"674",2,15,3.444,0.171,0.109
"675",2,15,1.333,0.996,1.67
"676",2,15,0.417,0.191,0.015
"677",2,15,3.75,0.963,2.057
"678",2,15,0.733,0.552,0.353
"679",2,15,2.455,0.383,0.348
"680",2,15,0.667,0.191,0.043
"681",2,15,1.182,0.246,0.089
"682",2,15,0.591,0.891,0.472
"683",2,15,0.564,0.544,0.239
"684",2,15,0.436,0.789,0.303
"685",2,15,0.765,0.906,0.69
"686",2,15,1.769,0.613,0.457
"687",2,15,3.353,0.361,0.583
"688",2,15,0.449,0.962,0.315
"689",2,15,3.949,0.447,0.618
"690",2,15,4.513,0.259,0.328
"691",2,15,0.233,0.703,0.185
"692",2,15,10.19,0.35,1.265
"693",2,15,0.952,0.837,0.619
"694",2,15,6.5,0.293,0.859
"695",2,15,8.8,0.465,1.803
"696",2,15,0.302,0.761,0.226
"697",2,15,9.385,0.649,2.7
"698",2,15,1.377,0.929,1.417
"699",2,15,1.535,0.251,0.15
"700",2,15,0.209,0.663,0.109
"701",2,15,16.667,0.479,3.364
"702",2,15,19.333,0.592,7.766
"703",2,15,2.15,0.934,1.66
"704",2,15,0.543,0.877,0.45
"705",2,15,1,0.129,0.014
"706",2,15,1.342,0.912,1.055
"707",2,15,2.039,0.231,0.078
"708",2,15,3.333,0.3,0.259
"709",2,15,0.618,0.894,0.451
"710",2,15,0.589,0.301,0.05
"711",2,15,0.479,0.989,0.394
"712",2,15,1.057,0.333,0.134
"713",2,15,1.055,0.464,0.305
"714",2,15,2.938,0.89,1.767
"715",2,15,1.811,0.211,0.078
"716",2,15,0.649,0.861,0.383
"717",2,15,1.292,0.195,0.12
"718",2,15,0.625,0.931,0.537
"719",2,15,7.458,0.404,1.324
"720",2,15,4.333,0.281,0.565
"721",2,15,3.042,0.779,1.851
"722",2,15,0.219,0.847,0.239
"723",2,15,1.688,0.387,0.302
"724",2,15,2.298,0.486,0.722
"725",2,15,1.319,0.703,0.654
"726",2,15,2.733,0.255,0.27
"727",2,15,0.8,0.967,0.738
"728",2,15,2.444,0.224,0.114
"729",2,15,0.349,1.015,0.36
"730",2,15,5.909,0.193,0.289
"731",2,15,6.182,0.603,2.361
"732",2,15,6.636,0.664,2.311
"733",2,15,0.877,0.268,0.09
"734",2,15,0.288,1.02,0.321
"735",2,15,3.119,0.321,0.301
