"","species","tree","length_ratio","diameter_ratio","mass_ratio"
"169",1,10,0.453,0.59,0.221
"170",1,10,0.779,0.595,0.291
"171",1,10,2.448,0.287,0.226
"172",1,10,1.955,0.272,0.223
"173",1,10,0.373,0.823,0.27
"174",1,10,0.567,0.34,0.165
"175",1,10,1.12,0.931,0.901
"176",1,10,3.464,0.278,0.36
"177",1,10,4.607,0.809,1.984
"178",NA,NA,NA,NA,NA
"179",1,11,2.04,0.493,0.387
"180",1,11,1.237,0.359,0.131
"181",1,11,0.954,0.377,0.089
"182",1,11,1.827,0.326,0.144
"183",1,11,0.578,0.725,0.246
"184",1,11,2.64,0.379,0.519
"185",1,11,1.01,0.713,0.608
"186",1,11,1.762,0.414,0.269
"187",1,11,3.109,0.699,1.437
"188",1,11,0.521,0.585,0.263
"189",NA,NA,NA,NA,NA
"190",1,12,0.982,0.618,0.39
"191",1,12,1.291,0.629,0.4
"192",1,12,0.536,0.671,0.221
"193",1,12,2.7,0.496,0.557
"194",1,12,1.867,0.491,0.389
"195",1,12,4.3,0.722,1.738
"196",NA,NA,NA,NA,NA
"197",1,13,1.382,0.346,0.152
"198",1,13,1.11,0.516,0.254
"199",1,13,1.487,0.29,0.123
"200",1,13,0.763,0.302,0.091
"201",1,13,1.803,0.434,0.316
"202",1,13,0.292,0.696,0.153
"203",1,13,0.816,0.799,0.38
"204",1,13,1.952,0.268,0.151
"205",1,13,0.355,0.901,0.367
"206",1,13,2,0.407,0.397
"207",1,13,3.273,0.215,0.175
"208",1,13,1.727,0.843,1.002
"209",1,13,1.727,0.905,1.27
"210",1,13,3.579,0.373,0.479
"211",1,13,3.132,0.194,0.128
"212",1,13,1.237,0.24,0.079
"213",1,13,0.474,0.818,0.389
"214",1,13,3.167,0.354,0.351
"215",1,13,2.167,1.04,1.896
"216",1,13,2.256,0.363,0.297
"217",1,13,0.538,0.874,0.51
"218",1,13,0.81,0.44,0.149
"219",1,13,3.619,0.308,0.289
"220",1,13,3.571,0.46,0.632
"221",1,13,1.905,0.803,1.258
"222",1,13,2.525,0.732,1.088
"223",NA,NA,NA,NA,NA
"224",1,14,0.726,0.424,0.163
"225",1,14,0.142,0.455,0.034
"226",1,14,1.151,0.879,0.858
"227",1,14,2.18,0.447,0.341
"228",1,14,0.525,1.01,0.385
"229",1,14,2.312,0.768,1.37
"230",1,14,1.219,0.445,0.236
"231",1,14,0.567,0.258,0.038
"232",1,14,0.556,0.845,0.446
"233",1,14,2.04,0.331,0.215
"234",1,14,1.818,0.81,1.007
"235",1,14,0.983,0.647,0.401
"236",1,14,0.767,0.336,0.081
"237",1,14,1.089,0.375,0.195
"238",1,14,0.643,1.069,0.61
"239",1,14,4.306,0.558,1.602
"240",1,14,1.781,0.358,0.192
"241",1,14,0.792,0.539,0.317
"242",1,14,0.863,0.817,0.539
"243",1,14,2.063,0.187,0.08
"244",1,14,0.619,1.013,0.577
"245",1,14,4.718,0.294,0.397
"246",1,14,5.128,0.307,0.511
"247",1,14,4.487,0.302,0.426
"248",1,14,1.41,0.863,1.051
"249",1,14,2.091,0.189,0.169
"250",1,14,0.227,0.935,0.204
"251",1,14,10.96,0.18,1.871
"252",1,14,1.44,0.923,1.274
"253",1,14,5.556,0.288,0.558
"254",1,14,0.833,0.958,0.725
"255",1,14,7.333,0.291,0.78
"256",1,14,2.6,0.896,2.143
"257",1,14,2.526,0.294,0.354
"258",1,14,0.59,0.874,0.521
"259",1,14,2.696,0.487,0.68
"260",NA,NA,NA,NA,NA
"261",1,15,0.506,0.45,0.104
"262",1,15,2.465,0.449,0.429
"263",1,15,3.372,0.671,1.829
"264",1,15,1.302,0.514,0.317
"265",1,15,0.424,0.485,0.118
"266",1,15,1.611,0.472,0.306
"267",1,15,0.889,0.888,0.621
"268",1,15,4.016,0.732,1.864
"269",1,15,0.463,0.462,0.172
"270",1,15,1.612,0.346,0.199
"271",1,15,1.8,0.334,0.214
"272",1,15,0.346,0.481,0.063
"273",1,15,0.595,0.454,0.127
"274",1,15,1.035,0.71,0.54
"275",1,15,1.068,0.243,0.06
"276",1,15,0.455,0.856,0.309
"277",1,15,2.138,0.359,0.293
"278",1,15,3.35,0.403,0.573
"279",1,15,0.75,0.894,0.515
"280",1,15,3.367,0.368,0.577
"281",1,15,2.167,0.762,1.583
"282",1,15,0.508,0.336,0.066
"283",1,15,2.154,0.305,0.19
"284",1,15,0.577,0.839,0.454
"285",NA,NA,NA,NA,NA
"286",1,17,0.33,0.491,0.08
"287",1,17,4.133,0.328,0.468
"288",1,17,0.817,0.988,1.011
"289",1,17,4.082,0.356,0.404
"290",1,17,4.796,0.611,1.553
"291",1,17,1.302,0.314,0.162
"292",1,17,0.615,0.473,0.172
"293",1,17,2.25,0.41,0.332
"294",1,17,2.75,0.378,0.278
"295",1,17,1.027,0.736,0.442
"296",1,17,1,0.694,0.52
"297",1,17,1.78,0.293,0.145
"298",1,17,1.978,0.248,0.125
"299",1,17,0.571,0.833,0.406
"300",1,17,3.077,0.314,0.254
"301",1,17,2.115,0.344,0.201
"302",1,17,0.981,0.85,0.624
"303",1,17,2.627,0.287,0.251
"304",1,17,2.255,0.372,0.35
"305",1,17,0.51,0.809,0.363
"306",1,17,1.615,0.368,0.196
"307",1,17,2.385,0.403,0.43
"308",1,17,2.192,0.705,1.305
"309",NA,NA,NA,NA,NA
"310",1,18,1.207,0.375,0.187
"311",1,18,0.862,0.325,0.108
"312",1,18,1.427,0.815,0.815
"313",1,18,0.839,0.395,0.18
"314",1,18,0.87,0.41,0.14
"315",1,18,0.418,0.906,0.273
"316",1,18,3.77,0.443,0.903
"317",1,18,3.197,0.577,1.648
"318",1,18,1.103,0.344,0.181
"319",1,18,0.948,0.567,0.359
"320",1,18,0.506,0.718,0.319
"321",1,18,3.068,0.267,0.188
"322",1,18,0.568,0.859,0.388
"323",1,18,3.08,0.311,0.361
"324",1,18,2.84,0.974,2.468
"325",1,18,1.155,0.377,0.2
"326",1,18,1.93,0.335,0.227
"327",1,18,0.789,0.342,0.142
"328",1,18,0.817,0.761,0.597
"329",1,18,0.552,0.624,0.27
"330",NA,NA,NA,NA,NA
"331",1,19,0.69,0.335,0.07
"332",1,19,0.883,0.452,0.228
"333",1,19,1.55,0.602,0.748
"334",1,19,1.897,0.175,0.05
"335",1,19,1.322,0.358,0.176
"336",1,19,0.33,0.798,0.291
"337",1,19,1.287,0.481,0.297
"338",1,19,1.196,0.438,0.21
"339",1,19,1.023,0.757,0.579
"340",1,19,1.596,0.293,0.124
"341",1,19,0.393,0.964,0.309
"342",1,19,2.286,0.31,0.243
"343",1,19,0.571,0.815,0.508
"344",1,19,2.625,0.321,0.261
"345",1,19,6.15,0.253,0.494
"346",1,19,1.375,0.945,1.089
"347",1,19,6.509,0.425,1.365
"348",1,19,1.709,0.786,1.505
"349",1,19,1.255,0.583,0.271
"350",NA,NA,NA,NA,NA
"351",1,20,0.506,0.511,0.138
"352",1,20,2.512,0.463,0.47
"353",1,20,1.326,0.876,0.973
"354",1,20,1.684,0.685,0.89
"355",1,20,1.417,0.581,0.543
"356",1,20,1.376,0.26,0.105
"357",1,20,1.047,0.451,0.217
"358",1,20,1.64,0.605,0.743
"359",1,20,1.188,0.412,0.255
"360",1,20,0.267,0.747,0.138
"361",1,20,0.753,0.775,0.478
"362",1,20,1.594,0.339,0.181
"363",1,20,2.219,0.216,0.1
"364",1,20,0.195,0.972,0.171
"365",1,20,11.6,0.369,1.325
"366",1,20,1.84,0.942,1.803
"367",1,20,7.391,0.41,0.916
"368",1,20,4.435,0.281,0.372
"369",1,20,3,0.822,2.064
"370",1,20,2.406,0.327,0.205
"371",1,20,0.551,0.868,0.363
"372",1,20,2.526,4.174,0.438
"373",1,20,3,0.391,0.554
"374",1,20,0.829,0.891,0.694
"375",1,20,2.476,0.487,0.854
"376",NA,NA,NA,NA,NA
"377",NA,NA,NA,NA,NA
"378",2,1,NA,0.532,0.21
"379",2,1,2.115,0.503,0.672
"380",2,1,0.791,0.404,0.138
"381",2,1,0.698,0.413,0.127
"382",2,1,0.594,0.725,0.34
"383",2,1,0.169,0.837,0.107
"384",2,1,11.167,0.291,1.478
"385",2,1,4.417,0.474,1.113
"386",2,1,NA,0.728,0.203
"387",2,1,2.1,0.674,1.324
"388",2,1,1.27,0.34,0.123
"389",2,1,0.4,0.665,0.192
"390",2,1,0.828,0.466,0.175
"391",2,1,0.531,0.777,0.397
"392",2,1,2.441,0.612,0.724
"393",2,1,2.118,0.631,0.717
"394",2,1,0.349,0.995,0.341
"395",2,1,4,0.833,2.834
"396",2,1,1.364,0.317,0.105
"397",2,1,0.756,0.413,0.117
"398",2,1,0.579,0.58,0.202
"399",2,1,0.823,0.808,0.541
"400",2,1,0.774,0.366,0.097
"401",2,1,2.452,0.914,2.304
"402",2,1,0.741,0.642,0.257
"403",2,1,0.281,0.763,0.154
"404",2,1,1.406,0.556,0.413
"405",2,1,1.378,0.445,0.201
"406",2,1,1.044,1.332,0.838
"407",2,1,2.564,0.557,2.443
"408",2,1,1.234,0.68,1.211
"409",2,1,1.034,0.633,0.512
"410",2,1,1.373,0.288,0.149
"411",2,1,0.349,0.842,0.282
"412",2,1,2.746,0.289,0.34
