"","tree","branch","length"
"729",15,170,507
"730",15,171,65.5
"731",15,172,63.5
"732",15,173,86
"733",15,174,44.5
"734",15,175,66
"735",15,176,160.5
"736",15,177,67
"737",15,178,66
"738",15,179,70
"739",15,180,130
"740",15,181,126.5
"741",15,182,236
"742",15,183,42
"743",15,184,81.5
"744",15,185,67
"745",15,186,2588.5
"746",15,187,200
"747",15,188,171
"748",15,189,2300.5
"749",15,190,1195
"750",15,191,407.5
"751",15,192,95.5
"752",15,193,283
"753",15,194,49
"754",15,195,205
"755",15,196,51
"756",15,197,141.5
"757",15,198,727.5
"758",15,199,87
"759",15,200,621.5
"760",15,201,603
"761",15,202,102
"762",15,203,462
"763",15,204,75
"764",15,205,347
"765",15,206,56
"766",15,207,86.5
"767",15,208,56
"768",15,209,117
"769",15,210,775.5
"770",15,211,427
"771",15,212,95
"772",15,213,262
"773",15,214,118
"774",15,215,105
"775",15,216,41
"776",15,217,39
"777",15,218,329
"778",15,219,82
"779",15,220,221
"780",15,221,123
"781",15,222,52
"782",15,223,279
"783",15,224,67.5
"784",15,225,156.5
"785",15,226,82.5
"786",15,227,37
"787",15,228,371.5
"788",15,229,95
"789",15,230,200
"790",15,231,34
"791",15,232,106
"792",15,233,29.5
"793",15,237,179.5
"794",15,234,37.5
"795",15,235,92.5
"796",15,236,59
"797",15,238,1456.5
"798",15,239,64
"799",15,240,1361
"800",15,241,1336
"801",15,242,57.5
"802",15,243,1263
"803",15,244,42
"804",15,245,318.5
"805",15,246,63.5
"806",15,247,76
"807",15,248,154
"808",15,249,81.5
"809",15,250,55
"810",15,251,877.5
"811",15,252,100
"812",15,253,354
"813",15,254,78
"814",15,255,250
"815",15,256,47
"816",15,257,172
"817",15,258,45
"818",15,259,93
"819",15,260,383.5
"820",15,261,105.5
"821",15,262,245
"822",15,263,108
"823",15,264,102
"824",15,265,17
