grower,block,id,light_id,tree,scaffold,bearing,declination,length,diameter
AR,7,7,,1,3,250,55,523,109
AR,7,7,,1,4,300,55,514,105
AR,7,7,,2,0,,,102,196
AR,7,7,,2,1,100,60,490,81
AR,7,7,,2,2,180,70,545,131
AR,7,7,,2,3,300,35,,69
AR,7,7,,2,4,340,45,630,138
AR,7,7,,3,0,,,91,195
AR,7,7,,3,1,60,55,530,112
AR,7,7,,3,2,120,65,523,125
AR,7,7,,3,3,250,65,585,115
AR,7,7,,4,0,,,99,209
AR,7,7,,4,1,120,65,535,146
AR,7,7,,4,2,210,40,630,116
AR,7,7,,4,3,360,55,452,106
AR,7,7,,5,0,,,100,189
AR,7,7,,5,1,121,60,530,103
AR,7,7,,5,2,230,75,468,122
AR,7,7,,5,3,340,50,490,107
AR,8,8,,1,0,,,115,184
AR,8,8,,1,1,160,55,464,104
AR,8,8,,1,2,190,40,405,95
AR,8,8,,1,3,280,60,454,92
AR,8,8,,1,4,360,40,337,85
AR,8,8,,2,0,,,97,156
AR,8,8,,2,1,110,30,397,142
AR,8,8,,2,2,200,55,261,59
AR,8,8,,2,3,270,55,371,92
AR,8,8,,3,0,,,97,166
AR,8,8,,3,1,110,40,320,69
AR,8,8,,3,2,160,50,473,101
AR,8,8,,3,3,240,45,463,99
AR,8,8,,3,4,300,35,448,103
AR,8,8,,4,0,,,480,160
AR,8,8,,4,1,100,55,460,99
AR,8,8,,4,2,200,55,189,96
AR,8,8,,4,3,340,55,354,99
AR,8,8,,5,0,,,97,188
AR,8,8,,5,1,120,45,414,100
AR,8,8,,5,2,210,45,419,102
AR,8,8,,5,3,330,45,508,118
CH,1,9,4,1,0,,,106,243
CH,1,9,4,1,1,50,65,415,118
CH,1,9,4,1,2,150,70,556,155
CH,1,9,4,1,3,310,65,493,143
CH,1,9,4,2,0,,,108,257
CH,1,9,4,2,1,10,60,765,190
CH,1,9,4,2,2,100,45,710,190
CH,1,9,4,2,3,220,80,532,166
CH,1,9,4,3,0,,,106,196
CH,1,9,4,3,1,330,45,433,133
CH,1,9,4,3,2,80,45,510,150
CH,1,9,4,3,3,210,65,512,120
CH,1,9,4,4,0,,,108,235
CH,1,9,4,4,1,30,55,530,170
CH,1,9,4,4,2,120,50,508,155
CH,1,9,4,4,3,210,40,455,80
CH,1,9,4,4,4,310,65,515,110
CH,1,9,4,5,0,,,120,201
CH,1,9,4,5,1,300,50,426,115
CH,1,9,4,5,2,60,65,532,141
CH,1,9,4,5,3,170,70,580,127
CH,2,10,5,1,0,,,94,175
CH,2,10,5,1,1,115,55,360,110
CH,2,10,5,1,2,320,45,370,115
CH,2,10,5,1,3,40,45,320,80
CH,2,10,5,2,0,,,127,190
CH,2,10,5,2,1,125,60,445,110
CH,2,10,5,2,2,40,65,440,130
CH,2,10,5,2,3,265,50,400,135
CH,2,10,5,3,0,,,121,164
CH,2,10,5,3,1,120,55,445,111
CH,2,10,5,3,2,200,45,405,103
CH,2,10,5,3,3,315,40,405,101
CH,2,10,5,4,0,,,131,148
CH,2,10,5,4,1,30,55,390,91
CH,2,10,5,4,2,150,80,365,84
CH,2,10,5,4,3,300,50,412,98
CH,2,10,5,5,0,,,111,194
CH,2,10,5,5,1,340,50,516,130
CH,2,10,5,5,2,110,45,471,120
CH,2,10,5,5,3,210,45,520,130
CH,3,11,6,1,0,,,110,96
CH,3,11,6,1,1,10,40,248,65
CH,3,11,6,1,2,90,25,222,57
CH,3,11,6,1,3,210,60,224,58
CH,3,11,6,2,0,,,105,113
CH,3,11,6,2,1,20,35,279,70
CH,3,11,6,2,2,180,35,255,75
CH,3,11,6,2,3,300,40,272,68
CH,3,11,6,3,0,,,108,120
CH,3,11,6,3,1,310,45,294,90
CH,3,11,6,3,2,50,50,278,80
CH,3,11,6,3,3,180,45,290,80
CH,3,11,6,4,0,,,114,128
CH,3,11,6,4,1,330,25,314,91
CH,3,11,6,4,2,90,55,294,83
CH,3,11,6,4,3,210,50,295,90
CH,3,11,6,5,0,,,125,130
CH,3,11,6,5,1,330,50,319,88
CH,3,11,6,5,2,90,60,304,96
CH,3,11,6,5,3,190,55,262,75
CH,4,12,,1,0,,,128,230
CH,4,12,,1,1,0,70,515,99
CH,4,12,,1,2,110,75,585,162
CH,4,12,,1,3,260,70,520,165
CH,4,12,,2,0,,,101,195
CH,4,12,,2,1,0,40,565,128
CH,4,12,,2,2,90,70,560,116
CH,4,12,,2,3,200,50,580,114
CH,4,12,,2,4,270,45,454,106
CH,4,12,,3,0,,,100,232
CH,4,12,,3,1,20,35,510,178
CH,4,12,,3,2,180,85,553,183
CH,4,12,,3,3,300,70,533,120
CH,4,12,,4,0,,,102,221
CH,4,12,,4,1,310,55,469,120
CH,4,12,,4,2,70,65,505,138
CH,4,12,,4,3,230,65,555,47
CH,4,12,,5,0,,,89,195
CH,4,12,,5,1,350,60,432,135
CH,4,12,,5,2,110,45,437,140
CH,4,12,,5,3,290,60,473,123
CH,5,13,,1,0,,,95,182
CH,5,13,,1,1,320,75,393,117
CH,5,13,,1,2,90,70,292,100
CH,5,13,,1,3,210,70,396,94
CH,5,13,,2,0,,,124,149
CH,5,13,,2,1,50,65,505,175
CH,5,13,,2,2,190,70,520,155
CH,5,13,,2,3,270,65,514,126
CH,5,13,,3,0,,,120,207
CH,5,13,,3,1,0,50,362,111
CH,5,13,,3,2,80,65,450,140
CH,5,13,,3,3,240,70,405,136
CH,5,13,,4,0,,,107,213
CH,5,13,,4,1,10,55,414,93
CH,5,13,,4,2,100,50,370,117
CH,5,13,,4,3,170,50,520,154
CH,5,13,,4,4,260,35,485,125
CH,5,13,,5,0,,,121,232
CH,5,13,,5,1,30,65,580,133
CH,5,13,,5,2,210,70,525,177
CH,5,13,,5,3,300,65,375,120
CH,6,14,,1,0,,,108,172
CH,6,14,,1,1,330,65,376,106
CH,6,14,,1,2,130,75,397,118
CH,6,14,,1,3,230,80,409,98
CH,6,14,,2,0,,,101,185
CH,6,14,,2,1,60,65,464,127
CH,6,14,,2,2,30,55,408,111
CH,6,14,,2,3,290,55,457,117
CH,6,14,,3,0,,,99,173
CH,6,14,,3,1,310,65,434,120
CH,6,14,,3,2,100,55,450,122
CH,6,14,,3,3,220,30,413,96
CH,6,14,,4,0,,,119,195
CH,6,14,,4,1,340,65,436,133
CH,6,14,,4,2,180,70,474,123
CH,6,14,,4,3,260,55,444,116
CH,6,14,,5,0,,,102,184
CH,6,14,,5,1,330,60,195,104
CH,6,14,,5,2,60,55,423,110
CH,6,14,,5,3,260,55,427,135
CH,7,15,,1,0,,,129,243
CH,7,15,,1,1,10,55,433,175
CH,7,15,,1,2,230,65,591,164
CH,7,15,,2,0,,,128,220
CH,7,15,,2,1,30,45,335,135
CH,7,15,,2,2,200,70,448,147
CH,7,15,,2,3,310,25,395,96
CH,7,15,,3,0,,,132,217
CH,7,15,,3,1,320,35,486,153
CH,7,15,,3,2,120,80,304,118
CH,7,15,,3,3,220,50,307,151
CH,7,15,,4,0,,,134,245
CH,7,15,,4,1,20,60,605,175
CH,7,15,,4,2,250,60,550,174
CH,7,15,,5,0,,,116,250
CH,7,15,,5,1,320,30,593,160
CH,7,15,,5,2,30,50,384,154
CH,7,15,,5,3,230,70,431,172
CH,8,16,,1,0,,,105,170
CH,8,16,,1,1,330,40,386,104
CH,8,16,,1,2,80,50,456,127
CH,8,16,,1,3,240,45,408,108
CH,8,16,,2,0,,,102,146
CH,8,16,,2,1,330,60,394,98
CH,8,16,,2,2,60,65,385,100
CH,8,16,,2,3,220,55,404,95
CH,8,16,,3,0,,,90,131
CH,8,16,,3,1,310,60,366,98
CH,8,16,,3,2,90,40,378,86
CH,8,16,,3,3,170,50,382,80
CH,8,16,,4,0,,,103,147
CH,8,16,,4,1,40,50,400,83
CH,8,16,,4,2,140,55,344,104
CH,8,16,,4,3,280,55,349,90
CH,8,16,,5,0,,,98,146
CH,8,16,,5,1,340,70,351,95
CH,8,16,,5,2,120,55,355,92
CH,8,16,,5,3,220,55,388,83
OV,1,17,,1,0,,,117,192
OV,1,17,,1,1,50,45,527,130
OV,1,17,,1,2,120,60,487,106
OV,1,17,,1,3,160,65,450,105
OV,1,17,,1,4,250,60,459,122
OV,1,17,,2,0,,,117,177
OV,1,17,,2,1,50,45,473,130
OV,1,17,,2,2,160,60,474,97
OV,1,17,,2,3,280,65,485,114
OV,1,17,,3,0,,,118,209
OV,1,17,,3,1,80,60,480,149
OV,1,17,,3,2,160,65,533,121
OV,1,17,,3,3,270,45,498,151
OV,1,17,,4,0,,,409,196
OV,1,17,,4,1,90,60,467,140
OV,1,17,,4,2,200,40,505,134
OV,1,17,,4,3,330,60,553,115
OV,1,17,,5,0,,,113,174
OV,1,17,,5,1,330,55,420,119
OV,1,17,,5,2,50,70,351,88
OV,1,17,,5,3,160,40,383,102
OV,1,17,,5,4,260,55,342,82
OV,2,18,7,1,0,,,115,190
OV,2,18,7,1,1,10,70,450,120
OV,2,18,7,1,2,120,50,458,123
OV,2,18,7,1,3,220,55,441,120
OV,2,18,7,2,0,,,119,187
OV,2,18,7,2,1,60,35,422,97
OV,2,18,7,2,2,140,60,427,115
OV,2,18,7,2,3,210,70,433,83
OV,2,18,7,2,4,300,45,460,123
OV,2,18,7,3,0,,,120,218
OV,2,18,7,3,1,10,65,481,130
OV,2,18,7,3,2,90,65,460,129
OV,2,18,7,3,3,160,50,370,69
OV,2,18,7,3,4,240,55,489,151
OV,2,18,7,4,0,,,115,186
OV,2,18,7,4,1,10,45,445,110
OV,2,18,7,4,2,100,55,413,89
OV,2,18,7,4,3,150,55,437,111
OV,2,18,7,4,4,330,60,448,116
OV,2,18,7,5,0,,,129,202
OV,2,18,7,5,1,360,60,489,145
OV,2,18,7,5,2,90,60,461,109
OV,2,18,7,5,3,213,60,479,120
OV,2,18,7,5,4,280,40,418,88
OV,3,19,,1,0,,,99,156
OV,3,19,,1,1,40,50,382,171
OV,3,19,,1,2,90,35,406,102
OV,3,19,,1,3,200,60,461,94
OV,3,19,,1,4,280,40,435,113
OV,3,19,,2,0,,,91,139
OV,3,19,,2,1,50,50,322,81
OV,3,19,,2,2,90,45,341,70
OV,3,19,,2,3,170,65,344,91
OV,3,19,,2,4,300,45,335,87
OV,3,19,,3,0,,,98,135
OV,3,19,,3,1,30,55,312,82
OV,3,19,,3,2,90,45,308,65
OV,3,19,,3,3,180,60,305,70
OV,3,19,,3,4,270,60,335,92
OV,3,19,,4,0,,,90,136
OV,3,19,,4,1,360,35,352,95
OV,3,19,,4,2,40,20,271,51
OV,3,19,,4,3,120,45,357,80
OV,3,19,,4,4,210,60,351,83
OV,3,19,,5,0,,,96,159
OV,3,19,,5,1,20,60,389,90
OV,3,19,,5,2,80,45,379,93
OV,3,19,,5,3,190,65,400,101
OV,3,19,,5,4,300,45,353,79
OV,4,20,8,1,0,,,123,137
OV,4,20,8,1,1,50,40,327,91
OV,4,20,8,1,2,100,35,318,56
OV,4,20,8,1,3,260,60,344,95
OV,4,20,8,2,0,,,112,134
OV,4,20,8,2,1,300,40,309,89
OV,4,20,8,2,2,70,60,303,77
OV,4,20,8,2,3,160,45,322,91
OV,4,20,8,3,0,,,115,126
OV,4,20,8,3,1,340,45,312,85
OV,4,20,8,3,2,80,50,319,87
OV,4,20,8,3,3,260,55,301,80
OV,4,20,8,4,0,,,108,132
OV,4,20,8,4,1,50,45,306,85
OV,4,20,8,4,2,100,35,333,84
OV,4,20,8,4,3,230,50,392,98
OV,4,20,8,5,0,,,119,124
OV,4,20,8,5,1,30,55,322,85
OV,4,20,8,5,2,140,50,320,76
OV,4,20,8,5,3,270,45,302,80
OV,5,21,,1,0,,,105,176
OV,5,21,,1,1,350,55,403,106
OV,5,21,,1,2,80,55,474,110
OV,5,21,,1,3,21,65,464,118
OV,5,21,,1,4,270,55,310,56
OV,5,21,,2,0,,,110,196
OV,5,21,,2,1,310,55,441,130
OV,5,21,,2,2,90,55,507,112
OV,5,21,,2,3,180,45,492,127
OV,5,21,,3,0,,,115,150
OV,5,21,,3,1,50,25,379,103
OV,5,21,,3,2,120,30,342,63
OV,5,21,,3,3,190,50,370,83
OV,5,21,,3,4,300,50,362,95
OV,5,21,,4,0,,,108,192
OV,5,21,,4,1,320,55,534,125
OV,5,21,,4,2,60,55,431,89
OV,5,21,,4,3,120,50,515,118
OV,5,21,,4,4,190,65,462,109
OV,5,21,,5,0,,,104,192
OV,5,21,,5,1,10,40,416,189
OV,5,21,,5,2,100,50,445,28
OV,5,21,,5,3,190,55,362,76
OV,5,21,,5,4,280,40,438,110
OV,6,22,9,1,0,,,111,224
OV,6,22,9,1,1,320,60,560,160
OV,6,22,9,1,2,90,50,534,115
OV,6,22,9,1,3,200,70,564,160
OV,6,22,9,1,4,260,50,391,59
OV,6,22,9,2,0,,,102,194
OV,6,22,9,2,1,60,35,382,70
OV,6,22,9,2,2,140,50,383,108
OV,6,22,9,2,3,270,70,419,134
OV,6,22,9,2,4,310,40,484,114
OV,6,22,9,3,0,,,122,214
OV,6,22,9,3,1,30,55,545,168
OV,6,22,9,3,2,90,45,431,74
OV,6,22,9,3,3,160,45,500,95
OV,6,22,9,3,4,250,55,469,141
OV,6,22,9,4,0,,,113,224
OV,6,22,9,4,1,40,50,550,149
OV,6,22,9,4,2,110,65,469,125
OV,6,22,9,4,3,200,40,577,151
OV,6,22,9,4,4,280,40,614,125
OV,6,22,9,5,0,,,122,242
OV,6,22,9,5,1,70,45,371,139
OV,6,22,9,5,2,150,45,535,138
OV,6,22,9,5,3,210,50,424,92
OV,6,22,9,5,4,270,45,690,162
OV,7,23,,1,0,,,134,190
OV,7,23,,1,1,30,45,388,125
OV,7,23,,1,2,160,65,477,152
OV,7,23,,1,3,300,35,207,70
OV,7,23,,2,0,,,129,210
OV,7,23,,2,1,60,55,517,151
OV,7,23,,2,2,180,65,456,120
OV,7,23,,2,3,240,40,417,79
OV,7,23,,2,4,310,50,471,132
OV,7,23,,3,0,,,118,214
OV,7,23,,3,1,10,45,533,137
OV,7,23,,3,2,120,50,480,120
OV,7,23,,3,3,180,75,523,129
OV,7,23,,3,4,240,45,504,108
OV,7,23,,4,0,,,120,226
OV,7,23,,4,1,30,55,412,110
OV,7,23,,4,2,70,50,514,124
OV,7,23,,4,3,180,65,463,138
OV,7,23,,4,4,240,65,456,116
OV,7,23,,5,0,,,105,212
OV,7,23,,5,1,30,60,464,107
OV,7,23,,5,2,130,50,498,145
OV,7,23,,5,3,230,65,457,123
OV,7,23,,5,4,310,50,425,121
OV,8,24,,1,0,,,123,179
OV,8,24,,1,1,40,45,453,118
OV,8,24,,1,2,140,70,418,95
OV,8,24,,1,3,210,40,389,117
OV,8,24,,1,4,310,45,372,80
OV,8,24,,2,0,,,117,188
OV,8,24,,2,1,30,55,462,130
OV,8,24,,2,2,180,55,375,95
OV,8,24,,2,3,240,45,410,75
OV,8,24,,2,4,330,60,272,51
OV,8,24,,3,0,,,120,122
OV,8,24,,3,1,340,60,482,121
OV,8,24,,3,2,120,55,487,155
OV,8,24,,3,3,250,50,475,136
OV,8,24,,4,0,,,122,176
OV,8,24,,4,1,60,45,399,133
OV,8,24,,4,2,170,50,371,109
OV,8,24,,4,3,250,40,354,65
OV,8,24,,4,4,300,45,354,70
OV,8,24,,5,0,,,113,177
OV,8,24,,5,1,340,30,309,60
OV,8,24,,5,2,50,40,409,92
OV,8,24,,5,3,150,55,363,114
OV,8,24,,5,4,260,55,414,119
SR,1,25,10,1,0,,,95,128
SR,1,25,10,1,1,30,65,342,32
SR,1,25,10,1,2,210,60,321,25
SR,1,25,10,1,3,260,70,330,24
SR,1,25,10,2,0,,,104,140
SR,1,25,10,2,1,100,40,341,65
SR,1,25,10,2,2,150,55,335,82
SR,1,25,10,2,3,240,40,318,84
SR,1,25,10,2,4,300,55,323,62
SR,1,25,10,2,5,10,50,354,89
SR,1,25,10,3,0,,,120,126
SR,1,25,10,3,1,80,55,297,81
SR,1,25,10,3,2,190,35,257,41
SR,1,25,10,3,3,260,65,304,80
SR,1,25,10,3,4,350,55,314,82
SR,1,25,10,4,0,,,84,129
SR,1,25,10,4,1,100,45,304,81
SR,1,25,10,4,2,210,55,311,92
SR,1,25,10,4,3,310,55,332,81
SR,1,25,10,4,4,30,40,278,46
SR,1,25,10,5,0,,,119,117
SR,1,25,10,5,1,180,60,284,70
SR,1,25,10,5,2,270,50,298,84
SR,1,25,10,5,3,360,55,283,70
SR,2,26,11,1,0,,,95,168
SR,2,26,11,1,1,60,50,442,95
SR,2,26,11,1,2,180,50,418,120
SR,2,26,11,1,3,290,40,425,86
SR,2,26,11,1,4,310,40,411,85
SR,2,26,11,2,0,,,90,160
SR,2,26,11,2,1,110,45,445,105
SR,2,26,11,2,2,240,50,379,82
SR,2,26,11,2,3,300,45,331,58
SR,2,26,11,2,4,360,55,436,105
SR,2,26,11,3,0,,,105,172
SR,2,26,11,3,1,110,60,418,100
SR,2,26,11,3,2,190,65,432,104
SR,2,26,11,3,3,270,70,407,75
SR,2,26,11,3,4,310,70,422,90
SR,2,26,11,4,0,,,112,160
SR,2,26,11,4,1,100,50,428,92
SR,2,26,11,4,2,160,70,327,71
SR,2,26,11,4,3,240,55,457,91
SR,2,26,11,4,4,360,60,482,112
SR,2,26,11,5,0,,,112,186
SR,2,26,11,5,1,90,55,472,136
SR,2,26,11,5,2,210,50,452,103
SR,2,26,11,5,3,300,65,475,103
SR,3,27,,1,0,,,120,210
SR,3,27,,1,1,30,45,353,119
SR,3,27,,1,2,120,50,470,160
SR,3,27,,1,3,210,45,520,143
SR,3,27,,2,0,,,102,218
SR,3,27,,2,1,40,50,490,127
SR,3,27,,2,2,130,50,560,143
SR,3,27,,2,3,250,65,452,150
SR,3,27,,3,0,,,97,240
SR,3,27,,3,1,300,65,510,189
SR,3,27,,3,2,120,35,653,180
SR,3,27,,4,0,,,122,200
SR,3,27,,4,1,10,70,550,144
SR,3,27,,4,2,50,70,338,122
SR,3,27,,4,3,210,65,536,121
SR,3,27,,5,0,,,113,240
SR,3,27,,5,1,90,50,496,155
SR,3,27,,5,2,190,50,512,155
SR,3,27,,5,3,290,55,538,126
SR,4,28,12,1,0,,,112,190
SR,4,28,12,1,1,60,50,550,125
SR,4,28,12,1,2,190,50,535,130
SR,4,28,12,1,3,290,75,542,132
SR,4,28,12,2,0,,,103,193
SR,4,28,12,2,1,140,60,511,142
SR,4,28,12,2,2,360,55,485,126
SR,4,28,12,3,0,,,84,189
SR,4,28,12,3,1,120,55,459,95
SR,4,28,12,3,2,190,40,384,75
SR,4,28,12,3,3,240,45,521,93
SR,4,28,12,3,4,360,65,493,117
SR,4,28,12,4,0,,,99,210
SR,4,28,12,4,1,90,55,559,126
SR,4,28,12,4,2,200,60,569,155
SR,4,28,12,4,3,310,45,529,92
SR,4,28,12,5,0,,,98,188
SR,4,28,12,5,1,70,45,493,95
SR,4,28,12,5,2,170,45,527,128
SR,4,28,12,5,3,240,65,405,64
SR,4,28,12,5,4,360,65,518,126
SR,5,29,,1,0,,,96,172
SR,5,29,,1,1,20,65,515,115
SR,5,29,,1,2,100,60,446,95
SR,5,29,,1,3,180,50,455,96
SR,5,29,,1,4,250,55,396,72
SR,5,29,,2,0,,,99,187
SR,5,29,,2,1,30,20,447,77
SR,5,29,,2,2,100,70,522,130
SR,5,29,,2,3,180,50,454,102
SR,5,29,,2,4,280,65,481,119
SR,5,29,,3,0,,,104,184
SR,5,29,,3,1,60,55,508,143
SR,5,29,,3,2,160,70,483,108
SR,5,29,,3,3,270,60,474,92
SR,5,29,,4,0,,,104,176
SR,5,29,,4,1,40,45,424,104
SR,5,29,,4,2,120,65,423,103
SR,5,29,,4,3,210,60,485,115
SR,5,29,,4,4,300,55,318,53
SR,5,29,,5,0,,,93,194
SR,5,29,,5,1,330,55,449,121
SR,5,29,,5,2,150,55,532,150
SR,5,29,,5,3,270,50,498,115
SR,6,30,,1,0,,,107,220
SR,6,30,,1,1,40,65,579,121
SR,6,30,,1,2,120,55,595,141
SR,6,30,,1,3,270,55,543,139
SR,6,30,,2,0,,,107,212
SR,6,30,,2,1,340,55,432,88
SR,6,30,,2,2,70,65,555,116
SR,6,30,,2,3,200,65,565,146
SR,6,30,,3,0,,,105,187
SR,6,30,,3,1,10,55,505,123
SR,6,30,,3,2,40,45,485,123
SR,6,30,,3,3,210,55,518,125
SR,6,30,,4,0,,,115,198
SR,6,30,,4,1,90,50,512,118
SR,6,30,,4,2,190,35,436,95
SR,6,30,,4,3,260,55,527,130
SR,6,30,,5,0,,,118,212
SR,6,30,,5,1,80,55,605,139
SR,6,30,,5,2,150,50,595,115
SR,6,30,,5,3,270,55,514,158
SR,7,31,,1,0,,,88,237
SR,7,31,,1,1,120,70,568,149
SR,7,31,,1,2,260,70,607,166
SR,7,31,,1,3,320,45,405,69
SR,7,31,,1,4,30,50,462,90
SR,7,31,,2,0,,,105,213
SR,7,31,,2,1,70,60,496,126
SR,7,31,,2,2,150,55,541,117
SR,7,31,,2,3,250,55,459,92
SR,7,31,,2,4,30,70,436,115
SR,7,31,,3,0,,,112,203
SR,7,31,,3,1,110,45,404,69
SR,7,31,,3,2,190,65,464,131
SR,7,31,,3,3,330,40,476,135
SR,7,31,,4,0,,,95,200
SR,7,31,,4,1,150,45,473,120
SR,7,31,,4,2,250,55,491,115
SR,7,31,,4,3,310,35,480,110
SR,7,31,,5,0,,,105,214
SR,7,31,,5,1,130,60,545,156
SR,7,31,,5,2,210,60,397,120
SR,7,31,,5,3,270,50,454,95
SR,7,31,,5,4,250,60,492,145
SS,1,32,13,1,0,,,122,89
SS,1,32,13,1,1,150,60,241,49
SS,1,32,13,1,2,240,55,232,54
