grower,block,id,light_id,tree,scaffold,bearing,declination,length,diameter
AR,1,1,1,1,0,,,96,184
AR,1,1,1,1,1,0,70,484,121
AR,1,1,1,1,2,90,60,496,97
AR,1,1,1,1,3,160,60,486,105
AR,1,1,1,1,4,245,70,457,99
AR,1,1,1,1,5,300,65,431,72
AR,1,1,1,2,0,,,92,160
AR,1,1,1,2,1,340,40,385,85
AR,1,1,1,2,2,70,50,413,89
AR,1,1,1,2,3,190,55,484,115
AR,1,1,1,2,4,240,45,346,65
AR,1,1,1,3,0,,,105,185
AR,1,1,1,3,1,65,610,479,120
AR,1,1,1,3,2,55,80,483,121
AR,1,1,1,3,3,65,170,484,105
AR,1,1,1,4,0,,,104,155
AR,1,1,1,4,1,310,50,397,100
AR,1,1,1,4,2,60,55,479,83
AR,1,1,1,4,3,150,60,365,90
AR,1,1,1,4,4,240,50,452,90
AR,1,1,1,5,0,,,103,180
AR,1,1,1,5,1,40,55,489,110
AR,1,1,1,5,2,80,60,501,103
AR,1,1,1,5,3,200,60,483,110
AR,1,1,1,5,4,330,65,514,134
AR,2,2,,1,0,,,130,119
AR,2,2,,1,1,20,70,282,82
AR,2,2,,1,2,110,45,254,56
AR,2,2,,1,3,220,75,239,82
AR,2,2,,1,4,300,70,276,80
AR,2,2,,2,0,,,125,112
AR,2,2,,2,1,300,45,272,64
AR,2,2,,2,2,60,45,272,53
AR,2,2,,2,3,170,55,276,75
AR,2,2,,2,4,260,50,262,66
AR,2,2,,3,0,,,115,101
AR,2,2,,3,1,50,65,234,63
AR,2,2,,3,2,70,30,179,32
AR,2,2,,3,3,215,70,200,59
AR,2,2,,3,4,275,65,224,75
AR,2,2,,4,0,,,108,105
AR,2,2,,4,1,0,58,261,93
AR,2,2,,4,2,95,62,254,68
AR,2,2,,4,3,275,70,279,90
AR,2,2,,5,0,,,101,116
AR,2,2,,5,1,10,55,289,58
AR,2,2,,5,2,80,40,296,62
AR,2,2,,5,3,190,6,277,75
AR,2,2,,5,4,280,45,312,82
AR,3,3,2,1,0,,,91,121
AR,3,3,2,1,1,40,25,292,81
AR,3,3,2,1,2,160,65,282,63
AR,3,3,2,1,3,230,65,285,71
AR,3,3,2,1,4,300,30,295,68
AR,3,3,2,2,0,,,106,104
AR,3,3,2,2,1,50,45,245,58
AR,3,3,2,2,2,150,40,226,61
AR,3,3,2,2,3,240,50,234,64
AR,3,3,2,2,4,310,65,234,50
AR,3,3,2,3,0,,,105,106
AR,3,3,2,3,1,340,60,294,64
AR,3,3,2,3,2,50,65,270,43
AR,3,3,2,3,3,150,60,258,49
AR,3,3,2,3,4,270,65,271,62
AR,3,3,2,4,0,,,112,100
AR,3,3,2,4,1,360,65,269,61
AR,3,3,2,4,2,100,35,219,39
AR,3,3,2,4,3,170,55,257,63
AR,3,3,2,4,4,260,60,255,60
AR,3,3,2,5,0,,,105,110
AR,3,3,2,5,1,330,45,305,78
AR,3,3,2,5,2,70,30,369,41
AR,3,3,2,5,3,170,75,281,71
AR,3,3,2,5,4,280,45,297,55
AR,4,4,,1,0,,,94,167
AR,4,4,,1,1,30,50,517,116
AR,4,4,,1,2,150,55,496,108
AR,4,4,,1,3,260,50,513,111
AR,4,4,,2,0,,,99,167
AR,4,4,,2,1,10,65,500,112
AR,4,4,,2,2,50,40,412,55
AR,4,4,,2,3,120,65,485,70
AR,4,4,,2,4,180,70,475,106
AR,4,4,,2,5,310,55,354,82
AR,4,4,,3,0,,,92,180
AR,4,4,,3,1,330,56,481,111
AR,4,4,,3,2,60,40,543,102
AR,4,4,,3,3,150,55,515,116
AR,4,4,,3,4,240,65,496,96
AR,4,4,,4,0,,,96,191
AR,4,4,,4,1,60,55,524,102
AR,4,4,,4,2,150,60,469,114
AR,4,4,,4,3,230,65,475,71
AR,4,4,,4,4,300,55,488,120
AR,4,4,,5,0,,,102,144
AR,4,4,,5,1,360,50,381,55
AR,4,4,,5,2,70,55,378,87
AR,4,4,,5,3,170,65,473,101
AR,4,4,,5,4,290,50,416,85
AR,5,5,,1,0,,,105,182
AR,5,5,,1,1,30,45,485,101
AR,5,5,,1,2,130,60,372,71
AR,5,5,,1,3,230,70,490,120
AR,5,5,,1,4,310,50,452,98
AR,5,5,,2,0,,,98,190
AR,5,5,,2,1,30,50,482,92
AR,5,5,,2,2,100,65,411,127
AR,5,5,,2,3,200,70,490,100
AR,5,5,,2,4,300,60,505,105
AR,5,5,,3,0,,,99,174
AR,5,5,,3,1,330,55,489,109
AR,5,5,,3,2,60,40,443,79
AR,5,5,,3,3,150,65,443,99
AR,5,5,,3,4,220,65,458,104
AR,5,5,,4,0,,,120,160
AR,5,5,,4,1,20,35,465,94
AR,5,5,,4,2,100,50,456,106
AR,5,5,,4,3,210,60,453,90
AR,5,5,,4,4,250,45,457,111
AR,5,5,,5,0,,,106,167
AR,5,5,,5,1,30,60,479,87
AR,5,5,,5,2,100,55,472,105
AR,5,5,,5,3,200,55,465,86
AR,5,5,,5,4,270,35,465,90
AR,6,6,3,1,0,,,96,265
AR,6,6,3,1,1,90,40,505,126
AR,6,6,3,1,2,150,50,544,139
AR,6,6,3,1,3,240,65,680,141
AR,6,6,3,1,4,310,50,581,147
AR,6,6,3,2,0,,,90,211
AR,6,6,3,2,1,60,55,504,105
AR,6,6,3,2,2,160,60,544,113
AR,6,6,3,2,3,230,60,581,124
AR,6,6,3,2,4,330,55,559,111
AR,6,6,3,3,0,,,102,204
AR,6,6,3,3,1,190,65,548,136
AR,6,6,3,3,2,260,50,513,115
AR,6,6,3,3,3,330,50,522,104
AR,6,6,3,4,0,,,101,205
AR,6,6,3,4,1,80,45,449,139
AR,6,6,3,4,2,190,35,503,101
AR,6,6,3,4,3,260,55,569,130
AR,6,6,3,4,4,360,50,435,91
AR,6,6,3,5,0,,,96,202
AR,6,6,3,5,1,100,35,494,100
AR,6,6,3,5,2,210,50,619,177
AR,6,6,3,5,3,270,45,575,91
AR,6,6,3,5,4,360,30,272,83
AR,7,7,,1,0,,,102,195
AR,7,7,,1,1,20,45,382,80
AR,7,7,,1,2,130,60,541,126
