"","grower","block","tree","avg_light","avg_sugar"
"1","AR",1,1,0.775666666666667,9.66666666666667
"2","AR",1,2,0.856333333333333,9.26666666666667
"3","AR",1,3,0.761666666666667,9.66666666666667
"4","AR",1,4,0.383333333333333,11.0666666666667
"5","AR",1,5,0.772333333333333,9.6
"6","AR",3,1,0.92,12.2666666666667
"7","AR",3,2,0.768333333333333,13.6666666666667
"8","AR",3,3,0.954,12.3
"9","AR",3,4,0.718,13.8
"10","AR",3,5,0.777666666666667,15.1333333333333
"11","AR",6,1,0.546666666666667,9.8
"12","AR",6,2,0.895,9.66666666666667
"13","AR",6,3,0.616666666666667,8.06666666666667
"14","AR",6,4,0.710666666666667,9.53333333333333
"15","AR",6,5,0.825,9.2
"16","CH",1,1,0.857666666666667,9.93333333333333
"17","CH",1,2,0.923333333333333,10.3333333333333
"18","CH",1,3,0.858666666666667,10.6666666666667
"19","CH",1,4,0.858666666666667,9.8
"20","CH",1,5,0.705,9.8
"21","CH",2,1,0.512666666666667,10.4666666666667
"22","CH",2,2,0.863333333333333,11.9
"23","CH",2,3,0.655333333333333,11.4
"24","CH",2,4,0.559333333333333,11.7333333333333
"25","CH",2,5,0.608,9.73333333333333
"26","CH",3,1,0.152,14.8
"27","CH",3,2,NA,NA
"28","CH",3,3,0.621666666666667,14.2
"29","CH",3,4,0.36,13.7333333333333
"30","CH",3,5,0.677,12.6
"31","OV",2,1,0.564333333333333,11.6
"32","OV",2,2,0.516333333333333,10.9333333333333
"33","OV",2,3,0.466666666666667,10.2666666666667
"34","OV",2,4,0.692666666666667,10.8
"35","OV",2,5,0.705666666666667,9.53333333333333
"36","OV",4,1,0.700666666666667,14.1333333333333
"37","OV",4,2,0.589333333333333,11.9333333333333
"38","OV",4,3,0.522,12.8
"39","OV",4,4,0.625666666666667,12.7333333333333
"40","OV",4,5,0.494666666666667,13.2
"41","OV",6,1,0.495,10.2
"42","OV",6,2,0.587,11.4666666666667
"43","OV",6,3,0.650333333333333,11.4
"44","OV",6,4,0.736666666666667,9.6
"45","OV",6,5,0.752333333333333,9.86666666666667
"46","SR",1,1,0.549333333333333,12.1333333333333
"47","SR",1,2,0.623333333333333,12.8
"48","SR",1,3,0.926333333333333,11.6666666666667
"49","SR",1,4,0.651,12.2666666666667
"50","SR",1,5,0.934,12
"51","SR",2,1,0.866,9.06666666666667
"52","SR",2,2,0.901,8.66666666666667
"53","SR",2,3,0.872666666666667,9.93333333333333
"54","SR",2,4,0.674333333333333,9.93333333333333
"55","SR",2,5,0.827333333333333,8.33333333333333
"56","SR",4,1,0.88,8.53333333333333
"57","SR",4,2,0.702666666666667,11
"58","SR",4,3,0.883666666666667,9.13333333333333
"59","SR",4,4,0.797333333333333,9.06666666666667
"60","SR",4,5,0.670333333333333,8.93333333333333
"61","SS",1,1,0.658,13
"62","SS",1,2,0.378,14.4
"63","SS",1,3,0.584,13.5333333333333
"64","SS",1,4,0.361,14.5333333333333
"65","SS",1,5,0.402666666666667,12.6666666666667
"66","SS",4,1,0.623666666666667,10.6
"67","SS",4,2,0.292,12.4666666666667
"68","SS",4,3,0.218333333333333,12.8
"69","SS",4,4,0.592666666666667,10.7333333333333
"70","SS",4,5,0.392666666666667,13.1333333333333
"71","SS",9,1,0.876333333333333,9.93333333333333
"72","SS",9,2,0.688,11.4
"73","SS",9,3,0.630333333333333,9.93333333333333
"74","SS",9,4,0.306333333333333,10.7333333333333
"75","SS",9,5,0.683,9.73333333333333
