"","block","tree","trunk_mm","TCSA_cm2","no_scaffolds","avg_scaffold_l","sd_scaffold_l","avg_scaffold_d","sd_scaffold_d","avg_angle","sd_angle","low_light","avg_absorbed","avg_extinction","avg_extinction_low","avg_extinction_high","avg_sugar","avg_sugar_out","sugar_diff"
"1",1,1,184,266,5,471,26.527,99,17.697,65,5,NA,0.556,1.49,-0.012,1.674,10.44,10.5,0.023
"2",1,2,160,201,4,407,58.224,88,20.551,48,6.455,NA,0.719,1.639,1.347,1.606,8.28,8.7,0.203
"3",1,3,185,269,3,482,2.646,115,8.963,67,15.275,0.638,0.549,1.235,0.956,1.35,9.2,9.55,0.152
"4",1,4,155,189,4,423,51.694,91,6.994,54,4.787,NA,0.641,1.143,1.169,0.828,11.56,11.5,-0.021
"5",1,5,180,254,4,497,13.72,114,13.574,60,4.082,NA,0.952,2.322,3.072,1.585,9.76,9.7,-0.025
"6",2,1,121,115,4,288,6.028,71,7.588,46,21.747,NA,0.905,2.313,2.409,2.22,13.24,13.05,-0.057
"7",2,2,104,85,4,235,7.805,58,6.021,50,10.801,NA,0.884,1.918,2.203,1.561,14.36,14.15,-0.058
"8",2,3,106,88,4,273,15.042,54,10.149,62,2.887,NA,0.902,2.626,2.404,2.926,12.3,12.3,NA
"9",2,4,100,79,4,250,21.572,56,11.236,54,13.15,NA,0.84,1.647,1.853,1.39,13.8,13.75,-0.014
"10",2,5,110,95,4,313,38.644,61,16.581,49,18.875,0.808,0.813,1.675,1.687,1.61,14.04,14.85,0.231
"11",3,1,265,552,4,578,75.049,138,8.846,51,10.308,0.731,0.796,1.423,1.659,1.292,9.8,10.15,0.143
"12",3,2,211,350,4,547,32.445,113,7.932,58,2.887,NA,0.784,1.793,1.72,1.946,9.76,9.95,0.078
"13",3,3,204,327,3,528,18.175,118,16.258,55,8.66,NA,0.732,1.429,1.499,1.16,8.1,8.1,NA
"14",3,4,205,330,4,489,60.86,115,22.897,46,8.539,0.7,0.748,1.378,1.452,1.22,9.76,10.05,0.119
"15",3,5,202,320,4,490,154.279,113,43.393,40,9.129,NA,0.903,2.191,2.559,1.787,9.24,9.35,0.048
"16",4,1,243,464,3,488,70.633,139,18.877,67,2.887,NA,0.899,2.462,2.576,2.305,10.12,10.4,0.111
"17",4,2,257,519,3,669,121.791,182,13.856,62,17.559,NA,0.968,3.131,3.611,2.4,10.9,10.9,NA
"18",4,3,196,302,3,485,45.044,134,15.044,52,11.547,NA,0.843,2.587,2.305,2.48,11,11.25,0.091
"19",4,4,235,434,4,502,32.65,129,41.307,52,10.408,NA,0.962,2.949,3.473,2.48,10.08,10.1,0.008
