"","block","tree","trunk_mm","TCSA_cm2","no_scaffolds","avg_scaffold_l","sd_scaffold_l","avg_scaffold_d","sd_scaffold_d","avg_angle","sd_angle","cum_BCSA"
"132",27,2,218,373,3,501,54.784,140,11.79,55,8.66,464
"133",27,3,240,452,2,582,101.116,184,6.364,50,21.213,535
"134",27,4,200,314,3,475,118.564,129,13,68,2.887,395
"135",27,5,240,452,3,515,21.197,145,16.743,52,2.887,502
"136",28,1,190,284,3,542,7.506,129,3.606,58,14.434,392
"137",28,2,193,293,2,498,18.385,134,11.314,58,3.536,283
"138",28,3,189,281,4,464,59.202,95,17.205,51,11.087,291
"139",28,4,210,346,3,552,20.817,124,31.533,53,7.638,380
"140",28,5,188,278,4,486,55.722,103,30.215,55,11.547,356
"141",29,1,172,232,4,453,48.806,94,17.597,58,6.455,288
"142",29,2,187,275,4,476,33.99,107,23.08,51,22.5,372
"143",29,3,184,266,3,488,17.616,114,26.083,62,7.638,319
"144",29,4,176,243,4,412,69.352,94,27.705,56,8.539,294
"145",29,5,194,296,3,493,41.725,129,18.717,53,2.887,396
"146",30,1,220,380,3,572,26.633,134,11.015,58,5.774,423
"147",30,2,212,353,3,517,74.07,117,29.006,62,5.774,334
"148",30,3,187,275,3,503,16.623,124,1.155,52,5.774,360
"149",30,4,198,308,3,492,48.789,114,17.786,47,10.408,313
"150",30,5,212,353,3,571,49.903,137,21.548,53,2.887,452
"151",31,1,237,441,4,510,93.276,118,46.364,59,13.15,492
"152",31,2,213,356,4,483,45.891,112,14.48,60,7.071,403
"153",31,3,203,324,3,448,38.575,112,37.005,50,13.229,315
"154",31,4,200,314,3,481,9.074,115,5,45,10,312
"155",31,5,214,360,4,472,62.391,129,27.215,58,5,540
"156",32,1,89,62,3,233,7.095,53,3.606,57,2.887,66
"157",32,2,90,64,3,244,17.088,56,3.786,55,8.66,75
"158",32,3,82,53,3,242,40.278,47,21.733,58,2.887,60
"159",32,4,85,57,3,233,13.65,53,5.508,15,5,66
"160",32,5,95,71,3,279,25.423,62,5.686,58,2.887,90
"161",33,1,178,249,3,438,38.223,106,9.849,63,5.774,266
"162",33,2,204,327,4,394,61.343,114,28.531,56,7.5,427
"163",33,3,205,330,4,404,84.48,105,33.793,44,11.087,373
"164",33,4,203,324,5,417,85.84,101,25.233,57,8.367,419
"165",33,5,205,330,3,413,44.441,129,14.364,43,2.887,393
"166",34,1,183,263,4,492,23.472,108,14.071,51,2.5,371
"167",34,2,165,214,4,431,92.658,90,9.179,54,7.5,258
"168",34,3,196,302,3,454,27.713,118,12.055,53,7.638,329
"169",34,4,212,353,3,513,86.524,126,24.556,43,2.887,384
"170",34,5,178,249,4,412,22.986,92,11.026,44,2.5,270
"171",35,1,167,219,4,458,22.465,96,9.43,48,8.66,290
"172",35,2,166,216,4,447,33.43,95,23.171,49,8.539,298
"173",35,3,152,181,4,426,59.66,87,21.67,46,4.787,247
"174",35,4,163,209,4,425,13.769,92,14.095,60,10.801,271
"175",35,5,169,224,4,472,9.327,108,14.697,32,2.887,372
"176",36,1,122,117,3,335,13.577,84,9.238,43,2.887,169
"177",36,2,125,123,3,334,14.012,83,12.662,43,7.638,166
"178",36,3,137,147,3,406,38.691,82,10.214,55,5,159
"179",36,4,141,156,3,356,14.048,92,6.506,48,2.887,199
"180",36,5,158,196,3,400,7.55,110,6.658,43,10.408,284
"181",37,1,180,254,4,404,31.447,96,20.106,55,8.165,298
"182",37,2,197,305,3,473,14.844,111,11.269,65,0,292
"183",37,3,195,299,4,472,47.117,107,24.945,49,4.787,373
"184",37,4,241,456,4,504,68.452,134,17.5,50,8.165,569
"185",37,5,219,377,3,422,13.317,129,15.567,62,7.638,398
"186",38,1,172,232,3,448,14.012,111,18.037,45,20,294
"187",38,2,179,252,4,461,11.758,102,16.553,46,4.787,333
"188",38,3,144,163,3,352,42.004,85,18.248,57,2.887,175
"189",38,4,165,214,3,444,11.59,115,15.716,55,5,315
"190",38,5,154,186,3,420,27.135,101,3.215,53,16.073,239
