"","block","tree","spread","avg_sphere","sum_sphere","frustum","bottom_frust","top_frust","bot_cone","top_cone","height"
"129","SR02",4,419,39,39,37,75,28,-0.58,-0.2,504
"130","SR02",5,423,40,40,34,72,29,-0.24,0.06,537
"131","SR03",1,440,44,53,38,57,45,-1.13,0.28,511
"132","SR03",2,494,63,64,51,70,31,-1.7,1.35,469
"133","SR03",3,530,78,79,57,58,45,-0.8,-1,589
"134","SR03",4,438,44,56,36,56,42,0.24,0.51,561
"135","SR03",5,456,49,50,44,63,39,-0.32,-0.33,630
"136","SR04",1,555,90,94,65,80,24,-2.1,0.09,601
"137","SR04",2,533,79,82,57,84,16,-0.14,-0.4,511
"138","SR04",3,468,53,55,30,56,43,1.54,-1.36,521
"139","SR04",4,538,81,87,59,64,38,-0.33,-1,591
"140","SR04",5,499,65,69,52,77,25,-0.93,0.13,554
"141","SR05",1,486,60,62,39,46,57,-0.88,-0.52,522
"142","SR05",2,509,69,70,57,54,46,-0.65,0.39,544
"143","SR05",3,483,59,69,48,64,36,-0.09,0.27,529
"144","SR05",4,474,56,57,37,60,44,-0.76,-0.87,517
"145","SR05",5,525,76,78,44,45,54,1.54,-1.14,567
"146","SR06",1,492,62,69,52,62,39,-0.67,0.06,564
"147","SR06",2,511,70,75,60,59,41,-0.93,0.63,550
"148","SR06",3,487,60,64,47,66,36,-0.96,0.17,521
"149","SR06",4,460,51,64,30,56,46,-0.17,-0.63,504
"150","SR06",5,565,94,101,53,47,52,-0.17,0.65,588
"151","SR07",1,528,77,84,64,62,38,0.62,-0.25,625
"152","SR07",2,614,121,127,65,64,44,-3.19,-1.56,565
"153","SR07",3,497,64,67,42,70,32,-0.5,-0.39,541
"154","SR07",4,444,46,47,35,45,57,0.09,-0.7,529
"155","SR07",5,558,91,97,42,56,52,-0.01,-3.11,555
"156","SS01",1,226,6,6,5,67,33,-0.04,0.02,335
"157","SS01",2,237,7,7,6,79,18,0.18,-0.01,303
"158","SS01",3,210,5,5,5,79,21,0.14,-0.1,332
"159","SS01",4,230,6,7,6,90,10,0.02,-0.04,316
"160","SS01",5,275,11,11,7,41,56,0.31,-0.12,356
"161","SS04",1,420,39,41,27,56,47,-0.42,-0.35,467
"162","SS04",2,438,44,47,26,80,29,0.02,-2.29,478
"163","SS04",3,427,41,42,27,73,30,0.46,-1.31,498
"164","SS04",4,379,29,29,25,64,34,0.07,0.42,463
"165","SS04",5,353,23,25,21,70,29,0.2,-0.05,462
"166","SS05",1,412,36,37,31,64,35,0.08,0.04,536
"167","SS05",2,366,26,27,15,80,19,0.19,-0.05,391
"168","SS05",3,375,28,28,22,73,27,0.22,-0.11,469
"169","SS05",4,429,41,42,29,64,42,-1.2,-0.64,509
"170","SS05",5,373,27,28,21,78,22,0.07,-0.14,458
"171","SS06",1,368,26,26,27,59,40,0.25,0.04,521
"172","SS06",2,397,33,33,27,67,32,0.14,-0.03,518
"173","SS06",3,356,24,25,21,72,27,-0.1,0.23,491
"174","SS06",4,398,33,35,27,68,33,-0.13,0,521
"175","SS06",5,433,43,44,34,70,31,-0.06,-0.12,531
"176","SS09",1,280,11,13,9,65,32,0.28,-0.03,395
"177","SS09",2,326,18,19,13,61,36,0.19,0.11,411
"178","SS09",3,334,20,20,18,62,35,0.54,0.02,465
"179","SS09",4,371,27,27,20,59,40,0.29,-0.13,476
"180","SS09",5,358,24,25,19,62,37,0.14,-0.05,486
"181","SS10",1,361,25,26,17,54,43,0.34,0.14,399
"182","SS10",2,388,30,31,29,48,49,0.19,0.65,481
"183","SS10",3,382,29,30,31,50,46,-0.15,1.54,458
"184","SS10",4,384,30,30,31,48,45,0.92,1.08,494
"185","SS10",5,389,31,33,33,55,44,-0.46,0.72,487
"186","SS12",1,379,29,29,24,58,42,0.18,0.04,511
"187","SS12",2,414,37,37,32,63,35,0.3,0.54,493
"188","SS12",3,332,19,20,15,61,37,-0.05,0.32,427
"189","SS12",4,380,29,29,29,77,21,0.25,0.27,479
"190","SS12",5,350,23,23,23,70,29,0.23,0.07,471
