"","block","tree","spread","avg_sphere","sum_sphere","frustum","bottom_frust","top_frust","bot_cone","top_cone","height"
"1","AR01",1,432,42,43,39,71,31,-0.88,-0.13,563
"2","AR01",2,452,48,49,35,60,42,-0.35,-0.32,531
"3","AR01",3,412,36,40,31,50,49,0.4,-0.29,551
"4","AR01",4,404,34,36,26,69,30,0.6,-0.43,534
"5","AR01",5,466,53,56,40,66,30,1.89,-0.42,568
"6","AR02",1,302,14,15,9,60,38,0.38,-0.17,397
"7","AR02",2,312,16,16,11,63,36,0.16,-0.09,370
"8","AR02",3,299,14,15,7,56,44,0.09,-0.08,326
"9","AR02",4,277,11,12,6,73,28,0.04,-0.1,354
"10","AR02",5,328,19,19,12,69,29,0.28,0.02,365
"11","AR03",1,314,16,17,12,74,24,0.13,0.1,352
"12","AR03",2,254,9,9,7,71,25,0.24,0.09,318
"13","AR03",3,282,12,12,9,64,30,0.45,0.04,356
"14","AR03",4,267,10,10,9,62,37,0.06,0.04,347
"15","AR03",5,268,10,11,8,62,35,0.27,0.02,370
"16","AR04",1,437,44,46,38,69,28,1.12,0.05,560
"17","AR04",2,394,32,33,36,77,21,0.8,-0.2,560
"18","AR04",3,469,54,55,47,72,27,0.51,-0.08,561
"19","AR04",4,437,44,48,46,65,34,0.14,0.56,593
"20","AR04",5,392,32,32,30,75,26,0.01,-0.08,489
"21","AR05",1,422,39,39,37,67,34,-0.6,0.17,528
"22","AR05",2,422,39,40,44,77,23,-0.28,0.35,535
"23","AR05",3,428,41,42,41,70,32,-0.86,0.26,503
"24","AR05",4,396,32,33,34,70,30,-0.35,0.04,525
"25","AR05",5,414,37,37,38,75,27,-0.77,-0.03,535
"26","AR06",1,564,94,98,72,61,37,0.37,0.67,599
"27","AR06",2,530,78,79,59,60,36,1.33,0.89,573
"28","AR06",3,446,46,47,37,58,42,0.02,0.13,537
"29","AR06",4,502,66,70,52,70,27,0.02,1.26,520
"30","AR06",5,560,92,94,59,60,42,0.16,-1.31,561
"31","AR07",1,490,62,64,37,76,26,0.23,-1.14,518
"32","AR07",2,434,43,44,32,55,46,0.24,-0.51,501
"33","AR07",3,488,61,68,52,60,41,-0.05,-0.43,595
"34","AR07",4,518,73,76,56,66,33,0.1,0.35,541
"35","AR07",5,396,33,36,28,36,64,0.07,-0.14,565
"36","AR08",1,514,71,73,41,71,30,1.39,-1.85,517
"37","AR08",2,438,44,45,25,71,28,-0.02,0.29,405
"38","AR08",3,542,84,87,38,54,48,-0.68,-0.23,410
"39","AR08",4,464,52,53,23,43,59,0.04,-0.63,409
"40","AR08",5,443,46,52,24,67,30,0.98,-0.29,447
"41","CH01",1,462,51,56,40,75,24,0.6,-0.27,527
"42","CH01",2,564,94,102,76,73,31,-2.02,-1.5,694
"43","CH01",3,502,66,68,51,52,44,1.95,0.07,535
"44","CH01",4,404,35,35,28,75,27,-0.24,-0.21,461
"45","CH01",5,466,53,54,50,82,20,-0.39,-0.51,582
"46","CH02",1,570,97,153,47,33,67,0.69,-0.69,488
"47","CH02",2,462,52,52,43,33,63,1.15,0.62,519
"48","CH02",3,494,63,72,43,67,32,0.59,-0.24,521
"49","CH02",4,582,103,105,46,27,89,-4.46,-2.62,568
"50","CH02",5,441,45,52,31,71,31,0.74,-1.34,590
"51","CH03",1,314,16,17,11,63,36,0.01,0.13,318
"52","CH03",2,344,21,22,16,74,27,0,-0.07,348
"53","CH03",3,349,22,23,21,44,51,-0.05,0.91,366
"54","CH03",4,388,31,33,19,62,36,0.69,-0.2,420
"55","CH03",5,388,31,31,22,69,30,0.1,0,400
"56","CH04",1,554,89,90,59,45,61,-0.5,-2.99,671
"57","CH04",2,540,82,91,74,74,23,3.5,-0.8,662
"58","CH04",3,620,125,127,93,82,16,2.95,-0.97,614
"59","CH04",4,492,63,67,50,61,36,2.05,-0.8,531
"60","CH04",5,534,80,82,54,69,29,1.78,-0.6,537
"61","CH05",1,459,51,54,29,69,34,-0.21,-0.53,423
"62","CH05",2,510,70,73,50,79,24,-1.54,-0.26,495
"63","CH05",3,434,43,45,32,72,27,0.57,-0.13,498
"64","CH05",4,488,61,75,32,56,50,-0.19,-1.88,542
"65","CH05",5,518,73,75,48,66,31,1.34,0.03,518
"66","CH06",1,466,53,54,38,60,39,0.07,0.34,465
"67","CH06",2,469,54,55,43,78,21,0.3,0.06,466
"68","CH06",3,428,41,42,41,74,24,0.64,0.06,470
"69","CH06",4,438,44,44,44,69,32,0.34,-0.8,553
"70","CH06",5,459,51,52,34,62,35,1.6,-0.64,501
"71","CH07",1,288,13,13,13,82,20,-0.13,-0.13,455
"72","CH07",2,358,24,25,21,78,20,0.35,0.08,465
"73","CH07",3,407,35,38,32,82,18,0.45,-0.47,521
"74","CH07",4,469,54,59,43,75,27,1.47,-2.13,696
"75","CH07",5,498,65,69,37,55,44,1.02,-0.53,578
"76","CH08",1,425,40,40,31,74,26,0.22,-0.24,459
"77","CH08",2,404,35,36,26,76,23,0.36,0.05,425
"78","CH08",3,360,25,25,21,79,21,-0.21,0.02,405
"79","CH08",4,392,31,32,19,63,37,0.24,-0.1,425
"80","CH08",5,381,29,30,20,78,22,0.31,-0.3,430
"81","OV01",1,502,66,67,48,59,41,-0.11,-0.08,560
"82","OV01",2,452,49,49,44,71,30,-0.48,0.36,551
"83","OV01",3,542,83,85,65,73,29,-0.77,-0.56,595
"84","OV01",4,506,68,70,54,78,26,-2.19,-0.24,533
"85","OV01",5,432,42,44,31,69,29,-0.15,0.84,431
"86","OV02",1,493,63,63,46,68,33,-0.42,-0.11,515
"87","OV02",2,494,63,63,47,66,32,-0.06,0.78,485
"88","OV02",3,554,89,91,61,65,35,-0.55,0.43,511
"89","OV02",4,495,64,66,47,68,34,-0.75,-0.16,520
"90","OV02",5,494,63,64,52,61,39,0.41,-0.3,555
"91","OV03",1,494,63,70,32,55,45,0.06,0.08,459
"92","OV03",2,386,30,32,25,68,32,-0.27,0.23,412
"93","OV03",3,390,31,33,22,65,35,-0.06,0.08,405
"94","OV03",4,400,33,36,26,70,30,0.04,0.07,416
"95","OV03",5,402,34,36,23,78,25,-0.2,-0.5,449
"96","OV04",1,384,30,30,21,66,34,-0.05,-0.02,430
"97","OV04",2,422,39,40,26,74,29,-0.47,-0.21,400
"98","OV04",3,368,26,27,20,64,34,0.07,0.19,390
"99","OV04",4,415,37,38,24,66,35,-0.4,0.17,406
"100","OV04",5,425,40,41,23,73,26,-0.06,0.08,407
"101","OV05",1,533,79,79,51,70,28,0.57,0.19,500
"102","OV05",2,469,54,55,45,58,41,-0.2,0.53,521
"103","OV05",3,483,59,61,32,65,35,-0.06,0.1,412
"104","OV05",4,589,107,109,67,68,30,0.48,0.98,509
"105","OV05",5,525,76,81,52,66,35,-0.35,0.21,493
"106","OV06",1,554,89,91,64,67,33,-0.07,0.26,578
"107","OV06",2,476,56,64,30,68,38,0.65,-2.58,495
"108","OV06",3,496,64,65,56,68,33,-1.27,0.4,580
"109","OV06",4,683,167,180,85,50,49,-0.27,1,537
"110","OV06",5,548,86,89,55,60,42,0.3,-1.39,589
"111","OV07",1,474,56,56,54,69,29,0.34,0.93,562
"112","OV07",2,546,85,86,43,70,34,-0.37,-1.48,505
"113","OV07",3,568,96,101,56,64,36,-0.39,0.18,519
"114","OV07",4,570,97,97,57,54,49,-0.97,-0.25,511
"115","OV07",5,588,106,110,65,58,41,0.27,0.87,508
"116","OV08",1,485,60,61,37,56,43,0.16,0.21,455
"117","OV08",2,430,42,45,31,63,40,-0.59,-0.3,467
"118","OV08",3,520,74,74,51,66,33,0.82,0.03,508
"119","OV08",4,446,47,51,33,54,45,0.2,0.3,451
"120","OV08",5,446,47,53,32,66,33,-0.18,0.39,423
"121","SR01",1,314,16,16,13,56,45,-0.11,0.02,396
"122","SR01",2,342,21,22,14,72,30,-0.19,-0.1,420
"123","SR01",3,316,16,18,14,72,30,-0.25,0,407
"124","SR01",4,334,19,20,12,78,22,0.09,-0.16,384
"125","SR01",5,319,17,17,12,75,28,-0.15,-0.24,385
"126","SR02",1,435,43,44,34,77,23,-0.03,0.04,485
"127","SR02",2,423,40,40,38,77,24,-0.38,-0.02,515
"128","SR02",3,436,43,45,37,69,31,-0.06,0.12,509
