tree,location,stump_wgt_kg
,9 Ð 24,9.13
2,9 Ð 23,1.26
,9 Ð 20,8.1
6,8 Ð 19,4.44
1,9 Ð 17,4.98
,8 Ð 12,6.2
,8 Ð 10,7.64
7,9 Ð 08,2.05
,6 Ð 02,7
11,5 Ð 03,3.6
3,6 Ð 07,1.62
10,5 Ð 6,6.5
,5 Ð 14,7.9
,7 Ð 16,10.3
8,5 Ð 19,3.38
4,6 Ð 23,5.18
,3 Ð 11,4.85
9,3 Ð 9,6.27
12,3 Ð 8,2.25
5,4 Ð 7,4.31
