rootstock,avg_cum_yield,avg_fruit_wgt,avg_no_fruits
‘B.9’,97.2,188.5,95.75
‘CG.3041’,186.76,231.5,116.67
‘CG.6210’,256.93,226.3,239.
‘JM.8’,209.37,237.7,71.
‘PiAu.5683’,294.31,271.4,53.13 
