"","morph","yield","yield_eff","avg_fruit_wgt","avg_no_fruit"
"1","avg_trunk_diam",0.592,0.291,0.493,0.19
"2","avg_height",0.621,0.226,0.691,0.175
"3","avg_max_path",0.868,0.016,0.739,0.014
"4","avg_stem_length",0.856,0.057,0.676,0.031
"5","avg_stem_area",0.6,0.27,0.545,0.195
"6","avg_stem_volume",0.457,0.383,0.417,0.274
"7","avg_Mf",0.44,0.38,0.55,0.247
"8","avg_canopy_spread",0.763,0.071,0.839,0.082
"9","avg_canopy_volume",0.525,0.253,0.624,0.295
"10","avg_stem_m",0.472,0.373,0.417,0.263
"11","avg_twig_m",0.351,0.394,0.194,0.256
"12","avg_no_branches",0.786,0.013,0.63,0
"13","avg_no_twigs",0.842,0.079,0.573,0.029
"14","avg_no_spurs",0.422,0.456,0.47,0.331
"15","avg_no_scars",0.862,0.057,0.588,0.019
"16","expr_L_D_seg",0.777,0.002,0.161,0.008
"17","expr_D_V_sub",0.494,0.097,0.005,0.109
"18","expr_M_D_seg",0.782,0.006,0.208,0
"19","expr_M_V_path",0.782,0.001,0.149,0.01
"20","intr_L_D_seg",0.668,0.027,0.053,0.05
"21","intr_M_D_seg",0.69,0.001,0.078,0.016
