"","tree","spread"
"1",1,2.642
"2",2,1.88
"3",4,3.98
"4",5,3.45
"5",6,2.15
"6",7,1.95
"7",8,3.1
"8",9,2.15
"9",10,3.8
"10",11,2.9
"11",12,1.75
"12",13,3.8
"13",14,4.85
"14",15,3.7
"15",17,3.55
"16",18,3.4
"17",19,3.75
"18",20,3.83
