"","rootstock","avg_cum_yield","avg_fruit_wgt","avg_no_fruits","avg_trunk_diam","avg_height","avg_max_path","avg_stem_length","avg_stem_area","avg_stem_volume","avg_Mf","avg_canopy_volume","avg_stem_m","avg_twig_m","avg_no_branches","avg_no_twigs","avg_no_spurs","avg_no_scars","expr_L_D_seg","expr_D_V_sub","expr_M_D_seg","expr_M_V_path","intr_L_D_seg","intr_M_D_seg"
"1","Bud.9",97.2,188.5,95.75,55.075,2.2,234.125,606.625,49082.475,390574.2,0.849,25.875,2375.825,912.1,9.75,61.5,11.5,113.5,1.1306,0.0939,1.0539,0.2857,1.6084,1.4949
"2","CG.3041",211.25,231.5,116.67,88.125,3.45,345.25,1236.375,134265.85,1467494.55,0.856,47.25,9526.075,3449.125,13.25,138.75,28,199,0.6447,0.0567,0.6802,0.1801,0.987,1.0492
"3","CG.6210",292.1,226.3,239,106.45,3.8,383.375,1757.35,185248.075,2208356.8,0.818,38.4,14629.5,3688.875,25.75,221.25,38.5,308.5,0.5585,0.0535,0.5996,0.1503,0.8432,0.903
"4","M.26",242.13,287,73,135,5.2,417,1914.5,261015.8,3989096.4,0.772,54.4,25101.7,4518.3,27,233,93,311,0.8595,0.0908,0.8002,0.2257,1.4087,1.3101
"5","JM.8",265.29,237.7,71,182.333,5.633,410.333,1976.5,349429.767,7056895.6,0.762,62.567,44578.233,18711.6,23.333,275.333,143.333,341.333,0.4391,0.0546,0.4351,0.1229,0.7715,0.7523
"6","PiAu.5683",294.31,271.4,53.13,187.167,5.533,423.333,2362.667,436494.233,9071026.967,0.717,71.067,56323.433,20241.733,27.667,292,159.667,399,0.4791,0.0589,0.4795,0.1338,0.859,0.8609
