rootstock,avg_cum_yield,avg_fruit_wgt,avg_no_fruits
‘B.9’,97.2,188.5,95.75
‘CG.3041’,186.76,231.5,116.67
‘CG.6210’,256.93,226.3,239.
'M.9',175.15,265.5,110
'CG.5935',232.82,248.3,110.86
