"","group","L~D (Segment)","(Path)","(Subtree)","SA~V (Segment)","(Path)","(Subtree)","D~V(Segment)","(Path)","(Subtree)","L~V (Segment)","(Path)","(Subtree)","D~SA (Segment)","(Path)","(Subtree)","L~SA (Segment)","(Path)","(Subtree)","L~M (Segment)","(Path)","(Subtree)","M~D (Segment)","(Subtree)","M~V(Segment)","(Path)","(Subtree)","D/P Ratio ~ P Diam"
"1","prediction","2 - 2/3","","","3/4 - 5/8","","","1/4 - 3/8","","","1/2 - 1/4","","","1/3 - 3/5","","","2/3 - 2/5","","","1/4","","","8/3","","1","","","0 - 1"
"2","all-tree","-1.0548;-1.3305;-0.78;0.8044;0.6805;0.95;0.892","1.4635;1.1734;1.75;0.5305;0.4071;0.69;0.726","0.7772;0.2045;1.35;1.163;0.9156;1.48;0.777","-","-","0.8404;0.5685;1.11;0.6918;0.6504;0.74;0.985","-","-","-0.5323;-0.6641;-0.4;0.4044;0.3842;0.43;0.99","-1.483;-1.84;-1.13;0.3253;0.274;0.39;0.886","1.181;0.8445;1.52;0.2146;0.1681;0.27;0.767","0.1582;-0.4673;0.78;0.4703;0.3821;0.58;0.833","-","-","-1.0236;-1.3469;-0.7;0.5846;0.5261;0.65;0.957","-1.8782;-2.3448;-1.41;0.4702;0.3895;0.57;0.863","0.9204;0.5722;1.27;0.3102;0.2507;0.38;0.824","-0.4132;-0.9582;0.13;0.6799;0.5837;0.79;0.91","-0.762;-1.0048;-0.52;0.3239;0.2708;0.39;0.876","1.6566;1.4452;1.87;0.2136;0.1688;0.27;0.785","1.2005;0.8089;1.59;0.4683;0.3836;0.57;0.846","-","-0.7626;-1.0914;-0.43;2.4769;2.321;2.64;0.984","-","-","-2.2259;-2.415;-2.04;1.0044;0.9751;1.03;0.997","-"
"3","all-branch","3.6344;3.4454;3.82;-1.1482;-1.2695;-1.04;0.024","0.3221;0.186;0.46;1.1017;1.021;1.19;0.442","-0.4343;-0.6111;-0.26;1.6456;1.5403;1.76;0.577","0.7033;0.5798;0.83;0.6527;0.6281;0.68;0.858","0.6592;0.5959;0.72;0.6821;0.6698;0.69;0.968","0.2842;0.2137;0.35;0.7645;0.7509;0.78;0.969","-0.681;-0.8045;-0.56;0.4659;0.4415;0.49;0.721","-0.4848;-0.558;-0.41;0.4132;0.3991;0.43;0.883","-0.3421;-0.4041;-0.28;0.381;0.3691;0.39;0.903","-0.8147;-1.0623;-0.57;0.5349;0.4871;0.59;0.153","-0.2119;-0.3388;-0.09;0.4552;0.431;0.48;0.71","-0.9973;-1.1502;-0.84;0.627;0.598;0.66;0.783","-1.183;-1.4135;-0.95;0.7137;0.6573;0.77;0.344","-0.8841;-1.0068;-0.76;0.6058;0.5767;0.64;0.767","-0.4838;-0.577;-0.39;0.4984;0.4767;0.52;0.81","-1.3911;-1.6215;-1.16;0.8195;0.7628;0.88;0.503","-0.6519;-0.7591;-0.54;0.6674;0.6419;0.69;0.853","-1.2304;-1.3376;-1.12;0.8202;0.7951;0.85;0.907","0.3322;0.1904;0.47;0.5443;0.4958;0.6;0.155","0.8398;0.7676;0.91;0.4284;0.4049;0.45;0.693","0.339;0.2453;0.43;0.6399;0.6093;0.67;0.768","-0.6705;-0.865;-0.48;2.1095;1.9929;2.23;0.688","-0.8616;-0.9913;-0.73;2.4975;2.4187;2.58;0.901","-2.1072;-2.1965;-2.02;0.9827;0.9648;1;0.967","-1.6931;-1.865;-1.52;0.8717;0.8386;0.91;0.855","-2.0883;-2.1617;-2.01;0.9799;0.9657;0.99;0.98","1.2389;1.0848;1.39;-0.8208;-0.9063;-0.74;0.097"
"4","Bud.9","4.1541;3.3516;4.96;-1.7592;-2.4106;-1.28;0.076","-0.1954;-0.7486;0.36;1.5526;1.211;1.99;0.432","-0.8837;-1.4986;-0.27;2.1137;1.7242;2.59;0.621","0.1709;-0.311;0.65;0.7786;0.677;0.9;0.823","0.3722;0.1775;0.57;0.7541;0.7129;0.8;0.971","0.0808;-0.0965;0.26;0.8252;0.7878;0.86;0.981","-0.5294;-1.0118;-0.05;0.4404;0.3445;0.56;0.445","-0.2875;-0.541;-0.03;0.3706;0.3195;0.43;0.8","-0.1593;-0.3744;0.06;0.3393;0.2961;0.39;0.832","-1.7118;-2.6769;-0.75;0.7747;0.5865;1.02;0.283","-0.6418;-1.0269;-0.26;0.5754;0.4976;0.67;0.809","-1.2205;-1.5941;-0.85;0.7173;0.6413;0.8;0.886","-0.6261;-1.2773;0.03;0.5656;0.4134;0.77;0.085","-0.4705;-0.8297;-0.11;0.4914;0.4066;0.59;0.673","-0.1926;-0.4591;0.07;0.4112;0.3487;0.48;0.753","-1.8819;-2.5316;-1.23;0.9951;0.831;1.19;0.704","-0.9258;-1.2005;-0.65;0.763;0.6947;0.84;0.921","-1.2908;-1.5245;-1.06;0.8692;0.8115;0.93;0.957","-0.1489;-0.6936;0.4;0.8432;0.6336;1.12;0.244","0.6116;0.3701;0.85;0.574;0.4839;0.68;0.735","0.2149;-0.0157;0.45;0.7814;0.6929;0.88;0.869","-0.7489;-1.4949;0;2.0864;1.6261;2.68;0.428","-0.9891;-1.4167;-0.56;2.5655;2.2815;2.88;0.875","-1.8535;-2.2369;-1.47;0.9188;0.836;1.01;0.919","-1.3488;-2.0007;-0.7;0.7732;0.6443;0.93;0.697","-1.837;-2.1308;-1.54;0.9179;0.8568;0.98;0.957","1.4466;0.9279;1.97;-1.0516;-1.4209;-0.78;0.256"
"5","Bud.9-1","4.6894;2.3901;6.99;-2.2135;-4.4198;-1.11;0.016","-1.4898;-3.4622;0.48;2.4908;1.4436;4.3;0.423","-2.1211;-4.0696;-0.17;3.0145;1.9175;4.74;0.615","-0.0297;-0.9498;0.89;0.8285;0.6425;1.07;0.884","-0.0608;-0.4247;0.3;0.8531;0.7754;0.94;0.984","-0.2255;-0.4622;0.01;0.8955;0.8447;0.95;0.994","-0.1712;-1.0925;0.75;0.3586;0.2041;0.63;0.38","0.0405;-0.5538;0.63;0.3002;0.1953;0.46;0.654","0.1454;-0.3469;0.64;0.2735;0.1855;0.4;0.721","-1.7452;-3.5871;0.1;0.7937;0.4749;1.33;0.494","-1.3889;-2.0598;-0.72;0.7478;0.6124;0.91;0.929","-1.6829;-2.1249;-1.24;0.8244;0.7323;0.93;0.975","-0.1583;-1.2635;0.95;0.4328;0.2223;0.84;0.097","0.0619;-0.6096;0.73;0.3519;0.2158;0.57;0.545","0.2142;-0.2953;0.72;0.3054;0.2;0.47;0.666","-1.7167;-2.8183;-0.62;0.9579;0.6968;1.32;0.816","-1.3356;-1.6908;-0.98;0.8766;0.7869;0.98;0.979","-1.4753;-1.6946;-1.26;0.9206;0.865;0.98;0.993","-0.0507;-1.058;0.96;0.8209;0.477;1.41;0.429","0.3147;-0.1313;0.76;0.7113;0.546;0.93;0.874","0.0628;-0.1837;0.31;0.8609;0.762;0.97;0.974","-1.6026;-3.7348;0.53;2.6964;1.5638;4.65;0.424","-1.6792;-3.041;-0.32;3.0552;2.224;4.2;0.817","-2.0642;-2.5749;-1.55;0.9668;0.8558;1.09;0.974","-1.4934;-2.3854;-0.6;0.8095;0.634;1.03;0.893","-2.0277;-2.4038;-1.65;0.9576;0.878;1.04;0.987","1.6918;0.144;3.24;-1.2227;-2.5171;-0.59;0.069"
"6","Bud.9-2","4.8503;1.6549;8.05;-2.2062;-5.1861;-0.94;0.071","-0.403;-1.5585;0.75;1.5644;0.9731;2.52;0.757","-1.1598;-2.2519;-0.07;2.1465;1.538;3;0.884","-0.2125;-1.6691;1.24;0.8487;0.583;1.24;0.852","0.3314;0.0519;0.61;0.75;0.6932;0.81;0.994","0.0639;-0.2091;0.34;0.8147;0.7595;0.87;0.995","-0.2533;-1.712;1.21;0.3919;0.1837;0.84;0.306","-0.094;-0.6104;0.42;0.3369;0.2448;0.46;0.894","0.0127;-0.3886;0.41;0.3109;0.2381;0.41;0.927","-2.2671;-5.1831;0.65;0.8646;0.4307;1.74;0.429","-0.55;-1.0627;-0.04;0.527;0.4295;0.65;0.957","-1.1326;-1.7054;-0.56;0.6674;0.5581;0.8;0.968","-0.1552;-1.7824;1.47;0.4618;0.1939;1.1;0.036","-0.2428;-0.92;0.43;0.4491;0.3071;0.66;0.848","-0.0117;-0.4563;0.43;0.3816;0.2855;0.51;0.913","-2.0506;-3.6715;-0.43;1.0188;0.662;1.57;0.802","-0.7829;-1.1324;-0.43;0.7026;0.6181;0.8;0.983","-1.185;-1.5469;-0.82;0.8192;0.7328;0.92;0.987","-0.9541;-2.8927;0.98;1.1153;0.5551;2.24;0.427","0.2668;-0.6536;1.19;0.6472;0.3837;1.09;0.7","-0.2409;-1.09;0.61;0.8881;0.6195;1.27;0.864","-0.6762;-3.4201;2.07;1.9781;0.8662;4.52;0.146","-0.7746;-1.3154;-0.23;2.4395;2.1051;2.83;0.978","-1.1773;-2.9106;0.56;0.7753;0.4789;1.26;0.749","-0.8621;-3.5729;1.85;0.6663;0.306;1.45;0.26","-1.0041;-2.2603;0.25;0.7515;0.5332;1.06;0.877","1.1272;0.2666;1.99;-0.795;-1.4956;-0.42;0.655"
"7","Bud.9-3","3.3627;1.6945;5.03;-1.0812;-2.7145;-0.43;0.156","0.3561;-0.277;0.99;1.1607;0.8049;1.67;0.894","-0.6262;-1.6254;0.37;1.9003;1.3344;2.71;0.901","0.9145;-0.6028;2.43;0.6164;0.3692;1.03;0.783","0.5185;0.2835;0.75;0.721;0.6731;0.77;0.996","0.0902;-0.3061;0.49;0.8176;0.739;0.9;0.992","-1.0186;-2.536;0.5;0.5375;0.3008;0.96;0.715","-0.4991;-0.9946;0;0.4122;0.3207;0.53;0.951","-0.2809;-0.6649;0.1;0.3628;0.2913;0.45;0.963","-0.8685;-3.9076;2.17;0.5812;0.2194;1.54;0.025","-0.2233;-0.625;0.18;0.4785;0.4012;0.57;0.976","-1.1599;-1.9887;-0.33;0.6893;0.5376;0.88;0.952","-1.8161;-5.0715;1.44;0.8721;0.3623;2.1;0.25","-0.7956;-1.4775;-0.11;0.5717;0.4241;0.77;0.93","-0.3209;-0.8;0.16;0.4437;0.3399;0.58;0.945","-1.7308;-4.9858;1.52;0.9429;0.4135;2.15;0.358","-0.5674;-0.8626;-0.27;0.6636;0.5928;0.74;0.99","-1.236;-1.7533;-0.72;0.8431;0.7237;0.98;0.982","0.5488;-0.9148;2.01;0.533;0.1994;1.42;0.001","1.0201;0.764;1.28;0.4067;0.3182;0.52;0.954","0.4609;-0.0335;0.96;0.6657;0.4991;0.89;0.935","-0.5928;-2.0535;0.87;2.0286;1.2604;3.27;0.815","-1.2955;-1.9269;-0.66;2.7698;2.3701;3.24;0.981","-2.6591;-3.5502;-1.77;1.0904;0.9137;1.3;0.976","-1.6053;-3.2527;0.04;0.8362;0.558;1.25;0.869","-2.4347;-2.9018;-1.97;1.0355;0.9425;1.14;0.993","-1.3983;-2.95;0.15;0.7249;0.244;2.15;0.099"
"8","Bud.9-4","3.6744;2.4631;4.89;-1.4417;-2.565;-0.81;0.159","0.8757;0.4793;1.27;0.862;0.6206;1.2;0.746","-0.0094;-0.6717;0.65;1.5959;1.1851;2.15;0.793","0.4819;-0.5278;1.49;0.7144;0.519;0.98;0.76","0.8504;0.675;1.03;0.6568;0.6192;0.7;0.992","0.3712;0.0975;0.64;0.7719;0.7144;0.83;0.986","-0.87;-1.8801;0.14;0.5144;0.3322;0.8;0.537","-0.6141;-1.0341;-0.19;0.4368;0.3539;0.54;0.898","-0.464;-0.8379;-0.09;0.4006;0.3271;0.49;0.906","-1.4888;-3.5124;0.53;0.7417;0.4107;1.34;0.11","0.3463;0.0114;0.68;0.3765;0.3099;0.46;0.913","-0.7499;-1.3661;-0.13;0.6394;0.5187;0.79;0.899","-1.217;-2.8513;0.42;0.7201;0.3968;1.31;0.094","-1.1796;-1.8256;-0.53;0.6651;0.5174;0.85;0.854","-0.6566;-1.1383;-0.17;0.519;0.41;0.66;0.871","-1.9891;-3.6212;-0.36;1.0381;0.6785;1.59;0.564","-0.1412;-0.4578;0.18;0.5733;0.4965;0.66;0.953","-1.0573;-1.5063;-0.61;0.8283;0.7211;0.95;0.956","-0.0135;-1.1075;1.08;0.8209;0.4583;1.47;0.137","1.17;1.0121;1.33;0.3741;0.3139;0.45;0.929","0.5354;0.2697;0.8;0.6926;0.5903;0.81;0.942","-0.2693;-1.4278;0.89;1.7561;1.1058;2.79;0.478","-0.4651;-1.2187;0.29;2.1835;1.7029;2.8;0.857","-1.7971;-2.2255;-1.37;0.9034;0.8103;1.01;0.973","-1.3478;-2.5656;-0.13;0.7671;0.5443;1.08;0.722","-1.8557;-2.1842;-1.53;0.9231;0.8541;1;0.986","1.7859;0.3996;3.17;-1.2892;-2.4043;-0.69;0.111"
"9","Bud.9-4+","3.6744;2.4631;4.89;-1.4417;-2.565;-0.81;0.159","0.9576;0.5465;1.37;0.8494;0.6015;1.2;0.719","0.7615;0.0871;1.44;1.4057;0.9982;1.98;0.723","0.4819;-0.5278;1.49;0.7144;0.519;0.98;0.76","-","0.7842;0.3484;1.22;0.6944;0.6058;0.8;0.957","-0.87;-1.8801;0.14;0.5144;0.3322;0.8;0.537","-","-0.5088;-0.9055;-0.11;0.4094;0.332;0.5;0.899","-1.4888;-3.5124;0.53;0.7417;0.4107;1.34;0.11","0.5254;0.1397;0.91;0.3478;0.2737;0.44;0.867","0.0463;-0.7725;0.87;0.5755;0.424;0.78;0.782","-1.217;-2.8513;0.42;0.7201;0.3968;1.31;0.094","-","-0.9711;-1.6955;-0.25;0.5896;0.4346;0.8;0.782","-1.9891;-3.6212;-0.36;1.0381;0.6785;1.59;0.564","0.1327;-0.3698;0.64;0.5008;0.3899;0.64;0.855","-0.6036;-1.4107;0.2;0.8288;0.6499;1.06;0.863","-0.1863;-1.2996;0.93;0.8532;0.4941;1.47;0.252","1.1385;0.9074;1.37;0.389;0.3086;0.49;0.876","1.0609;0.6627;1.46;0.6438;0.5059;0.82;0.866","-0.0567;-1.3526;1.24;1.6897;0.9935;2.87;0.297","-0.4651;-1.2187;0.29;2.1835;1.7029;2.8;0.857","-1.5267;-2.4271;-0.63;0.8693;0.6865;1.1;0.871","-","-1.576;-2.181;-0.97;0.894;0.7717;1.04;0.951","1.7859;0.3996;3.17;-1.2892;-2.4043;-0.69;0.111"
"10","CG.3041","3.6687;3.173;4.16;-1.1687;-1.5347;-0.89;0.037","0.4231;0.1279;0.72;1.1269;0.9502;1.34;0.629","-0.5384;-0.9282;-0.15;1.8338;1.5964;2.11;0.755","0.7539;0.4043;1.1;0.655;0.5868;0.73;0.846","0.6143;0.4803;0.75;0.7006;0.6741;0.73;0.981","0.1631;1e-04;0.33;0.7994;0.7676;0.83;0.979","-0.7696;-1.1192;-0.42;0.4732;0.4065;0.55;0.706","-0.5561;-0.7583;-0.35;0.4195;0.3807;0.46;0.88","-0.329;-0.4648;-0.19;0.3694;0.3433;0.4;0.932","-0.763;-1.4635;-0.06;0.553;0.4272;0.72;0.138","-0.2036;-0.4716;0.06;0.4728;0.4218;0.53;0.834","-1.1417;-1.5037;-0.78;0.6774;0.6091;0.75;0.857","-1.3142;-1.9748;-0.65;0.7224;0.5735;0.91;0.314","-0.9239;-1.2235;-0.62;0.5988;0.53;0.68;0.81","-0.4043;-0.5852;-0.22;0.4621;0.4207;0.51;0.889","-1.3995;-2.0599;-0.74;0.8443;0.6926;1.03;0.497","-0.6181;-0.8376;-0.4;0.6748;0.6232;0.73;0.92","-1.2799;-1.5211;-1.04;0.8473;0.7915;0.91;0.941","0.417;0.0273;0.81;0.5662;0.4391;0.73;0.164","0.9322;0.799;1.07;0.4284;0.3842;0.48;0.849","0.29;0.101;0.48;0.6971;0.6338;0.77;0.885","-0.4956;-1.0192;0.03;2.0641;1.7498;2.43;0.652","-0.7106;-0.9814;-0.44;2.4581;2.2872;2.64;0.934","-2.0841;-2.2888;-1.88;0.9767;0.9353;1.02;0.976","-1.6434;-2.0937;-1.19;0.866;0.7799;0.96;0.861","-2.0539;-2.1969;-1.91;0.9718;0.9437;1;0.989","1.4852;0.9716;2;-1.0052;-1.331;-0.76;0.061"
