row,num,hole,max_depth,total_m,large,medim,small,notes
3,8,A,6,0.7,0,0.6,,
3,8,A,12,1.95,1.38,0.44,,
3,8,A,18,0,0,0,,
3,8,A,24,0,0,0,,
3,8,A,36,,,,,
3,8,B,6,0,0,0,,
3,8,B,12,0.17,0,0.1,,
3,8,B,18,1.1,0.79,0.11,,
3,8,B,24,,,,,
3,8,B,36,,,,,
3,8,C,6,0.02,0,0,,
3,8,C,12,0.13,0,0.08,,
3,8,C,18,0.16,0,0,,
3,8,C,24,,,,,
3,8,C,36,,,,,
3,8,D,6,0.19,0,0,,
3,8,D,12,,,,,
3,8,D,18,0.05,0,0,,
3,8,D,24,0,0,0,,
3,8,D,36,,,,,
3,8,E,6,0.03,0,0,,
3,8,E,12,0.01,0,0,,
3,8,E,18,0.22,0,0,,
3,8,E,24,0.03,0,0,,
3,8,E,36,,,,,
3,8,F,6,0.02,0,0,,
3,8,F,12,0.1,0,0.04,,
3,8,F,18,,,,,
3,8,F,24,,,,,
3,8,F,36,,,,,
3,8,G,6,,,,,
3,8,G,12,0.02,0,0,,
3,8,G,18,0.08,0,0,,
3,8,G,24,,,,,
3,8,G,36,0.11,0,0,,
3,8,H,6,0.12,0,0,,
3,8,H,12,0.14,0,0,,
3,8,H,18,0.27,0,0.15,,
3,8,H,24,0.8,0.57,0,,
3,8,H,36,,,,,
3,8,I,6,0.02,0,0,,
3,8,I,12,0.18,0,0.13,,
3,8,I,18,,,,,
3,8,I,24,0,0,0,,
3,8,I,36,,,,,
3,9,A,6,0.73,0,0.11,,
3,9,A,12,3.19,2.76,0.09,,
3,9,A,18,0.26,0,0,,
3,9,A,24,0.17,0,0.09,,
3,9,A,36,0.02,0,0,,
3,9,B,6,0.8,0,0.47,,
3,9,B,12,2.31,1.93,0,,
3,9,B,18,0.03,0,0,,
3,9,B,24,0.01,0,0,,
3,9,B,36,0.02,0,0,,
3,9,C,6,0.58,0,0,,
3,9,C,12,0.96,0,0.75,,
3,9,C,18,0.02,0,0,,
3,9,C,24,0.01,0,0,,
3,9,C,36,0.01,0,0,,
3,9,D,6,11.53,10.86,0.11,,
3,9,D,12,5.98,4.64,0.85,,
3,9,D,18,0.38,0,0.22,,
3,9,D,24,0,0,0,,
3,9,D,36,0.03,0,0,,
3,9,E,6,2.18,1.75,0.13,,
3,9,E,12,0.01,0,0,,
3,9,E,18,0.256,0,0.52,,
3,9,E,24,0.06,0,0,,
3,9,E,36,0.01,0,0,,
3,9,F,6,0,0,0,,
3,9,F,12,0,0,0,,
3,9,F,18,0.24,0,0.21,,
3,9,F,24,,,,,
3,9,F,36,0,0,0,,
3,9,G,6,0.48,0,0.17,,
3,9,G,12,4.67,3.17,0.61,,
3,9,G,18,0.07,0,0,,
3,9,G,24,0.01,0,0,,
3,9,G,36,0.33,0.18,0,,
3,9,H,6,0.13,0,0,,
3,9,H,12,0.14,0,0,,
3,9,H,18,0.04,0,0,,
3,9,H,24,0.06,0,0,,
3,9,H,36,0,0,0,,
3,9,I,6,,,,,
3,9,I,12,,,,,
3,9,I,18,,,,,
3,9,I,24,,,,,
3,9,I,36,,,,,
3,11,A,6,0.25,0,0,,
3,11,A,12,0.52,0,0.2,,
3,11,A,18,,,,,
3,11,A,24,0.38,0,0.33,,
3,11,A,36,0.21,0,0,,
3,11,B,6,0.27,0,0,,
3,11,B,12,0.19,0,0,,
3,11,B,18,0.11,0,0,,
3,11,B,24,1.36,1.1,0.15,,
3,11,B,36,,,,,
3,11,C,6,0.04,0,0,,
3,11,C,12,0.2,0,0,,
3,11,C,18,0.25,0,0,,
3,11,C,24,0,0,0,,
3,11,C,36,0,0,0,,
3,11,D,6,0.69,0,0.33,,
3,11,D,12,2.14,1.81,0.21,,
3,11,D,18,0.09,0,0,,
3,11,D,24,0.14,0,0,,
3,11,D,36,0.07,0,0,,
3,11,E,6,0.17,0,0,,
3,11,E,12,1.2,1.09,0,,
3,11,E,18,0.44,0,0.38,,
3,11,E,24,0.02,0,0,,
3,11,E,36,0.33,0,0.31,,
3,11,F,6,0.15,0,0,,
3,11,F,12,0.2,0,0,,
3,11,F,18,0.05,0,0,,
3,11,F,24,0.05,0,0,,
3,11,F,36,0,0,0,,
3,11,G,6,0.18,0,0,,
3,11,G,12,0.16,0,0,,
3,11,G,18,0.11,0,0,,
3,11,G,24,0.08,0,0,,
3,11,G,36,0.04,0,0,,
3,11,H,6,0.07,0,0,,
3,11,H,12,0.45,0,0.41,,
3,11,H,18,0.05,0,0,,
3,11,H,24,0,0,0,,
3,11,H,36,0.05,0,0,,
3,11,I,6,0.03,0,0,,
3,11,I,12,,,,,
3,11,I,18,0.01,0,0,,
3,11,I,24,0,0,0,,
3,11,I,36,0,0,0,,
4,7,A,6,1.5,0,0.67,,
4,7,A,12,2.37,1.44,0.31,,
4,7,A,18,0.2,0,0,,
4,7,A,24,4.01,2.74,0.79,,
4,7,A,36,2.54,1.71,0,,
4,7,B,6,0.91,0,0.13,,
4,7,B,12,0.48,0,0.14,,
4,7,B,18,0.12,0,0,,
4,7,B,24,0,0,0,,
4,7,B,36,,,,,
4,7,C,6,1.36,0,0.66,,
4,7,C,12,0.05,0,0,,
4,7,C,18,0,0,0,,
4,7,C,24,0.04,0,0,,
4,7,C,36,0,,,,
4,7,D,6,0.89,0,0.43,,
4,7,D,12,24.73,24.73,0,,
4,7,D,18,2.2,1.76,0.26,,
4,7,D,24,,,,,
4,7,D,36,,,,,
4,7,E,6,0.27,0,0,,
4,7,E,12,1.15,0,0.7,,
4,7,E,18,0.07,0,0,,
4,7,E,24,0.09,0,0,,
4,7,E,36,,,,,
4,7,F,6,0.14,0,0,,
4,7,F,12,0.23,0,0.12,,
4,7,F,18,0.09,0,0,,
4,7,F,24,0.14,0.14,0,,
4,7,F,36,,,,,
4,7,G,6,0.89,0,0.23,,
4,7,G,12,1.62,0,0.79,,
4,7,G,18,0.38,0,0.13,,
4,7,G,24,0.21,0,0,,
4,7,G,36,,,,,
4,7,H,6,0.65,0,0,,
4,7,H,12,0.1,0,0,,
4,7,H,18,0.05,0,0,,
4,7,H,24,0,0,0,,
4,7,H,36,0,0,0,,
4,7,I,6,0.2,0,0.18,,
4,7,I,12,0.03,0,0,,
4,7,I,18,1.08,1,0,,
4,7,I,24,0,0,0,,
4,7,I,36,,,,,
5,3,A,6,0.77,0,0,,
5,3,A,12,0.95,0,0.42,,
