"","","exp_yield","int_yield","expr_yield","intr_yield","exp_wgt","int_wgt","expr_wgt","intr_wgt","exp_fruit","int_fruit","expr_fruit","intr_fruit"
"1","L~D (Segment)","","","* 0.747","* 0.725","","","* 0.731","* 0.641","","","",""
"2","L~D (Path)","","","* 0.706","","* 0.663","","* 0.629","","","","",""
"3","L~D (Subtree)","","","* 0.784","","* 0.717","","* 0.607","","","","",""
"4","SA~V (Segment)","","","","","","","","","","","",""
"5","SA~V (Path)","","","","","* 0.64","","","","","","","* 0.605"
"6","SA~V (Subtree)","","","** 0.829","","","","","","","* 0.68","",""
"7","D~V (Segment)","","","","","* 0.686","* 0.698","","","","","",""
"8","D~V (Path)","","","* 0.699","","* 0.689","* 0.655","","","","","",""
"9","D~V (Subtree)","","","* 0.643","","* 0.716","* 0.671","","","","","",""
"10","L~V (Segment)","","","","","","","","","","","",""
"11","L~V (Path)","","","* 0.705","","","","","","","","",""
"12","L~V (Subtree)","","","** 0.83","","","","","","","","",""
"13","D~SA (Segment)","","","","","* 0.64","* 0.616","","","","","*** 0.959","*** 0.977"
"14","D~SA (Path)","","","","","* 0.68","* 0.625","","","","","* 0.667","** 0.876"
"15","D~SA (Subtree)","","","","","* 0.729","","","","","","",""
"16","L~SA (Segment)","","","","","","","","","","","*** 0.946","*** 0.976"
"17","L~SA (Path)","","","","","","","","","","","","* 0.709"
"18","L~SA (Subtree)","","","* 0.717","","","","","","* 0.64","","",""
"19","L~M (Segment)","","","","","","","","","","","","* 0.678"
"20","L~M (Path)","","","* 0.621","","","","","","","","",""
"21","L~M (Subtree)","","","** 0.886","","","","","","","","","* 0.653"
"22","M~D (Segment)","","","* 0.724","* 0.702","","* 0.601","* 0.752","* 0.656","* 0.721","* 0.669","",""
"23","M~D (Subtree)","","","","","* 0.609","* 0.61","* 0.636","","* 0.631","* 0.607","",""
"24","M~V (Segment)","","","","","","","","","","","",""
"25","M~V (Path)","","","* 0.758","* 0.73","","","* 0.718","* 0.633","","* 0.609","",""
"26","M~V (Subtree)","","","","","","","","","","","",""
"27","D/P Ratio ~ P Diam","","","","","","* 0.656","","","","","** 0.809","*** 0.983"
