"","group","L~D (Segment)","(Path)","(Subtree)","SA~V (Segment)","(Path)","(Subtree)","D~V(Segment)","(Path)","(Subtree)","L~V (Segment)","(Path)","(Subtree)","D~SA (Segment)","(Path)","(Subtree)","L~SA (Segment)","(Path)","(Subtree)","L~M (Segment)","(Path)","(Subtree)","M~D (Segment)","(Subtree)","M~V(Segment)","(Path)","(Subtree)","D/P Ratio ~ P Diam"
"21","CG.3041-1","   ,   ","   ,   ","   , X","X , X","   , X","   , X","X ,   ","X ,   ","X ,   ","   , X","   , X","   ,   ","X ,   ","X ,   ","   ,   ","   , X","   , X","   ,   ","   ,   ","   ,   ","   ,   ","X , X","X , X","X , X","X , X","X , X","X ,   "
"22","CG.3041-1+","   ,   ","   ,   ","   , X","X , X","-","   , X","X ,   ","-","X ,   ","   , X","   , X","   ,   ","X ,   ","-","X ,   ","   , X","   , X","   ,   ","   ,   ","   ,   ","   ,   ","X , X","X , X","X , X","-","X , X","X ,   "
"23","CG.3041-2","X , X","   ,   ","   , X","X , X","   , X","   , X","X ,   ","X ,   ","X ,   ","   , X","   , X","   ,   ","X ,   ","X ,   ","   ,   ","   , X","   , X","   ,   ","   ,   ","   ,   ","   ,   ","X , X","X , X","X , X","X , X","X , X","   ,   "
"24","CG.3041-3","X ,   ","   ,   ","   , X","X , X","   , X","   , X","X ,   ","X ,   ","X ,   ","X , X","   , X","   ,   ","X ,   ","X ,   ","   ,   ","   , X","   , X","   ,   ","   ,   ","   ,   ","   ,   ","X , X","X , X","X , X","   ,   ","X , X","   ,   "
"25","CG.3041-4","   , X","X ,   ","   , X","X , X","X , X","   ,   ","   ,   ","   ,   ","X ,   ","   ,   ","   , X","   ,   ","X ,   ","   ,   ","X ,   ","   ,   ","   , X","   ,   ","   ,   ","X , X","   ,   ","   ,   ","X , X","X , X","X , X","X , X","X ,   "
"26","CG.6210","   ,   ","   ,   ","   , X","   , X","   ,   ","   ,   ","   ,   ","X ,   ","X ,   ","   ,   ","   , X","   ,   ","X ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   , X","X , X","X , X","   ,   ","   ,   ","   ,   "
"27","CG.6210-1","   , X","X ,   ","   , X","X , X","X , X","   , X","X ,   ","X ,   ","X ,   ","   , X","   , X","   , X","X ,   ","X ,   ","X ,   ","   , X","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X , X","   ,   ","   ,   ","   ,   ","   ,   "
"28","CG.6210-2","   ,   ","   ,   ","   , X","X , X","   , X","   ,   ","X ,   ","X ,   ","   ,   ","   , X","   , X","   ,   ","X ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   , X","X , X","X , X","   ,   ","   ,   ","   ,   "
"29","CG.6210-3","   , X","   ,   ","   , X","X , X","   ,   ","   , X","X ,   ","X ,   ","X ,   ","   ,   ","   , X","   ,   ","X ,   ","X ,   ","X ,   ","   ,   ","   , X","   ,   ","   ,   ","   ,   ","   ,   ","X , X","X , X","X , X","X , X","X , X","   ,   "
"30","CG.6210-3+","   , X","   ,   ","   ,   ","X , X","-","   , X","X ,   ","-","X ,   ","   ,   ","   ,   ","   ,   ","X ,   ","-","X ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   , X","X , X","-","   ,   ","   ,   "
