"","n","a","d","m","s"
"1",1,0,182,12925.5,180957
"2",2,1,93,1782.1,3564.2
"3",3,2,43.1,838.4,838.4
"4",4,2,81.5,1734.4,1734.4
"5",5,4,55.8,1543.5,1543.5
"6",6,5,32.4,837.4,837.4
"7",7,1,47.3,1360.4,1360.4
"8",8,1,82,2806.9,2806.9
"9",9,8,49.6,2085.6,2085.6
"10",10,1,75,3297.4,3297.4
"11",11,10,56,455.8,455.8
"12",12,1,141,6173,55557
"13",13,12,47.8,1119.4,1119.4
"14",14,12,30.5,615.9,615.9
"15",15,12,137,1055,7385
"16",16,15,50.6,1397.6,1397.6
"17",17,15,129,1901.9,11411.4
"18",18,17,52.9,1741.2,1741.2
"19",19,17,36.3,707.9,707.9
"20",20,17,106,3925.8,15703.2
"21",21,20,34.7,802.9,802.9
"22",22,20,92,1425.8,4277.4
"23",23,22,384,624.7,624.7
"24",24,22,36,789.6,789.6
"25",25,22,82,989.1,989.1
"26",26,25,39.9,844.2,844.2
