"","group","L~D (Segment)","(Path)","(Subtree)","SA~V (Segment)","(Subtree)","D~V(Segment)","(Subtree)","L~V (Segment)","(Path)","(Subtree)","D~SA (Segment)","(Subtree)","L~SA (Segment)","(Path)","(Subtree)","L~M (Segment)","(Path)","(Subtree)","M~D (Segment)","(Subtree)","M~V(Segment)","(Subtree)"
"11","       - X + X^2","0.39  ,  -0.12  ,  0.011  ,  253.81","0.7  ,  0.02  ,  0.587  ,  25.52","0.24  ,  0.35  ,  0.612  ,  381.55","0.76  ,  -0.02  ,  0.926  ,  -455.01","0.59  ,  0.01  ,  0.974  ,  -611.29","0.24  ,  0.02  ,  0.867  ,  -455","0.31  ,  0.01  ,  0.943  ,  -830.9","0.52  ,  -0.04  ,  0.21  ,  154.96","0.45  ,  -0.01  ,  0.775  ,  -241.8","0.08  ,  0.05  ,  0.751  ,  186.64","-0.15  ,  0.11  ,  0.638  ,  -15.01","0.45  ,  0.01  ,  0.87  ,  -467.01","1.15  ,  -0.11  ,  0.463  ,  -15.01","0.87  ,  -0.05  ,  0.88  ,  -519.28","0.14  ,  0.08  ,  0.872  ,  -105.45","0.48  ,  -0.07  ,  0.231  ,  142.92","0.51  ,  -0.03  ,  0.791  ,  -274.28","0.38  ,  0.03  ,  0.761  ,  167.75","1.13  ,  0.27  ,  0.812  ,  334.46","1.22  ,  0.42  ,  0.916  ,  135.22","0.45  ,  0.06  ,  0.955  ,  -296.76","0.53  ,  0.05  ,  0.978  ,  -450.76"
"12","cherry-1 - X","-0.24  ,         ,  0.103  ,  4.85","0.41  ,         ,  0.168  ,  14.46","0.66  ,         ,  0.235  ,  25.78","0.51  ,         ,  0.87  ,  -20.76","0.69  ,         ,  0.934  ,  -16.72","0.49  ,         ,  0.86  ,  -20.76","0.41  ,         ,  0.849  ,  -19.29","0.02  ,         ,  0.003  ,  6.97","0.3  ,         ,  0.458  ,  5.89","0.46  ,         ,  0.566  ,  14.42","0.7  ,         ,  0.533  ,  3.3","0.5  ,         ,  0.64  ,  -1.91","0.3  ,         ,  0.17  ,  3.3","0.51  ,         ,  0.674  ,  -4.3","0.76  ,         ,  0.797  ,  -0.81","0.03  ,         ,  0.004  ,  6.94","0.3  ,         ,  0.443  ,  6.44","0.46  ,         ,  0.528  ,  16.12","1.65  ,         ,  0.822  ,  8","2.02  ,         ,  0.854  ,  11.2","0.94  ,         ,  0.963  ,  -23.72","0.95  ,         ,  0.983  ,  -31.48"
"13","       - X + X^2","-1.04  ,  0.25  ,  0.113  ,  6.64","-2.61  ,  0.93  ,  0.244  ,  14.54","-4.02  ,  1.45  ,  0.331  ,  25.1","0.29  ,  0.02  ,  0.871  ,  -18.89","-0.4  ,  0.11  ,  0.95  ,  -20.38","0.71  ,  -0.02  ,  0.861  ,  -18.89","1.04  ,  -0.06  ,  0.863  ,  -19.28","-0.43  ,  0.05  ,  0.01  ,  8.83","-0.79  ,  0.11  ,  0.501  ,  6.22","-1.98  ,  0.24  ,  0.679  ,  10.38","0.38  ,  0.04  ,  0.533  ,  5.28","1.78  ,  -0.15  ,  0.664  ,  -1.33","0.62  ,  -0.04  ,  0.171  ,  5.28","0.49  ,  0  ,  0.674  ,  -2.3","-1.12  ,  0.22  ,  0.826  ,  -1.83","-0.29  ,  0.06  ,  0.013  ,  8.77","-0.32  ,  0.11  ,  0.483  ,  6.95","-0.9  ,  0.24  ,  0.627  ,  13.43","0.86  ,  0.24  ,  0.823  ,  9.83","-0.02  ,  0.63  ,  0.861  ,  12.19","0.96  ,  0  ,  0.963  ,  -21.72","0.97  ,  0  ,  0.983  ,  -29.48"
"14","cherry-2 - X","-0.06  ,         ,  0.007  ,  -7.24","0.87  ,         ,  0.596  ,  -12.17","1.35  ,         ,  0.659  ,  19.88","0.55  ,         ,  0.91  ,  -83.23","0.75  ,         ,  0.979  ,  -102.3","0.45  ,         ,  0.87  ,  -83.23","0.36  ,         ,  0.923  ,  -110.7","0.1  ,         ,  0.079  ,  -11.14","0.37  ,         ,  0.809  ,  -51.22","0.57  ,         ,  0.847  ,  -21.69","0.65  ,         ,  0.611  ,  -26.12","0.45  ,         ,  0.846  ,  -74.21","0.35  ,         ,  0.309  ,  -26.12","0.52  ,         ,  0.889  ,  -79.53","0.79  ,         ,  0.933  ,  -65.06","0.07  ,         ,  0.043  ,  -9.13","0.36  ,         ,  0.822  ,  -54.9","0.55  ,         ,  0.85  ,  -22.96","1.99  ,         ,  0.847  ,  5.61","2.64  ,         ,  0.893  ,  13.34","1  ,         ,  0.923  ,  -30.4","1.02  ,         ,  0.975  ,  -62.7"
"15","       - X + X^2","0.1  ,  -0.05  ,  0.008  ,  -5.27","0.76  ,  0.03  ,  0.596  ,  -10.18","-0.92  ,  0.74  ,  0.679  ,  18.7","0.74  ,  -0.02  ,  0.911  ,  -81.72","0.44  ,  0.03  ,  0.98  ,  -103.43","0.26  ,  0.02  ,  0.871  ,  -81.72","0.32  ,  0  ,  0.924  ,  -108.75","0.49  ,  -0.04  ,  0.087  ,  -9.63","0.45  ,  -0.01  ,  0.81  ,  -49.3","-0.52  ,  0.11  ,  0.871  ,  -28.69","-0.34  ,  0.13  ,  0.616  ,  -24.88","0.48  ,  0  ,  0.846  ,  -72.22","1.34  ,  -0.13  ,  0.319  ,  -24.88","1.13  ,  -0.07  ,  0.897  ,  -81.26","-0.38  ,  0.14  ,  0.946  ,  -74.04","0.42  ,  -0.07  ,  0.063  ,  -8.26","0.47  ,  -0.02  ,  0.824  ,  -53.37","0.05  ,  0.09  ,  0.868  ,  -27.26","2.21  ,  -0.07  ,  0.847  ,  7.57","1.82  ,  0.27  ,  0.894  ,  14.88","1.11  ,  -0.01  ,  0.923  ,  -28.45","0.6  ,  0.04  ,  0.977  ,  -63.51"
"16","cherry-3 - X","-0.07  ,         ,  0.006  ,  174.51","0.87  ,         ,  0.68  ,  -28.07","1.5  ,         ,  0.761  ,  152.31","0.57  ,         ,  0.895  ,  -223.44","0.75  ,         ,  0.986  ,  -514.56","0.43  ,         ,  0.829  ,  -223.43","0.36  ,         ,  0.943  ,  -515.81","0.14  ,         ,  0.115  ,  143.93","0.37  ,         ,  0.85  ,  -228.26","0.6  ,         ,  0.87  ,  -9.52","0.57  ,         ,  0.53  ,  44.93","0.47  ,         ,  0.898  ,  -359.46","0.43  ,         ,  0.391  ,  44.94","0.5  ,         ,  0.902  ,  -341.4","0.82  ,         ,  0.932  ,  -179.09","0.16  ,         ,  0.128  ,  139.9","0.39  ,         ,  0.854  ,  -235.13","0.65  ,         ,  0.89  ,  -52.95","1.66  ,         ,  0.741  ,  235.2","2.35  ,         ,  0.896  ,  128.52","0.88  ,         ,  0.923  ,  -87.91","0.92  ,         ,  0.964  ,  -153.64"
"17","       - X + X^2","0.22  ,  -0.11  ,  0.011  ,  175.42","0.67  ,  0.08  ,  0.681  ,  -27.22","-0.15  ,  0.65  ,  0.796  ,  111.98","0.82  ,  -0.03  ,  0.899  ,  -231.35","0.63  ,  0.01  ,  0.987  ,  -526.62","0.18  ,  0.03  ,  0.835  ,  -231.35","0.27  ,  0.01  ,  0.945  ,  -522.7","0.63  ,  -0.06  ,  0.147  ,  136.02","0.61  ,  -0.03  ,  0.859  ,  -244.09","0.12  ,  0.06  ,  0.885  ,  -39.7","-0.37  ,  0.15  ,  0.547  ,  36.73","0.29  ,  0.02  ,  0.9  ,  -364.45","1.37  ,  -0.15  ,  0.414  ,  36.73","1.1  ,  -0.08  ,  0.929  ,  -424.37","0.33  ,  0.07  ,  0.938  ,  -204.47","0.53  ,  -0.1  ,  0.18  ,  125.53","0.66  ,  -0.06  ,  0.884  ,  -294.4","0.52  ,  0.03  ,  0.893  ,  -58.16","0.62  ,  0.41  ,  0.752  ,  225.57","0.71  ,  0.65  ,  0.912  ,  84.4","0.27  ,  0.08  ,  0.934  ,  -124.32","0.45  ,  0.05  ,  0.971  ,  -204.72"
"18","cherry-3+ - X","-0.07  ,         ,  0.006  ,  174.51","0.87  ,         ,  0.68  ,  -28.07","1.5  ,         ,  0.761  ,  152.31","0.57  ,         ,  0.895  ,  -223.44","0.75  ,         ,  0.986  ,  -514.56","0.43  ,         ,  0.829  ,  -223.43","0.36  ,         ,  0.943  ,  -515.81","0.14  ,         ,  0.115  ,  143.93","0.37  ,         ,  0.85  ,  -228.26","0.6  ,         ,  0.87  ,  -9.52","0.57  ,         ,  0.53  ,  44.93","0.47  ,         ,  0.898  ,  -359.46","0.43  ,         ,  0.391  ,  44.94","0.5  ,         ,  0.902  ,  -341.4","0.82  ,         ,  0.932  ,  -179.09","0.16  ,         ,  0.128  ,  139.9","0.39  ,         ,  0.854  ,  -235.13","0.65  ,         ,  0.89  ,  -52.95","1.66  ,         ,  0.741  ,  235.2","2.35  ,         ,  0.896  ,  128.52","0.88  ,         ,  0.923  ,  -87.91","0.92  ,         ,  0.964  ,  -153.64"
"19","       - X + X^2","0.22  ,  -0.11  ,  0.011  ,  175.42","0.67  ,  0.08  ,  0.681  ,  -27.22","-0.15  ,  0.65  ,  0.796  ,  111.98","0.82  ,  -0.03  ,  0.899  ,  -231.35","0.63  ,  0.01  ,  0.987  ,  -526.62","0.18  ,  0.03  ,  0.835  ,  -231.35","0.27  ,  0.01  ,  0.945  ,  -522.7","0.63  ,  -0.06  ,  0.147  ,  136.02","0.61  ,  -0.03  ,  0.859  ,  -244.09","0.12  ,  0.06  ,  0.885  ,  -39.7","-0.37  ,  0.15  ,  0.547  ,  36.73","0.29  ,  0.02  ,  0.9  ,  -364.45","1.37  ,  -0.15  ,  0.414  ,  36.73","1.1  ,  -0.08  ,  0.929  ,  -424.37","0.33  ,  0.07  ,  0.938  ,  -204.47","0.53  ,  -0.1  ,  0.18  ,  125.53","0.66  ,  -0.06  ,  0.884  ,  -294.4","0.52  ,  0.03  ,  0.893  ,  -58.16","0.62  ,  0.41  ,  0.752  ,  225.57","0.71  ,  0.65  ,  0.912  ,  84.4","0.27  ,  0.08  ,  0.934  ,  -124.32","0.45  ,  0.05  ,  0.971  ,  -204.72"
"20","cherry-4 - X","-0.06  ,         ,  0.006  ,  5.48","0.78  ,         ,  0.595  ,  -10.68","1.26  ,         ,  0.683  ,  26.6","0.55  ,         ,  0.913  ,  -89.32","0.73  ,         ,  0.978  ,  -118.53","0.45  ,         ,  0.876  ,  -89.32","0.38  ,         ,  0.939  ,  -134.78","0.1  ,         ,  0.076  ,  0.79","0.35  ,         ,  0.783  ,  -51.44","0.54  ,         ,  0.842  ,  -18.76","0.66  ,         ,  0.625  ,  -17.19","0.49  ,         ,  0.869  ,  -85.76","0.34  ,         ,  0.299  ,  -17.19","0.49  ,         ,  0.874  ,  -86.43","0.77  ,         ,  0.932  ,  -73.35","0.11  ,         ,  0.088  ,  -0.07","0.36  ,         ,  0.803  ,  -57.75","0.56  ,         ,  0.852  ,  -23.08","1.85  ,         ,  0.843  ,  17.18","2.43  ,         ,  0.924  ,  -0.13","0.96  ,         ,  0.98  ,  -116.85","0.98  ,         ,  0.993  ,  -152.15"
