"","group","L~D (Segment)","(Path)","(Subtree)","SA~V (Segment)","(Subtree)","D~V(Segment)","(Subtree)","L~V (Segment)","(Path)","(Subtree)","D~SA (Segment)","(Subtree)","L~SA (Segment)","(Path)","(Subtree)","L~M (Segment)","(Path)","(Subtree)","M~D (Segment)","(Subtree)","M~V(Segment)","(Subtree)"
"21","       - X + X^2","-0.43  ,  0.12  ,  0.01  ,  7.26","-0.46  ,  0.41  ,  0.615  ,  -12.1","-1.43  ,  0.88  ,  0.726  ,  19.17","0.66  ,  -0.01  ,  0.913  ,  -87.54","0.47  ,  0.03  ,  0.98  ,  -120.03","0.34  ,  0.01  ,  0.877  ,  -87.54","0.39  ,  0  ,  0.939  ,  -132.79","0.32  ,  -0.02  ,  0.079  ,  2.57","0.35  ,  0  ,  0.783  ,  -49.44","-0.22  ,  0.08  ,  0.857  ,  -23.06","-0.55  ,  0.16  ,  0.635  ,  -17.02","0.46  ,  0  ,  0.869  ,  -83.77","1.55  ,  -0.16  ,  0.318  ,  -17.02","1.05  ,  -0.07  ,  0.881  ,  -88.49","0.21  ,  0.07  ,  0.935  ,  -74.67","0.31  ,  -0.04  ,  0.096  ,  1.38","0.42  ,  -0.01  ,  0.804  ,  -55.94","0.18  ,  0.07  ,  0.863  ,  -25.77","1.23  ,  0.2  ,  0.844  ,  18.64","0.96  ,  0.48  ,  0.928  ,  -2.23","0.97  ,  0  ,  0.98  ,  -114.86","0.96  ,  0  ,  0.993  ,  -150.17"
"22","cherry-5 - X","-0.15  ,         ,  0.028  ,  9.8","0.73  ,         ,  0.334  ,  22.52","1.15  ,         ,  0.462  ,  36.6","0.56  ,         ,  0.877  ,  -44.62","0.75  ,         ,  0.96  ,  -50.4","0.44  ,         ,  0.818  ,  -44.62","0.36  ,         ,  0.868  ,  -56.74","0.12  ,         ,  0.072  ,  8.06","0.4  ,         ,  0.671  ,  -4.28","0.57  ,         ,  0.763  ,  5.39","0.57  ,         ,  0.487  ,  -5.26","0.43  ,         ,  0.729  ,  -29.56","0.43  ,         ,  0.346  ,  -5.26","0.58  ,         ,  0.828  ,  -28.85","0.81  ,         ,  0.907  ,  -30.11","0.11  ,         ,  0.06  ,  8.53","0.39  ,         ,  0.63  ,  0.21","0.57  ,         ,  0.733  ,  9.96","1.79  ,         ,  0.806  ,  10.27","2.39  ,         ,  0.877  ,  11.65","0.96  ,         ,  0.968  ,  -58.23","0.98  ,         ,  0.981  ,  -58.44"
"23","       - X + X^2","1.26  ,  -0.42  ,  0.052  ,  10.87","0.23  ,  0.15  ,  0.335  ,  24.43","-1.46  ,  0.77  ,  0.484  ,  37.02","0.78  ,  -0.02  ,  0.879  ,  -42.97","0.38  ,  0.04  ,  0.963  ,  -50.65","0.22  ,  0.02  ,  0.82  ,  -42.97","0.31  ,  0  ,  0.868  ,  -54.78","0.55  ,  -0.04  ,  0.08  ,  9.71","0.28  ,  0.01  ,  0.671  ,  -2.34","-0.45  ,  0.1  ,  0.787  ,  3.47","-0.34  ,  0.12  ,  0.494  ,  -3.83","0.11  ,  0.04  ,  0.733  ,  -28.05","1.34  ,  -0.12  ,  0.356  ,  -3.83","1.23  ,  -0.07  ,  0.837  ,  -28.9","0.3  ,  0.06  ,  0.91  ,  -29.44","0.27  ,  -0.03  ,  0.064  ,  10.37","0.26  ,  0.02  ,  0.632  ,  1.99","-0.07  ,  0.1  ,  0.761  ,  7.76","3.59  ,  -0.53  ,  0.814  ,  10.77","2.07  ,  0.09  ,  0.877  ,  13.6","1.15  ,  -0.02  ,  0.968  ,  -56.63","0.94  ,  0  ,  0.981  ,  -56.47"
"24","apple - X","-0.18  ,         ,  0.024  ,  185.39","0.73  ,         ,  0.442  ,  -55.12","1.25  ,         ,  0.577  ,  141.87","0.6  ,         ,  0.858  ,  -387.51","0.75  ,         ,  0.969  ,  -687.95","0.4  ,         ,  0.721  ,  -387.51","0.36  ,         ,  0.903  ,  -785.12","0.21  ,         ,  0.153  ,  132.35","0.35  ,         ,  0.715  ,  -307.28","0.55  ,         ,  0.783  ,  -108.4","0.42  ,         ,  0.344  ,  -67.55","0.45  ,         ,  0.81  ,  -531.7","0.58  ,         ,  0.503  ,  -67.55","0.5  ,         ,  0.827  ,  -493.67","0.78  ,         ,  0.907  ,  -426.17","0.21  ,         ,  0.155  ,  131.31","0.36  ,         ,  0.693  ,  -279.26","0.56  ,         ,  0.768  ,  -83.47","1.75  ,         ,  0.688  ,  213.89","2.43  ,         ,  0.892  ,  -34.24","0.97  ,         ,  0.967  ,  -630.12","0.97  ,         ,  0.98  ,  -658.61"
"25","       - X + X^2","1.01  ,  -0.36  ,  0.035  ,  183.22","0.66  ,  0.02  ,  0.442  ,  -53.15","-1.37  ,  0.8  ,  0.602  ,  120.58","1.35  ,  -0.08  ,  0.867  ,  -411.47","0.58  ,  0.02  ,  0.969  ,  -691.43","-0.35  ,  0.08  ,  0.739  ,  -411.46","0.02  ,  0.03  ,  0.911  ,  -812.41","1.71  ,  -0.15  ,  0.209  ,  108.4","0.97  ,  -0.06  ,  0.735  ,  -332.07","-0.04  ,  0.06  ,  0.791  ,  -120.56","-1.53  ,  0.26  ,  0.381  ,  -87.34","-0.1  ,  0.06  ,  0.821  ,  -551.37","2.53  ,  -0.26  ,  0.531  ,  -87.34","1.71  ,  -0.14  ,  0.869  ,  -597.12","0.31  ,  0.06  ,  0.91  ,  -436.13","1.14  ,  -0.17  ,  0.219  ,  104.02","0.75  ,  -0.07  ,  0.714  ,  -304.58","0.24  ,  0.05  ,  0.774  ,  -91.68","2.36  ,  -0.19  ,  0.689  ,  214.89","1.68  ,  0.23  ,  0.893  ,  -35.22","0.73  ,  0.02  ,  0.968  ,  -632.93","0.71  ,  0.03  ,  0.98  ,  -668.91"
"26","Bud.9 - X","-0.48  ,         ,  0.076  ,  32.01","1.02  ,         ,  0.432  ,  3.28","1.67  ,         ,  0.621  ,  11.59","0.71  ,         ,  0.823  ,  -31.96","0.82  ,         ,  0.981  ,  -93.53","0.29  ,         ,  0.445  ,  -31.96","0.31  ,         ,  0.832  ,  -78.52","0.41  ,         ,  0.283  ,  22.11","0.47  ,         ,  0.793  ,  -36.09","0.68  ,         ,  0.886  ,  -35.44","0.16  ,         ,  0.085  ,  -12.43","0.36  ,         ,  0.753  ,  -63.43","0.84  ,         ,  0.704  ,  -12.43","0.6  ,         ,  0.873  ,  -55.05","0.85  ,         ,  0.957  ,  -73.63","0.42  ,         ,  0.244  ,  24.2","0.49  ,         ,  0.735  ,  -26.44","0.73  ,         ,  0.869  ,  -29.92","1.37  ,         ,  0.428  ,  26.59","2.48  ,         ,  0.837  ,  -2.13","0.88  ,         ,  0.919  ,  -49.8","0.9  ,         ,  0.957  ,  -54.17"
"27","       - X + X^2","0.83  ,  -0.46  ,  0.079  ,  33.89","-0.97  ,  0.7  ,  0.441  ,  4.67","-4.47  ,  2.16  ,  0.666  ,  8.65","1.75  ,  -0.12  ,  0.835  ,  -32.7","1.07  ,  -0.03  ,  0.981  ,  -92.87","-0.75  ,  0.12  ,  0.483  ,  -32.7","-0.71  ,  0.11  ,  0.895  ,  -94.79","2.5  ,  -0.24  ,  0.332  ,  21.36","2.24  ,  -0.2  ,  0.872  ,  -52.71","0.94  ,  -0.03  ,  0.887  ,  -33.77","-1.52  ,  0.25  ,  0.132  ,  -12.48","-0.97  ,  0.18  ,  0.847  ,  -80.19","2.52  ,  -0.25  ,  0.719  ,  -12.48","2.45  ,  -0.24  ,  0.949  ,  -88.55","1.02  ,  -0.02  ,  0.958  ,  -71.93","1.95  ,  -0.35  ,  0.332  ,  21.35","1.6  ,  -0.23  ,  0.82  ,  -39.45","1.06  ,  -0.07  ,  0.873  ,  -29.14","-0.79  ,  0.76  ,  0.434  ,  28.2","-2.31  ,  1.68  ,  0.854  ,  -4.36","-0.37  ,  0.15  ,  0.932  ,  -54.39","-0.16  ,  0.12  ,  0.966  ,  -61.6"
"28","Bud.9-1 - X","-0.28  ,         ,  0.016  ,  16.8","1.62  ,         ,  0.423  ,  13.53","2.36  ,         ,  0.615  ,  13.27","0.78  ,         ,  0.884  ,  -5.77","0.89  ,         ,  0.994  ,  -30.65","0.22  ,         ,  0.38  ,  -5.77","0.23  ,         ,  0.721  ,  -14.56","0.56  ,         ,  0.494  ,  9.48","0.64  ,         ,  0.895  ,  -5.26","0.81  ,         ,  0.975  ,  -16.92","0.13  ,         ,  0.097  ,  -1.63","0.25  ,         ,  0.666  ,  -12.57","0.87  ,         ,  0.816  ,  -1.63","0.73  ,         ,  0.931  ,  -9.9","0.92  ,         ,  0.993  ,  -31.09","0.54  ,         ,  0.429  ,  10.82","0.67  ,         ,  0.874  ,  -3.22","0.85  ,         ,  0.974  ,  -16.24","1.76  ,         ,  0.424  ,  15.24","3.02  ,         ,  0.745  ,  12.04","0.95  ,         ,  0.974  ,  -18.71","0.95  ,         ,  0.987  ,  -20.47"
"29","       - X + X^2","9.16  ,  -3.29  ,  0.064  ,  18.25","6.94  ,  -1.85  ,  0.435  ,  15.3","2.34  ,  0.01  ,  0.615  ,  15.27","2.05  ,  -0.15  ,  0.902  ,  -5.68","1.34  ,  -0.05  ,  0.996  ,  -34.09","-1.05  ,  0.15  ,  0.479  ,  -5.68","-0.98  ,  0.14  ,  0.903  ,  -24.2","3.09  ,  -0.31  ,  0.575  ,  9.57","2.67  ,  -0.23  ,  0.977  ,  -19.78","1.52  ,  -0.08  ,  0.982  ,  -18.39","-0.41  ,  0.08  ,  0.107  ,  0.25","-1.13  ,  0.19  ,  0.896  ,  -23.41","1.41  ,  -0.08  ,  0.818  ,  0.25","2.46  ,  -0.24  ,  0.989  ,  -28.47","1.24  ,  -0.04  ,  0.995  ,  -31.52","2.1  ,  -0.39  ,  0.568  ,  9.75","1.97  ,  -0.29  ,  0.987  ,  -26.08","1.48  ,  -0.14  ,  0.992  ,  -26.91","5.02  ,  -1.14  ,  0.428  ,  17.17","2.96  ,  0.02  ,  0.745  ,  14.04","0.06  ,  0.11  ,  0.981  ,  -20","0.43  ,  0.06  ,  0.989  ,  -20.95"
"30","Bud.9-2 - X","-0.59  ,         ,  0.071  ,  13.82","1.36  ,         ,  0.757  ,  -2.39","2.02  ,         ,  0.884  ,  -3.29","0.78  ,         ,  0.852  ,  -1.17","0.81  ,         ,  0.995  ,  -25.33","0.22  ,         ,  0.306  ,  -1.17","0.3  ,         ,  0.927  ,  -19.17","0.57  ,         ,  0.429  ,  9.92","0.47  ,         ,  0.939  ,  -13.44","0.66  ,         ,  0.968  ,  -13.48","0.09  ,         ,  0.036  ,  1.46","0.36  ,         ,  0.913  ,  -17.79","0.91  ,         ,  0.802  ,  1.46","0.58  ,         ,  0.944  ,  -14.15","0.81  ,         ,  0.987  ,  -21.08","0.73  ,         ,  0.427  ,  9.95","0.54  ,         ,  0.7  ,  -0.73","0.83  ,         ,  0.864  ,  -2","0.76  ,         ,  0.146  ,  11.4","2.35  ,         ,  0.943  ,  -7.11","0.67  ,         ,  0.749  ,  1.61","0.7  ,         ,  0.877  ,  -0.92"
"31","       - X + X^2","19.52  ,  -6.8  ,  0.251  ,  14.1","10.91  ,  -3.23  ,  0.837  ,  -3.6","4.59  ,  -0.87  ,  0.888  ,  -1.51","0.64  ,  0.02  ,  0.852  ,  0.83","0.76  ,  0.01  ,  0.995  ,  -23.37","0.36  ,  -0.02  ,  0.306  ,  0.83","-0.5  ,  0.09  ,  0.962  ,  -22.35","0.27  ,  0.03  ,  0.43  ,  11.92","1.75  ,  -0.14  ,  0.976  ,  -18.82","0.28  ,  0.04  ,  0.969  ,  -11.92","-2.84  ,  0.42  ,  0.095  ,  2.96","-0.54  ,  0.12  ,  0.945  ,  -19.47","3.84  ,  -0.42  ,  0.814  ,  2.96","2.17  ,  -0.21  ,  0.984  ,  -22.32","0.38  ,  0.06  ,  0.989  ,  -20.17","9.53  ,  -1.81  ,  0.795  ,  3.74","2.87  ,  -0.44  ,  0.773  ,  -0.96","2.33  ,  -0.29  ,  0.88  ,  -1.02","-0.52  ,  0.43  ,  0.147  ,  13.39","-5.37  ,  2.61  ,  0.965  ,  -9.06","-4.77  ,  0.62  ,  0.958  ,  -10.64","-2.81  ,  0.39  ,  0.994  ,  -22.53"
"32","Bud.9-3 - X","-0.43  ,         ,  0.156  ,  0.58","1.1  ,         ,  0.894  ,  -12.94","1.8  ,         ,  0.901  ,  -6.55","0.55  ,         ,  0.783  ,  -8.11","0.81  ,         ,  0.992  ,  -21.95","0.45  ,         ,  0.715  ,  -8.11","0.36  ,         ,  0.963  ,  -22.4","0.09  ,         ,  0.025  ,  1.6","0.41  ,         ,  0.97  ,  -21.73","0.67  ,         ,  0.952  ,  -11.63","0.44  ,         ,  0.25  ,  -1.33","0.43  ,         ,  0.945  ,  -19.62","0.56  ,         ,  0.358  ,  -1.33","0.51  ,         ,  0.964  ,  -20.47","0.84  ,         ,  0.982  ,  -18.54","0.02  ,         ,  0.001  ,  1.76","0.4  ,         ,  0.954  ,  -18.73","0.64  ,         ,  0.935  ,  -9.52","1.83  ,         ,  0.815  ,  -1.24","2.83  ,         ,  0.985  ,  -14.15","1.08  ,         ,  0.976  ,  -15.56","1.03  ,         ,  0.993  ,  -19.65"
"33","       - X + X^2","0.11  ,  -0.18  ,  0.157  ,  2.58","3.54  ,  -0.82  ,  0.905  ,  -11.7","-1.12  ,  0.99  ,  0.907  ,  -4.98","0.64  ,  -0.01  ,  0.783  ,  -6.11","0.11  ,  0.07  ,  0.994  ,  -21.31","0.36  ,  0.01  ,  0.715  ,  -6.11","-0.17  ,  0.05  ,  0.967  ,  -21.18","0.28  ,  -0.02  ,  0.025  ,  3.6","1.4  ,  -0.1  ,  0.98  ,  -22.53","-1.2  ,  0.19  ,  0.966  ,  -11.93","-1.17  ,  0.21  ,  0.251  ,  0.66","0.1  ,  0.04  ,  0.946  ,  -17.74","2.17  ,  -0.21  ,  0.359  ,  0.66","2.41  ,  -0.23  ,  0.986  ,  -25.11","-0.83  ,  0.2  ,  0.989  ,  -19.62","0.53  ,  -0.11  ,  0.005  ,  3.73","0.93  ,  -0.1  ,  0.966  ,  -18.9","-0.09  ,  0.14  ,  0.944  ,  -8.54","2.13  ,  -0.1  ,  0.815  ,  0.76","4.37  ,  -0.52  ,  0.986  ,  -12.49","1.21  ,  -0.01  ,  0.976  ,  -13.56","0.66  ,  0.04  ,  0.994  ,  -17.9"
"34","Bud.9-4 - X","-0.57  ,         ,  0.159  ,  10.59","0.74  ,         ,  0.746  ,  -18.33","1.42  ,         ,  0.793  ,  -4.98","0.62  ,         ,  0.76  ,  -6.69","0.77  ,         ,  0.986  ,  -35.44","0.38  ,         ,  0.537  ,  -6.69","0.38  ,         ,  0.906  ,  -27.34","0.25  ,         ,  0.11  ,  11.33","0.33  ,         ,  0.919  ,  -33.23","0.61  ,         ,  0.899  ,  -14.35","0.22  ,         ,  0.094  ,  2.06","0.48  ,         ,  0.871  ,  -23.33","0.78  ,         ,  0.564  ,  2.06","0.44  ,         ,  0.948  ,  -39.02","0.81  ,         ,  0.956  ,  -25.16","0.3  ,         ,  0.137  ,  10.93","0.36  ,         ,  0.929  ,  -34.98","0.67  ,         ,  0.942  ,  -21.43","1.21  ,         ,  0.478  ,  9.51","2.18  ,         ,  0.896  ,  -4.41","0.89  ,         ,  0.973  ,  -28.97","0.92  ,         ,  0.986  ,  -30.7"
"35","       - X + X^2","-3.02  ,  0.89  ,  0.181  ,  12.26","-1.4  ,  0.78  ,  0.792  ,  -18.96","-4.89  ,  2.3  ,  0.91  ,  -13.82","1.19  ,  -0.06  ,  0.763  ,  -4.85","-0.07  ,  0.09  ,  0.991  ,  -39.59","-0.19  ,  0.06  ,  0.543  ,  -4.85","0.28  ,  0.01  ,  0.906  ,  -25.37","1.38  ,  -0.13  ,  0.121  ,  13.17","0.3  ,  0  ,  0.919  ,  -31.24","-1.34  ,  0.21  ,  0.94  ,  -19.04","-4.16  ,  0.62  ,  0.208  ,  2.3","0.58  ,  -0.01  ,  0.872  ,  -21.34","5.16  ,  -0.62  ,  0.619  ,  2.3","1.15  ,  -0.09  ,  0.957  ,  -39.4","-0.8  ,  0.2  ,  0.969  ,  -27.74","1.64  ,  -0.3  ,  0.185  ,  12.18","0.63  ,  -0.05  ,  0.935  ,  -34.16","-0.06  ,  0.15  ,  0.955  ,  -22.86","-3.43  ,  1.69  ,  0.531  ,  10.14","-2.61  ,  1.74  ,  0.929  ,  -7.27","-0.04  ,  0.11  ,  0.978  ,  -29.71","-0.16  ,  0.12  ,  0.992  ,  -36.05"
"36","Bud.9-4+ - X","-0.57  ,         ,  0.159  ,  10.59","0.74  ,         ,  0.746  ,  -18.33","1.42  ,         ,  0.793  ,  -4.98","0.62  ,         ,  0.76  ,  -6.69","0.77  ,         ,  0.986  ,  -35.44","0.38  ,         ,  0.537  ,  -6.69","0.38  ,         ,  0.906  ,  -27.34","0.25  ,         ,  0.11  ,  11.33","0.33  ,         ,  0.919  ,  -33.23","0.61  ,         ,  0.899  ,  -14.35","0.22  ,         ,  0.094  ,  2.06","0.48  ,         ,  0.871  ,  -23.33","0.78  ,         ,  0.564  ,  2.06","0.44  ,         ,  0.948  ,  -39.02","0.81  ,         ,  0.956  ,  -25.16","0.3  ,         ,  0.137  ,  10.93","0.36  ,         ,  0.929  ,  -34.98","0.67  ,         ,  0.942  ,  -21.43","1.21  ,         ,  0.478  ,  9.51","2.18  ,         ,  0.896  ,  -4.41","0.89  ,         ,  0.973  ,  -28.97","0.92  ,         ,  0.986  ,  -30.7"
"37","       - X + X^2","-3.02  ,  0.89  ,  0.181  ,  12.26","-1.4  ,  0.78  ,  0.792  ,  -18.96","-4.89  ,  2.3  ,  0.91  ,  -13.82","1.19  ,  -0.06  ,  0.763  ,  -4.85","-0.07  ,  0.09  ,  0.991  ,  -39.59","-0.19  ,  0.06  ,  0.543  ,  -4.85","0.28  ,  0.01  ,  0.906  ,  -25.37","1.38  ,  -0.13  ,  0.121  ,  13.17","0.3  ,  0  ,  0.919  ,  -31.24","-1.34  ,  0.21  ,  0.94  ,  -19.04","-4.16  ,  0.62  ,  0.208  ,  2.3","0.58  ,  -0.01  ,  0.872  ,  -21.34","5.16  ,  -0.62  ,  0.619  ,  2.3","1.15  ,  -0.09  ,  0.957  ,  -39.4","-0.8  ,  0.2  ,  0.969  ,  -27.74","1.64  ,  -0.3  ,  0.185  ,  12.18","0.63  ,  -0.05  ,  0.935  ,  -34.16","-0.06  ,  0.15  ,  0.955  ,  -22.86","-3.43  ,  1.69  ,  0.531  ,  10.14","-2.61  ,  1.74  ,  0.929  ,  -7.27","-0.04  ,  0.11  ,  0.978  ,  -29.71","-0.16  ,  0.12  ,  0.992  ,  -36.05"
"38","CG.3041 - X","-0.22  ,         ,  0.037  ,  9.61","0.89  ,         ,  0.629  ,  -44.73","1.59  ,         ,  0.755  ,  -15.21","0.6  ,         ,  0.846  ,  -69.7","0.79  ,         ,  0.979  ,  -128.04","0.4  ,         ,  0.706  ,  -69.7","0.36  ,         ,  0.932  ,  -147.41","0.21  ,         ,  0.138  ,  3.77","0.38  ,         ,  0.83  ,  -86.11","0.63  ,         ,  0.857  ,  -43.52","0.4  ,         ,  0.314  ,  -24.85","0.44  ,         ,  0.889  ,  -121.25","0.6  ,         ,  0.497  ,  -24.85","0.49  ,         ,  0.885  ,  -107.09","0.82  ,         ,  0.941  ,  -90.75","0.23  ,         ,  0.164  ,  2.1","0.39  ,         ,  0.849  ,  -92.55","0.66  ,         ,  0.885  ,  -55.36","1.67  ,         ,  0.652  ,  16.04","2.51  ,         ,  0.907  ,  -28.38","0.97  ,         ,  0.976  ,  -126.38","0.97  ,         ,  0.989  ,  -142.02"
"39","       - X + X^2","3.5  ,  -1.2  ,  0.112  ,  7.31","1.15  ,  -0.08  ,  0.629  ,  -42.79","-2.68  ,  1.38  ,  0.795  ,  -22.72","1.25  ,  -0.07  ,  0.85  ,  -68.98","0.18  ,  0.06  ,  0.982  ,  -135.28","-0.25  ,  0.07  ,  0.713  ,  -68.98","-0.02  ,  0.04  ,  0.938  ,  -150.32","1.5  ,  -0.14  ,  0.158  ,  4.49","0.91  ,  -0.05  ,  0.839  ,  -87.05","-0.9  ,  0.15  ,  0.885  ,  -53.32","-0.26  ,  0.09  ,  0.315  ,  -22.96","0.09  ,  0.04  ,  0.892  ,  -120.67","1.26  ,  -0.09  ,  0.498  ,  -22.96","1.82  ,  -0.16  ,  0.919  ,  -123.57","-0.41  ,  0.15  ,  0.952  ,  -99.46","1.29  ,  -0.2  ,  0.208  ,  1.23","0.87  ,  -0.08  ,  0.869  ,  -98.13","-0.05  ,  0.12  ,  0.902  ,  -61.61","3.77  ,  -0.68  ,  0.659  ,  16.86","1.69  ,  0.26  ,  0.908  ,  -26.78","-0.08  ,  0.11  ,  0.981  ,  -134.9","0.46  ,  0.05  ,  0.991  ,  -148.13"
"40","CG.3041-1 - X","-0.21  ,         ,  0.032  ,  5.67","0.87  ,         ,  0.537  ,  -5.98","1.51  ,         ,  0.628  ,  6.3","0.6  ,         ,  0.851  ,  -19.94","0.79  ,         ,  0.968  ,  -31.18","0.4  ,         ,  0.712  ,  -19.94","0.36  ,         ,  0.919  ,  -41.47","0.21  ,         ,  0.142  ,  3.62","0.39  ,         ,  0.776  ,  -18.36","0.64  ,         ,  0.808  ,  -4.95","0.41  ,         ,  0.326  ,  -5.49","0.42  ,         ,  0.831  ,  -29.06","0.59  ,         ,  0.498  ,  -5.49","0.51  ,         ,  0.871  ,  -27.76","0.85  ,         ,  0.926  ,  -21.16","0.24  ,         ,  0.185  ,  2.75","0.41  ,         ,  0.809  ,  -21.07","0.68  ,         ,  0.849  ,  -9.07","1.67  ,         ,  0.636  ,  9.13","2.42  ,         ,  0.87  ,  -1.09","0.97  ,         ,  0.971  ,  -33.93","0.96  ,         ,  0.983  ,  -35.99"
"41","       - X + X^2","-2.14  ,  0.65  ,  0.056  ,  7.24","-1.46  ,  0.79  ,  0.57  ,  -5.27","-5.1  ,  2.23  ,  0.733  ,  2.66","0.46  ,  0.01  ,  0.851  ,  -17.96","0.02  ,  0.08  ,  0.973  ,  -31.77","0.54  ,  -0.01  ,  0.712  ,  -17.96","0.36  ,  0  ,  0.919  ,  -39.47","-0.07  ,  0.03  ,  0.143  ,  5.61","0.6  ,  -0.02  ,  0.777  ,  -16.44","-1.24  ,  0.19  ,  0.842  ,  -6.3","-4.09  ,  0.58  ,  0.372  ,  -4.71","0.26  ,  0.02  ,  0.832  ,  -27.11","5.09  ,  -0.58  ,  0.533  ,  -4.71","1.99  ,  -0.18  ,  0.902  ,  -30.47","-0.38  ,  0.15  ,  0.934  ,  -21.21","1  ,  -0.15  ,  0.205  ,  4.32","0.88  ,  -0.08  ,  0.825  ,  -20.51","-0.01  ,  0.12  ,  0.862  ,  -8.62","-2.52  ,  1.41  ,  0.671  ,  9.42","-1.75  ,  1.41  ,  0.893  ,  -2.34","-0.36  ,  0.14  ,  0.977  ,  -35.7","0.24  ,  0.07  ,  0.986  ,  -37.07"
"42","CG.3041-1+ - X","-0.21  ,         ,  0.032  ,  5.67","0.87  ,         ,  0.537  ,  -5.98","1.51  ,         ,  0.628  ,  6.3","0.6  ,         ,  0.851  ,  -19.94","0.79  ,         ,  0.968  ,  -31.18","0.4  ,         ,  0.712  ,  -19.94","0.36  ,         ,  0.919  ,  -41.47","0.21  ,         ,  0.142  ,  3.62","0.39  ,         ,  0.776  ,  -18.36","0.64  ,         ,  0.808  ,  -4.95","0.41  ,         ,  0.326  ,  -5.49","0.42  ,         ,  0.831  ,  -29.06","0.59  ,         ,  0.498  ,  -5.49","0.51  ,         ,  0.871  ,  -27.76","0.85  ,         ,  0.926  ,  -21.16","0.24  ,         ,  0.185  ,  2.75","0.41  ,         ,  0.809  ,  -21.07","0.68  ,         ,  0.849  ,  -9.07","1.67  ,         ,  0.636  ,  9.13","2.42  ,         ,  0.87  ,  -1.09","0.97  ,         ,  0.971  ,  -33.93","0.96  ,         ,  0.983  ,  -35.99"
"43","       - X + X^2","-2.14  ,  0.65  ,  0.056  ,  7.24","-1.46  ,  0.79  ,  0.57  ,  -5.27","-5.1  ,  2.23  ,  0.733  ,  2.66","0.46  ,  0.01  ,  0.851  ,  -17.96","0.02  ,  0.08  ,  0.973  ,  -31.77","0.54  ,  -0.01  ,  0.712  ,  -17.96","0.36  ,  0  ,  0.919  ,  -39.47","-0.07  ,  0.03  ,  0.143  ,  5.61","0.6  ,  -0.02  ,  0.777  ,  -16.44","-1.24  ,  0.19  ,  0.842  ,  -6.3","-4.09  ,  0.58  ,  0.372  ,  -4.71","0.26  ,  0.02  ,  0.832  ,  -27.11","5.09  ,  -0.58  ,  0.533  ,  -4.71","1.99  ,  -0.18  ,  0.902  ,  -30.47","-0.38  ,  0.15  ,  0.934  ,  -21.21","1  ,  -0.15  ,  0.205  ,  4.32","0.88  ,  -0.08  ,  0.825  ,  -20.51","-0.01  ,  0.12  ,  0.862  ,  -8.62","-2.52  ,  1.41  ,  0.671  ,  9.42","-1.75  ,  1.41  ,  0.893  ,  -2.34","-0.36  ,  0.14  ,  0.977  ,  -35.7","0.24  ,  0.07  ,  0.986  ,  -37.07"
"44","CG.3041-2 - X","-0.12  ,         ,  0.013  ,  2.34","1.04  ,         ,  0.787  ,  -12.11","1.73  ,         ,  0.887  ,  -9.09","0.59  ,         ,  0.873  ,  -14.48","0.8  ,         ,  0.99  ,  -31.99","0.41  ,         ,  0.765  ,  -14.48","0.35  ,         ,  0.946  ,  -30.62","0.19  ,         ,  0.145  ,  0.77","0.4  ,         ,  0.918  ,  -22.64","0.64  ,         ,  0.926  ,  -13.69","0.47  ,         ,  0.416  ,  -4.46","0.43  ,         ,  0.935  ,  -28.56","0.53  ,         ,  0.469  ,  -4.46","0.51  ,         ,  0.934  ,  -25.03","0.81  ,         ,  0.968  ,  -23.01","0.17  ,         ,  0.127  ,  1","0.4  ,         ,  0.913  ,  -21.95","0.65  ,         ,  0.94  ,  -16.07","1.88  ,         ,  0.766  ,  2.21","2.68  ,         ,  0.939  ,  -6.87","0.99  ,         ,  0.978  ,  -23.84","0.99  ,         ,  0.991  ,  -27.41"
"45","       - X + X^2","5.51  ,  -1.77  ,  0.147  ,  2.74","3.39  ,  -0.74  ,  0.806  ,  -11.12","-1.75  ,  1.09  ,  0.903  ,  -8.83","1.9  ,  -0.13  ,  0.888  ,  -13.8","0.33  ,  0.05  ,  0.992  ,  -32.07","-0.9  ,  0.13  ,  0.792  ,  -13.8","-0.26  ,  0.06  ,  0.96  ,  -31.95","2.79  ,  -0.27  ,  0.242  ,  1.45","1.38  ,  -0.1  ,  0.945  ,  -24.98","-0.63  ,  0.12  ,  0.944  ,  -14.73","-0.62  ,  0.14  ,  0.42  ,  -2.54","-0.15  ,  0.07  ,  0.943  ,  -28.03","1.62  ,  -0.14  ,  0.472  ,  -2.54","2.09  ,  -0.19  ,  0.979  ,  -35.5","-0.26  ,  0.13  ,  0.976  ,  -24.3","1.74  ,  -0.29  ,  0.245  ,  1.4","1.05  ,  -0.11  ,  0.946  ,  -25.21","-0.01  ,  0.11  ,  0.954  ,  -16.88","5.35  ,  -1.09  ,  0.779  ,  3.63","3.88  ,  -0.38  ,  0.939  ,  -5.03","0.1  ,  0.09  ,  0.981  ,  -23.3","0.57  ,  0.04  ,  0.991  ,  -26.47"
