"","group","L~D (Segment)","(Path)","(Subtree)","SA~V (Segment)","(Path)","(Subtree)","D~V(Segment)","(Path)","(Subtree)","L~V (Segment)","(Path)","(Subtree)","D~SA (Segment)","(Path)","(Subtree)","L~SA (Segment)","(Path)","(Subtree)","L~M (Segment)","(Path)","(Subtree)","M~D (Segment)","(Subtree)","M~V(Segment)","(Path)","(Subtree)","D/P Ratio ~ P Diam"
"1","predictions","2/3 - 2","[elastic , flow]","","5/8 - 3/4","","","3/8 - 1/4","","","1/4 - 1/2","","","3/5 - 1/3","","","2/5 - 2/3","","","1/4","","","8/3","","1","","","0 - 1"
"2","all-tree","0.74 [ 0.63 , 0.88 ]; 0.849","0.64 [ 0.51 , 0.81 ]; 0.718","1.6 [ 1.22 , 2.1 ]; 0.613","-","-","0.72 [ 0.67 , 0.78 ]; 0.971","-","-","0.4 [ 0.38 , 0.42 ]; 0.984","0.3 [ 0.25 , 0.35 ]; 0.842","0.26 [ 0.21 , 0.32 ]; 0.772","0.64 [ 0.5 , 0.82 ]; 0.691","-","-","0.56 [ 0.49 , 0.63 ]; 0.921","0.41 [ 0.34 , 0.5 ]; 0.8","0.36 [ 0.3 , 0.43 ]; 0.833","0.89 [ 0.74 , 1.07 ]; 0.823","0.3 [ 0.25 , 0.35 ]; 0.846","0.26 [ 0.21 , 0.32 ]; 0.773","0.64 [ 0.51 , 0.81 ]; 0.71","-","2.5 [ 2.33 , 2.68 ]; 0.975","-","-","1 [ 0.95 , 1.05 ]; 0.987","-"
"3","cherry","1.29 [ 0.35 , 4.77 ]; 0.125","2.8 [ 1.62 , 4.82 ]; 0.903","9.83 [ 2.62 , 36.86 ]; 0.101","-","-","1.28 [ 0.7 , 2.34 ]; 0.879","-","-","0.22 [ 0.09 , 0.57 ]; 0.657","0.29 [ 0.08 , 1 ]; 0.253","0.63 [ 0.35 , 1.13 ]; 0.886","2.21 [ 0.73 , 6.69 ]; 0.458","-","-","0.17 [ 0.06 , 0.56 ]; 0.395","0.23 [ 0.07 , 0.69 ]; 0.442","0.49 [ 0.2 , 1.19 ]; 0.701","1.72 [ 0.8 , 3.7 ]; 0.789","0.29 [ 0.11 , 0.78 ]; 0.603","0.63 [ 0.27 , 1.49 ]; 0.719","2.21 [ 0.84 , 5.84 ]; 0.62","-","4.45 [ 1.6 , 12.37 ]; 0.566","-","-","1 [ 0.36 , 2.79 ]; 0.559","-"
"4","apple","0.8 [ 0.68 , 0.95 ]; 0.892","0.53 [ 0.41 , 0.69 ]; 0.726","1.16 [ 0.92 , 1.48 ]; 0.777","-","-","0.69 [ 0.65 , 0.74 ]; 0.985","-","-","0.4 [ 0.38 , 0.43 ]; 0.99","0.33 [ 0.27 , 0.39 ]; 0.886","0.21 [ 0.17 , 0.27 ]; 0.767","0.47 [ 0.38 , 0.58 ]; 0.833","-","-","0.58 [ 0.53 , 0.65 ]; 0.957","0.47 [ 0.39 , 0.57 ]; 0.863","0.31 [ 0.25 , 0.38 ]; 0.824","0.68 [ 0.58 , 0.79 ]; 0.91","0.32 [ 0.27 , 0.39 ]; 0.876","0.21 [ 0.17 , 0.27 ]; 0.785","0.47 [ 0.38 , 0.57 ]; 0.846","-","2.48 [ 2.31 , 2.67 ]; 0.98","-","-","1 [ 0.98 , 1.03 ]; 0.997","-"
"5","all-branch","0.91 [ 0.85 , 0.97 ]; 0.007","0.97 [ 0.93 , 1.02 ]; 0.546","1.47 [ 1.41 , 1.54 ]; 0.552","0.62 [ 0.61 , 0.63 ]; 0.919","0.66 [ 0.65 , 0.66 ]; 0.978","0.72 [ 0.71 , 0.73 ]; 0.969","0.44 [ 0.43 , 0.45 ]; 0.837","0.4 [ 0.39 , 0.41 ]; 0.927","0.38 [ 0.37 , 0.39 ]; 0.936","0.4 [ 0.38 , 0.42 ]; 0.219","0.39 [ 0.38 , 0.4 ]; 0.724","0.56 [ 0.54 , 0.58 ]; 0.691","0.71 [ 0.68 , 0.74 ]; 0.585","0.61 [ 0.6 , 0.63 ]; 0.855","0.53 [ 0.52 , 0.54 ]; 0.86","0.65 [ 0.61 , 0.68 ]; 0.491","0.59 [ 0.58 , 0.61 ]; 0.839","0.78 [ 0.76 , 0.8 ]; 0.835","0.42 [ 0.4 , 0.45 ]; 0.225","0.39 [ 0.37 , 0.4 ]; 0.728","0.59 [ 0.57 , 0.61 ]; 0.701","2.16 [ 2.09 , 2.22 ]; 0.808","2.5 [ 2.45 , 2.55 ]; 0.925","0.95 [ 0.93 , 0.96 ]; 0.962","0.86 [ 0.85 , 0.88 ]; 0.905","0.95 [ 0.94 , 0.96 ]; 0.978","-0.01 [ -0.01 , -0.01 ]; 0.012"
"6","cherry","0.83 [ 0.76 , 0.91 ]; 0.006","0.99 [ 0.93 , 1.05 ]; 0.605","1.53 [ 1.45 , 1.62 ]; 0.613","0.6 [ 0.59 , 0.62 ]; 0.923","0.66 [ 0.65 , 0.67 ]; 0.981","0.73 [ 0.72 , 0.74 ]; 0.973","0.45 [ 0.43 , 0.46 ]; 0.856","0.4 [ 0.39 , 0.41 ]; 0.931","0.38 [ 0.37 , 0.39 ]; 0.939","0.37 [ 0.34 , 0.4 ]; 0.187","0.39 [ 0.38 , 0.41 ]; 0.763","0.58 [ 0.55 , 0.61 ]; 0.739","0.74 [ 0.7 , 0.78 ]; 0.623","0.61 [ 0.59 , 0.63 ]; 0.868","0.52 [ 0.51 , 0.54 ]; 0.873","0.61 [ 0.57 , 0.66 ]; 0.443","0.6 [ 0.58 , 0.62 ]; 0.864","0.8 [ 0.77 , 0.83 ]; 0.862","0.4 [ 0.37 , 0.43 ]; 0.195","0.39 [ 0.38 , 0.41 ]; 0.763","0.61 [ 0.58 , 0.64 ]; 0.752","2.09 [ 2.01 , 2.17 ]; 0.825","2.49 [ 2.43 , 2.55 ]; 0.926","0.93 [ 0.91 , 0.95 ]; 0.95","0.84 [ 0.81 , 0.86 ]; 0.907","0.94 [ 0.93 , 0.96 ]; 0.974","0.01 [ 0.01 , 0.01 ]; 0"
"7","cherry-1","-0.75 [ -1.18 , -0.48 ]; 0.103","0.99 [ 0.64 , 1.53 ]; 0.168","1.37 [ 0.9 , 2.09 ]; 0.235","0.55 [ 0.46 , 0.65 ]; 0.87","0.65 [ 0.57 , 0.73 ]; 0.937","0.71 [ 0.63 , 0.81 ]; 0.934","0.53 [ 0.44 , 0.63 ]; 0.86","0.47 [ 0.39 , 0.56 ]; 0.862","0.44 [ 0.36 , 0.53 ]; 0.849","0.4 [ 0.25 , 0.64 ]; 0.003","0.47 [ 0.32 , 0.67 ]; 0.437","0.6 [ 0.44 , 0.83 ]; 0.566","0.96 [ 0.69 , 1.34 ]; 0.533","0.73 [ 0.55 , 0.96 ]; 0.668","0.62 [ 0.46 , 0.83 ]; 0.64","0.72 [ 0.47 , 1.12 ]; 0.17","0.72 [ 0.54 , 0.95 ]; 0.673","0.85 [ 0.68 , 1.06 ]; 0.797","0.41 [ 0.26 , 0.66 ]; 0.004","0.45 [ 0.32 , 0.65 ]; 0.443","0.63 [ 0.45 , 0.88 ]; 0.528","1.82 [ 1.48 , 2.24 ]; 0.822","2.18 [ 1.81 , 2.63 ]; 0.854","0.96 [ 0.87 , 1.05 ]; 0.963","0.86 [ 0.75 , 0.98 ]; 0.922","0.96 [ 0.9 , 1.03 ]; 0.983","0.01 [ 0.01 , 0.01 ]; 0.001"
"8","cherry-2","-0.75 [ -0.99 , -0.57 ]; 0.007","1.12 [ 0.94 , 1.34 ]; 0.596","1.66 [ 1.41 , 1.96 ]; 0.659","0.58 [ 0.53 , 0.63 ]; 0.91","0.69 [ 0.66 , 0.71 ]; 0.979","0.76 [ 0.73 , 0.79 ]; 0.979","0.48 [ 0.43 , 0.53 ]; 0.87","0.4 [ 0.37 , 0.43 ]; 0.923","0.37 [ 0.34 , 0.4 ]; 0.923","0.36 [ 0.28 , 0.47 ]; 0.079","0.45 [ 0.4 , 0.51 ]; 0.808","0.61 [ 0.55 , 0.69 ]; 0.847","0.83 [ 0.7 , 0.99 ]; 0.611","0.58 [ 0.52 , 0.65 ]; 0.842","0.49 [ 0.44 , 0.55 ]; 0.846","0.63 [ 0.5 , 0.79 ]; 0.309","0.66 [ 0.6 , 0.71 ]; 0.905","0.81 [ 0.76 , 0.87 ]; 0.933","0.35 [ 0.26 , 0.46 ]; 0.043","0.39 [ 0.34 , 0.45 ]; 0.7","0.59 [ 0.53 , 0.65 ]; 0.841","2.16 [ 1.94 , 2.42 ]; 0.847","2.79 [ 2.55 , 3.06 ]; 0.893","1.04 [ 0.96 , 1.13 ]; 0.923","0.87 [ 0.81 , 0.93 ]; 0.94","1.03 [ 0.99 , 1.08 ]; 0.975","-0.01 [ -0.01 , -0.01 ]; 0.001"
"9","cherry-3","-0.89 [ -1.01 , -0.79 ]; 0.004","1.07 [ 1 , 1.14 ]; 0.712","1.75 [ 1.65 , 1.85 ]; 0.786","0.6 [ 0.58 , 0.63 ]; 0.895","0.67 [ 0.66 , 0.69 ]; 0.984","0.76 [ 0.75 , 0.77 ]; 0.986","0.46 [ 0.44 , 0.49 ]; 0.818","0.4 [ 0.38 , 0.41 ]; 0.921","0.37 [ 0.36 , 0.38 ]; 0.937","0.41 [ 0.37 , 0.46 ]; 0.115","0.42 [ 0.4 , 0.44 ]; 0.851","0.65 [ 0.62 , 0.67 ]; 0.87","0.77 [ 0.71 , 0.84 ]; 0.529","0.59 [ 0.56 , 0.61 ]; 0.867","0.49 [ 0.47 , 0.51 ]; 0.904","0.69 [ 0.63 , 0.76 ]; 0.391","0.62 [ 0.6 , 0.65 ]; 0.923","0.85 [ 0.82 , 0.88 ]; 0.932","0.46 [ 0.41 , 0.51 ]; 0.128","0.42 [ 0.4 , 0.44 ]; 0.856","0.69 [ 0.66 , 0.72 ]; 0.89","1.96 [ 1.85 , 2.08 ]; 0.772","2.53 [ 2.45 , 2.61 ]; 0.926","0.91 [ 0.88 , 0.94 ]; 0.923","0.78 [ 0.74 , 0.81 ]; 0.87","0.93 [ 0.91 , 0.96 ]; 0.964","0.01 [ 0.01 , 0.01 ]; 0.001"
"10","cherry-3+","-0.89 [ -1.01 , -0.79 ]; 0.004","0.84 [ 0.78 , 0.89 ]; 0.717","1.66 [ 1.58 , 1.75 ]; 0.827","0.6 [ 0.58 , 0.63 ]; 0.895","-","0.68 [ 0.66 , 0.69 ]; 0.966","0.46 [ 0.44 , 0.49 ]; 0.818","-","0.4 [ 0.39 , 0.41 ]; 0.943","0.41 [ 0.37 , 0.46 ]; 0.115","0.33 [ 0.32 , 0.35 ]; 0.818","0.66 [ 0.64 , 0.69 ]; 0.909","0.77 [ 0.71 , 0.84 ]; 0.529","-","0.59 [ 0.56 , 0.61 ]; 0.86","0.69 [ 0.63 , 0.76 ]; 0.391","0.49 [ 0.47 , 0.52 ]; 0.822","0.98 [ 0.95 , 1 ]; 0.946","0.52 [ 0.46 , 0.57 ]; 0.181","0.36 [ 0.34 , 0.38 ]; 0.793","0.72 [ 0.69 , 0.74 ]; 0.919","1.73 [ 1.62 , 1.86 ]; 0.66","2.32 [ 2.25 , 2.39 ]; 0.932","0.8 [ 0.77 , 0.84 ]; 0.858","-","0.92 [ 0.9 , 0.94 ]; 0.967","0.01 [ 0.01 , 0.01 ]; 0.001"
