species,tree,branch,date,parent,no_daughters,order,length_cm,path_length,tot_length,diameter_mm,area,path_area,tot_area,volume,path_volume,tot_volume,path_length_plus,tot_length_plus,area_plus,tot_area_plus,volume_plus,tot_volume_plus,no_twigs,tot_no_twigs,no_spurs,no_scars,stem_m,path_stem_m,tot_stem_m,twig_m,tot_twig_m,leaf_m,flower_m,length_ratio,path_ratio,diameter_ratio,mass_ratio,summass_ratio,area_ratio,bearing,opp_length_cm,declination,root_dia
apple,1,18,36,17,2,3,15,76.5,104,30,1413.7,4891.4,5841.7,10602.9,26252.7,28866.1,76.5,104,1413.7,5841.7,10602.9,28866.1,0,8,0,3,51.4,156.8,178.2,0,112.7,,,0.214,0.522,0.833,0.12,0.293,0.494,,,,
apple,1,19,36,18,0,4,27.5,27.5,27.5,11,950.3,950.3,950.3,2613.4,2613.4,2613.4,27.5,27.5,950.3,950.3,2613.4,2613.4,2,2,0,5,21.4,21.4,21.4,15.7,15.7,,,1.833,0.359,0.367,0.416,0.12,NA,,,,
apple,1,20,36,18,0,3,61.5,61.5,61.5,18,3477.7,3477.7,3477.7,15649.8,15649.8,15649.8,61.5,61.5,3477.7,3477.7,15649.8,15649.8,6,6,0,14,105.4,105.4,105.4,97,97,,,4.1,0.804,0.6,2.051,0.591,NA,,,,
apple,1,21,36,1,2,2,50.5,205.5,242.5,36,5711.4,17225.4,19591.1,51402.7,122139.6,134182.1,205.5,242.5,5711.4,19591.1,51402.7,134182.1,0,29,0,4,316,694,767.1,0,245.3,,,0.631,0.534,0.343,0.059,0.057,1.397,,,,
apple,1,22,36,21,0,3,13,13,13,21,857.7,857.7,857.7,4502.7,4502.7,4502.7,13,13,857.7,857.7,4502.7,4502.7,2,2,3,3,27.5,27.5,27.5,22.2,22.2,,,0.257,0.063,0.583,0.087,0.036,NA,,,,
apple,1,23,36,21,2,2,17,155,179,37,1976.1,11514,13022,18278.6,70736.9,78276.7,155,179,1976.1,13022,18278.6,78276.7,1,27,0,7,114.1,378,423.6,6.3,223.1,,,0.337,0.754,1.028,0.361,0.552,0.646,,,,
apple,1,24,36,23,0,3,24,24,24,20,1508,1508,1508,7539.8,7539.8,7539.8,24,24,1508,1508,7539.8,7539.8,3,3,2,4,45.6,45.6,45.6,77.2,77.2,,,1.412,0.155,0.541,0.4,0.108,NA,,,,
apple,1,25,36,23,0,3,138,138,138,22,9537.9,9537.9,9537.9,52458.3,52458.3,52458.3,138,138,9537.9,9537.9,52458.3,52458.3,23,23,2,21,263.9,263.9,263.9,139.6,139.6,,,8.118,0.89,0.595,2.313,0.623,NA,,,,
apple,1,26,36,1,3,1,27,305,1147.4,77,6531.4,40901.4,97383.6,125728.9,520943.9,922375.9,305,1147.4,6531.4,97383.6,125728.9,922375.9,4,149,0,17,786.5,3014.1,4600.1,15.2,1339.2,,,0.338,0.792,0.733,0.146,0.344,0.315,,,,
apple,1,27,36,26,1,2,35,130,130,32,3518.6,7942,7942,28148.7,46585.2,46585.2,130,130,3518.6,7942,28148.7,46585.2,3,16,0,7,156.5,304.4,304.4,30.2,143.3,,,1.296,0.426,0.416,0.199,0.066,0.473,,,,
apple,1,28,36,27,1,3,33,95,95,22,2280.8,4423.4,4423.4,12544.4,18436.5,18436.5,95,95,2280.8,4423.4,12544.4,18436.5,4,13,0,7,87,147.9,147.9,64.5,113.1,,,0.943,0.731,0.688,0.556,0.486,0.25,,,,
apple,1,29,36,28,0,4,62,62,62,11,2142.6,2142.6,2142.6,5892.1,5892.1,5892.1,62,62,2142.6,2142.6,5892.1,5892.1,9,9,1,10,60.9,60.9,60.9,48.6,48.6,,,1.879,0.653,0.5,0.7,0.412,NA,,,,
apple,1,30,36,26,0,2,143,143,143,20,8985,8985,8985,44924.8,44924.8,44924.8,143,143,8985,8985,44924.8,44924.8,25,25,1,22,304.4,304.4,304.4,166.4,166.4,,,5.296,0.469,0.26,0.387,0.066,NA,,,,
apple,1,31,36,26,4,1,66,278,847.4,61,12648.1,34370,73925.2,192882.8,395215,705137,278,847.4,12648.1,73925.2,192882.8,705137,5,104,1,12,1135.4,2227.6,3204.8,158.7,1014.3,,,2.444,0.911,0.273,1.444,0.697,7.418,,,,
apple,1,32,36,31,0,2,73.5,73.5,73.5,17.9,4133.2,4133.2,4133.2,18496.2,18496.2,18496.2,73.5,73.5,4133.2,4133.2,18496.2,18496.2,27,27,2,17,292.5,292.5,292.5,206.9,206.9,,,1.114,0.264,0.852,0.258,0.091,NA,,,,
apple,1,33,36,31,0,2,67.4,67.4,67.4,17.7,3747.9,3747.9,3747.9,16584.3,16584.3,16584.3,67.4,67.4,3747.9,3747.9,16584.3,16584.3,9,9,1,14,95.1,95.1,95.1,67.7,67.7,,,1.021,0.242,0.843,0.084,0.03,NA,,,,
apple,1,34,36,31,0,2,107.5,107.5,107.5,16,5403.5,5403.5,5403.5,21614.2,21614.2,21614.2,107.5,107.5,5403.5,5403.5,21614.2,21614.2,17,17,1,10,134.6,134.6,134.6,61,61,,,1.629,0.387,0.762,0.119,0.042,NA,,,,
apple,1,35,36,31,2,1,41,212,533,48.8,6285.7,21721.9,47992.5,76685.5,202332.2,455559.5,212,533,6285.7,47992.5,76685.5,455559.5,2,46,0,7,384.2,1092.2,1547.2,14.7,520,,,0.621,0.763,2.324,0.338,0.483,0.964,,,,
apple,1,36,36,35,0,2,86,86,86,20.1,5430.6,5430.6,5430.6,27288.5,27288.5,27288.5,86,86,5430.6,5430.6,27288.5,27288.5,11,11,4,13,138.5,138.5,138.5,85.3,85.3,,,2.098,0.406,0.412,0.36,0.09,NA,,,,
apple,1,37,36,35,2,1,35,171,406,43.5,4783.1,15436.2,36276.2,52015.9,125646.7,351585.5,171,406,4783.1,36276.2,52015.9,351585.5,2,33,0,9,273.5,708,1024.5,48.7,420,,,0.854,0.807,0.891,0.712,0.662,2.657,,,,
apple,1,38,36,37,1,2,66,112,112,61.2,12689.5,14784.9,14784.9,194149.7,201745.7,201745.7,112,112,12689.5,14784.9,194149.7,201745.7,4,10,2,35,134,175.5,175.5,92.4,130.3,,,1.886,0.655,1.407,0.49,0.171,0.056,,,,
apple,1,40,36,38,0,3,46,46,46,14.5,2095.4,2095.4,2095.4,7596,7596,7596,46,46,2095.4,2095.4,7596,7596,6,6,3,7,41.5,41.5,41.5,37.9,37.9,,,0.697,0.411,0.237,0.31,0.236,NA,,,,
apple,1,41,36,37,2,1,32,136,259,35.8,3599,10653.1,16708.2,32211.1,73630.8,97823.9,136,259,3599,16708.2,32211.1,97823.9,0,21,0,6,177.8,434.5,575.5,0,241,,,0.914,0.795,0.823,0.65,0.562,0.981,,,,
apple,1,42,36,41,0,2,51,51,51,14.2,2275.1,2275.1,2275.1,8076.8,8076.8,8076.8,51,51,2275.1,2275.1,8076.8,8076.8,1,1,3,14,51.7,51.7,51.7,21.8,21.8,,,1.594,0.375,0.397,0.291,0.09,NA,,,,
apple,1,43,36,41,2,1,10,104,176,32.5,1021,7054.1,10834.1,8295.8,41419.7,57536,104,176,1021,10834.1,8295.8,57536,0,20,0,1,45,256.7,346,0,219.2,,,0.312,0.765,0.908,0.253,0.601,1.091,,,,
apple,1,44,36,43,0,2,50,50,50,18.3,2874.6,2874.6,2874.6,13151.1,13151.1,13151.1,50,50,2874.6,2874.6,13151.1,13151.1,5,5,3,8,67.3,67.3,67.3,48.4,48.4,,,5,0.481,0.563,1.496,0.195,NA,,,,
apple,1,45,36,43,2,1,30,94,116,28.6,2695.5,6033.1,6938.5,19272.7,33123.9,36089.1,94,116,2695.5,6938.5,19272.7,36089.1,3,15,0,6,116.4,211.7,233.7,56.5,170.8,,,3,0.904,0.88,2.587,0.675,0.547,,,,
apple,1,46,36,45,0,2,22,22,22,13.1,905.4,905.4,905.4,2965.2,2965.2,2965.2,22,22,905.4,905.4,2965.2,2965.2,5,5,0,4,22,22,22,26,26,,,0.733,0.234,0.458,0.189,0.094,NA,,,,
apple,1,47,36,45,0,2,64,64,64,16.6,3337.6,3337.6,3337.6,13851.2,13851.2,13851.2,64,64,3337.6,3337.6,13851.2,13851.2,7,7,0,14,95.3,95.3,95.3,88.3,88.3,,,2.133,0.681,0.58,0.819,0.408,NA,,,,
apple,2,1,38,0,4,1,71,268,685,50,11152.7,26502.2,51235.6,139408.2,244572.4,365781.1,268,685,11152.7,51235.6,139408.2,365781.1,0,90,0,3,1113.5,1705.6,2405.1,0,828.2,,,NA,NA,NA,NA,NA,1.316,,,,
apple,2,2,38,1,0,2,26,26,26,18.7,1527.4,1527.4,1527.4,7140.8,7140.8,7140.8,26,26,1527.4,1527.4,7140.8,7140.8,2,2,1,2,43.2,43.2,43.2,30.7,30.7,,,0.366,0.097,0.374,0.039,0.018,NA,,,,
apple,2,3,38,1,0,2,53,53,53,14.9,2480.9,2480.9,2480.9,9241.4,9241.4,9241.4,53,53,2480.9,2480.9,9241.4,9241.4,9,9,1,4,57.8,57.8,57.8,45.2,45.2,,,0.746,0.198,0.298,0.052,0.024,NA,,,,
apple,2,4,38,1,0,2,109,109,109,20.1,6882.9,6882.9,6882.9,34586.6,34586.6,34586.6,109,109,6882.9,6882.9,34586.6,34586.6,15,15,1,19,177.3,177.3,177.3,95.2,95.2,,,1.535,0.407,0.402,0.159,0.074,NA,,,,
apple,2,5,38,1,2,1,12,197,426,48.1,1813.3,15349.5,29191.7,21805.3,105164.2,175404.1,197,426,1813.3,29191.7,21805.3,175404.1,2,64,0,8,136.1,592.1,1013.3,72,657.1,,,0.169,0.735,0.962,0.122,0.421,0.758,,,,
apple,2,6,38,5,2,2,43,132,138,27,3647.4,7729.6,8038.7,24619.9,39519.9,40787.3,132,138,3647.4,8038.7,24619.9,40787.3,7,26,0,5,148.1,272.4,282.5,83.2,194.6,,,3.583,0.67,0.561,1.088,0.279,0.661,,,,
apple,2,7,38,6,0,3,6,6,6,16.4,309.1,309.1,309.1,1267.4,1267.4,1267.4,6,6,309.1,309.1,1267.4,1267.4,2,2,0,2,10.1,10.1,10.1,29.4,29.4,,,0.14,0.045,0.607,0.068,0.036,NA,,,,
apple,2,8,38,6,0,2,89,89,89,14.6,4082.2,4082.2,4082.2,14900,14900,14900,89,89,4082.2,4082.2,14900,14900,17,17,1,12,124.3,124.3,124.3,82,82,,,2.07,0.674,0.541,0.839,0.44,NA,,,,
apple,2,9,38,5,2,1,54,185,276,32,5428.7,13536.2,19339.7,43429.4,83358.9,112811.5,185,276,5428.7,19339.7,43429.4,112811.5,9,36,0,15,263.4,456,594.7,171.3,390.5,,,4.5,0.939,0.665,1.935,0.587,0.781,,,,
apple,2,10,38,9,0,2,131,131,131,19.7,8107.5,8107.5,8107.5,39929.5,39929.5,39929.5,131,131,8107.5,8107.5,39929.5,39929.5,19,19,1,20,192.6,192.6,192.6,128,128,,,2.426,0.708,0.616,0.731,0.324,NA,,,,
apple,2,11,38,9,0,1,91,91,91,20.3,5803.5,5803.5,5803.5,29452.6,29452.6,29452.6,91,91,5803.5,5803.5,29452.6,29452.6,8,8,4,30,138.7,138.7,138.7,91.2,91.2,,,1.685,0.492,0.634,0.527,0.233,NA,,,,
apple,3,1,,0,4,1,74,261.5,846,60,13948.7,29507.4,61391.6,209230.1,328021.6,474444.7,278.5,2381.5,13948.7,61391.6,209230.1,474444.7,1,88,0,5,1196.4,1867.9,2723.9,1.9,587.2,,,NA,NA,NA,NA,NA,0.822,0,,90,
apple,3,2,,1,0,2,112,112,112,21.1,7424.2,7424.2,7424.2,39162.7,39162.7,39162.7,121,238.5,7424.2,8219,39162.7,39560.1,12,12,2,22,189.2,189.2,189.2,65.8,65.8,,,1.514,0.434,0.352,0.158,0.069,NA,80,,10,
apple,3,3,,1,0,2,88,88,88,18.1,5003.9,5003.9,5003.9,22642.8,22642.8,22642.8,88,254,5003.9,6046.9,22642.8,23164.3,10,10,3,13,109,109,109,0,0,,,1.189,0.316,0.302,0.091,0.04,NA,275,,20,
apple,3,4,,1,0,2,108,108,108,22.1,7498.4,7498.4,7498.4,41428.4,41428.4,41428.4,189,409.5,7498.4,9392.8,41428.4,42375.6,10,10,2,19,258.2,258.2,258.2,164.5,164.5,,,1.459,0.679,0.368,0.216,0.095,NA,125,,15,
apple,3,5,,1,2,1,21,187.5,464,41.2,2718.1,15558.7,27516.4,27996.5,118791.5,161980.7,204.5,1405.5,2718.1,27516.4,27996.5,161980.7,0,55,0,1,172.9,671.5,971.1,0,355,,,0.284,0.734,0.687,0.145,0.357,1.025,0,,90,
apple,3,6,,5,0,2,109,109,109,17.2,5889.9,5889.9,5889.9,25326.4,25326.4,25326.4,146,432.5,5889.9,7922.5,25326.4,26342.7,8,8,8,21,160,160,160,89.1,89.1,,,5.19,0.714,0.417,0.925,0.165,NA,345,,5,
apple,3,7,,5,2,1,21.5,166.5,334,38,2566.7,12840.6,18908.4,24383.5,90795,108657.8,183.5,952,2566.7,18908.4,24383.5,108657.8,0,47,0,8,124.2,498.6,638.2,41.1,265.9,,,1.024,0.897,0.922,0.718,0.657,0.853,0,,90,
apple,3,8,,7,0,2,70.5,70.5,70.5,13.5,2990,2990,2990,10091.3,10091.3,10091.3,70.5,270,2990,4243.5,10091.3,10718,17,17,1,7,73.3,73.3,73.3,84,84,,,3.279,0.384,0.355,0.59,0.115,NA,10,,15,
apple,3,9,,7,2,1,22,145,242,32.4,2239.3,10273.9,13351.7,18138.6,66411.5,74183,162,660.5,2239.3,13351.7,18138.6,74183,1,30,0,8,113.5,374.4,440.7,17.6,140.8,,,1.023,0.883,0.853,0.914,0.691,0.887,0,,90,
apple,3,10,,9,0,2,97,97,97,10.1,3077.8,3077.8,3077.8,7771.5,7771.5,7771.5,97,296.5,3077.8,4331.3,7771.5,8398.2,10,10,8,14,66.3,66.3,66.3,29.8,29.8,,,4.409,0.599,0.312,0.584,0.15,NA,130,,20,
apple,3,11,,9,1,1,59,123,123,28.8,5338.2,8034.6,8034.6,38435,48272.9,48272.9,140,342,5338.2,8034.6,38435,48272.9,3,19,3,21,189.5,260.9,260.9,61.3,93.4,,,2.682,0.864,0.889,1.67,0.592,0.547,0,,90,
apple,3,12,,11,1,2,13,64,64,21.3,869.9,2696.4,2696.4,4632.3,9837.9,9837.9,81,283,869.9,2696.4,4632.3,9837.9,0,16,1,3,29.1,71.4,71.4,1.2,32.1,,,0.22,0.579,0.74,0.154,0.274,0.286,240,,0,
apple,3,13,,12,0,3,51,51,51,11.4,1826.5,1826.5,1826.5,5205.6,5205.6,5205.6,68,270,1826.5,3202.5,5205.6,5893.6,16,16,0,3,42.3,42.3,42.3,30.9,30.9,,,3.923,0.84,0.535,1.454,0.592,NA,175,,40,
apple,4,1,,0,6,1,90,384.5,1971,110,31101.8,71839.1,207120.3,855298.6,1448286,2508958.5,425,7121.5,31101.8,207120.3,855298.6,2508958.5,0,272,0,4,6350.5,9894.5,16321.2,0,4459,,,NA,NA,NA,NA,NA,1.197,0,,90,
apple,4,2,,1,2,2,50,215,260,47.6,7477,20902.6,23108,88976.2,175906.9,184508,235.5,1289.5,7477,23108,88976.2,184508,5,35,0,11,629.2,1279.5,1352.6,161,790.3,,,0.556,0.554,0.433,0.099,0.083,0.403,180,,-5,
apple,4,3,,2,0,3,45,45,45,15.6,2205.4,2205.4,2205.4,8601.1,8601.1,8601.1,113,304,2205.4,3832.7,8601.1,9414.8,7,7,1,5,73.1,73.1,73.1,51.5,51.5,,,0.9,0.48,0.328,0.116,0.054,NA,240,,5,
apple,4,4,,2,0,2,165,165,165,25.9,13425.6,13425.6,13425.6,86930.7,86930.7,86930.7,185.5,935.5,13425.6,18266.8,86930.7,89351.3,23,23,6,29,650.3,650.3,650.3,577.8,577.8,,,3.3,0.788,0.544,1.034,0.481,NA,130,,0,
apple,4,5,,1,0,2,214.5,214.5,214.5,30.2,20350.9,20350.9,20350.9,153649.5,153649.5,153649.5,259,850.5,20350.9,24347,153649.5,155647.6,32,32,3,40,815.5,815.5,815.5,323.4,323.4,,,2.383,0.609,0.275,0.128,0.05,NA,40,,0,
apple,4,6,,1,1,2,113,164,164,52.7,18708.5,24348.3,24348.3,246484.5,296114.6,296114.6,302,415,18708.5,24348.3,246484.5,296114.6,19,24,6,23,1161.6,1401,1401,639.5,915,,,1.256,0.711,0.479,0.183,0.086,0.446,350,,0,
apple,4,7,,6,0,3,51,51,51,35.2,5639.8,5639.8,5639.8,49630.1,49630.1,49630.1,189,302,5639.8,7216.9,49630.1,50418.6,5,5,2,10,239.4,239.4,239.4,275.5,275.5,,,0.451,0.626,0.668,0.206,0.171,NA,290,,0,
apple,4,8,,1,1,2,65,201,201,39.2,8004.8,16678.1,16678.1,78446.8,122463.8,122463.8,201,756,8004.8,16678.1,78446.8,122463.8,8,34,2,20,550.7,903,903,150.1,377,,,0.722,0.473,0.356,0.087,0.055,0.268,250,,-5,
apple,4,9,,8,0,3,136,136,136,20.3,8673.3,8673.3,8673.3,44017,44017,44017,136,691,8673.3,12160.5,44017,45760.6,26,26,5,8,352.3,352.3,352.3,226.9,226.9,,,2.092,0.677,0.518,0.64,0.39,NA,220,,20,
apple,4,10,,1,1,2,69,171.5,171.5,36.6,7933.8,14708.5,14708.5,72594.1,110500.6,110500.6,186,537,7933.8,14708.5,72594.1,110500.6,10,25,1,16,485.2,731.3,731.3,174,436.4,,,0.767,0.438,0.333,0.076,0.045,0.65,160,,-5,
apple,4,11,,10,1,2,29,102.5,102.5,29.5,2687.6,6774.7,6774.7,19821.3,37906.5,37906.5,117,468,2687.6,6774.7,19821.3,37906.5,1,15,0,6,113.1,246.1,246.1,86.8,262.4,,,0.42,0.629,0.806,0.233,0.337,0.36,140,,0,
apple,4,12,,11,0,3,73.5,73.5,73.5,17.7,4087.1,4087.1,4087.1,18085.2,18085.2,18085.2,88,439,4087.1,6383.6,18085.2,19233.5,14,14,1,12,133,133,133,175.6,175.6,,,2.534,0.752,0.6,1.176,0.54,NA,210,,20,
apple,4,13,,1,4,1,62,294.5,870,75.2,14647.4,40737.3,76824.7,275370.4,592987.4,786423.4,335,3183.5,14647.4,76824.7,275370.4,786423.4,11,122,3,21,1674.4,3544,4767.3,167.2,1616.9,,,0.689,0.788,0.684,0.264,0.292,0.95,0,,90,
apple,4,14,,13,0,2,31,31,31,21.7,2113.3,2113.3,2113.3,11464.9,11464.9,11464.9,151.5,224.5,2113.3,3329.1,11464.9,12072.8,2,2,4,6,79.6,79.6,79.6,87.1,87.1,,,0.5,0.452,0.289,0.048,0.017,NA,270,,0,
apple,4,15,,13,0,2,97,97,97,16.1,4906.2,4906.2,4906.2,19747.6,19747.6,19747.6,124,414,4906.2,6898,19747.6,20743.5,16,16,2,17,146.6,146.6,146.6,198.7,198.7,,,1.565,0.37,0.214,0.088,0.031,NA,120,,-5,
apple,4,16,,13,0,2,49.5,49.5,49.5,19.8,3079.1,3079.1,3079.1,15241.4,15241.4,15241.4,49.5,206.5,3079.1,4065.6,15241.4,15734.6,4,4,4,7,93.9,93.9,93.9,56.9,56.9,,,0.798,0.148,0.263,0.056,0.02,NA,340,,0,
apple,4,17,,13,2,1,36,232.5,630.5,65.2,7373.9,26089.9,52078.7,120195.3,317617,464599.1,273,2276.5,7373.9,52078.7,120195.3,464599.1,7,89,1,15,713.7,1869.6,2772.8,117.2,1107,,,0.581,0.815,0.867,0.426,0.582,0.991,0,,90,
apple,4,18,,17,0,2,91,91,91,21.3,6089.3,6089.3,6089.3,32425.8,32425.8,32425.8,91,351.5,6089.3,7726.1,32425.8,33244.2,10,10,2,18,178.9,178.9,178.9,131.9,131.9,,,2.528,0.333,0.327,0.251,0.065,NA,310,,10,
apple,4,19,,17,2,1,8,196.5,503.5,61.3,1540.6,18716,38615.5,23610.3,197421.7,311978,237,1889,1540.6,38615.5,23610.3,311978,1,72,0,1,137.4,1155.9,1880.2,135.5,857.9,,,0.222,0.868,0.94,0.193,0.678,0.916,0,,90,
apple,4,20,,19,0,2,96,96,96,21.5,6484.2,6484.2,6484.2,34852.8,34852.8,34852.8,150,466,6484.2,8809,34852.8,36015.2,18,18,3,10,147.8,147.8,147.8,83.4,83.4,,,12,0.633,0.351,1.076,0.079,NA,150,,0,
apple,4,21,,19,2,1,63.5,188.5,399.5,54.6,10892.2,17175.4,30590.7,148678.7,173811.4,253514.9,229,1415,10892.2,30590.7,148678.7,253514.9,8,53,3,17,826.1,1018.5,1595,173,639,,,7.938,0.966,0.891,6.012,0.848,0.774,0,,90,
apple,4,22,,21,0,2,125,125,125,16,6283.2,6283.2,6283.2,25132.7,25132.7,25132.7,165.5,535,6283.2,8859.3,25132.7,26420.8,15,15,9,13,192.4,192.4,192.4,98.1,98.1,,,1.969,0.723,0.293,0.233,0.121,NA,340,,0,
apple,4,23,,21,2,1,8,119,211,45.3,1138.5,6299.5,13415.3,12893.7,31989.4,79703.5,144,816.5,1138.5,13415.3,12893.7,79703.5,0,30,0,1,83.5,221.7,576.5,0,367.9,,,0.126,0.629,0.83,0.101,0.361,0.966,0,,90,
apple,4,24,,23,0,2,111,111,111,14.8,5161,5161,5161,19095.7,19095.7,19095.7,136,377,5161,6832.3,19095.7,19931.4,14,14,8,18,138.2,138.2,138.2,102.9,102.9,,,13.875,0.944,0.327,1.655,0.24,NA,230,,0,
apple,4,25,,23,1,1,14,92,92,42,1847.3,7115.8,7115.8,19396.2,47714.1,47714.1,94,431.5,1847.3,7115.8,19396.2,47714.1,-1,16,4,5,125.4,354.8,354.8,59.9,265,,,1.75,0.653,0.927,1.502,0.615,0.262,0,,90,
apple,4,26,,25,0,2,78,78,78,21.5,5268.5,5268.5,5268.5,28317.9,28317.9,28317.9,80,417.5,5268.5,7401.6,28317.9,29384.5,17,17,1,9,229.4,229.4,229.4,205.1,205.1,,,5.571,0.851,0.512,1.829,0.647,NA,150,,0,
apple,5,1,,0,5,1,85,352,1351,85,22698,50072.6,132140.3,482332.6,731524.7,1344798.1,352,3956.5,22698,132140.3,482332.6,1344798.1,0,154,0,11,3710.8,5208.9,9101.9,0,3152.5,,,NA,NA,NA,NA,NA,1.091,0,,90,
apple,5,2,,1,0,2,153,153,153,29.5,14179.6,14179.6,14179.6,104574.4,104574.4,104574.4,227,587.5,14179.6,16909.6,104574.4,105939.4,20,20,3,30,750.1,750.1,750.1,618,618,,,1.8,0.645,0.347,0.202,0.082,NA,145,,0,
apple,5,3,,1,1,2,97,131,131,44.7,13621.6,16462.9,16462.9,152221.7,171116.1,171116.1,131,256,13621.6,16462.9,152221.7,171116.1,8,11,5,23,764.8,863,863,541.5,724.3,,,1.141,0.372,0.526,0.206,0.095,0.354,295,,10,
apple,5,4,,3,0,3,34,34,34,26.6,2841.3,2841.3,2841.3,18894.4,18894.4,18894.4,34,159,2841.3,3626.7,18894.4,19287.1,3,3,0,6,98.2,98.2,98.2,182.8,182.8,,,0.351,0.26,0.595,0.128,0.114,NA,170,,0,
