species,tree,branch,date,parent,no_daughters,order,length_cm,path_length,tot_length,diameter_mm,area,path_area,tot_area,volume,path_volume,tot_volume,path_length_plus,tot_length_plus,area_plus,tot_area_plus,volume_plus,tot_volume_plus,no_twigs,tot_no_twigs,no_spurs,no_scars,stem_m,path_stem_m,tot_stem_m,twig_m,tot_twig_m,leaf_m,flower_m,length_ratio,path_ratio,diameter_ratio,mass_ratio,summass_ratio,area_ratio,bearing,opp_length_cm,declination,root_dia
apple,1,1,36,0,5,1,80,385,2104.9,105,26389.4,67290.8,197259.7,692721.2,1213665.1,2175104.4,385,2104.9,26389.4,197259.7,692721.2,2175104.4,1,248,0,2,5376.2,8390.3,13373.8,0,2705.8,,,NA,NA,NA,NA,NA,1.161,,,,
apple,1,2,36,1,2,2,19,169,338,51,3044.2,17106.1,27102.6,38813.6,159036.1,209234,169,338,3044.2,27102.6,38813.6,209234,0,34,0,4,218.4,996.7,1339.7,0,425,,,0.238,0.439,0.486,0.041,0.1,0.9,,,,
apple,1,3,36,2,1,3,17,66,66,15,801.1,2802.3,2802.3,3004.1,9508,9508,66,66,801.1,2802.3,3004.1,9508,4,10,1,2,22.7,69.6,69.6,45.7,72.1,,,0.895,0.391,0.294,0.104,0.052,0.751,,,,
apple,1,4,36,2,1,2,20,150,253,46,2890.3,14061.9,21256.1,33238.1,120222.5,160912.4,150,253,2890.3,21256.1,33238.1,160912.4,0,24,0,2,213.7,778.3,1051.7,0,352.9,,,1.053,0.888,0.902,0.978,0.785,1.089,,,,
apple,1,5,36,3,0,3,49,49,49,13,2001.2,2001.2,2001.2,6503.9,6503.9,6503.9,49,49,2001.2,2001.2,6503.9,6503.9,6,6,1,8,46.9,46.9,46.9,26.4,26.4,,,2.882,0.742,0.867,2.066,0.674,NA,,,,
apple,1,6,36,4,2,2,9,130,233,48,1357.2,11171.6,18365.8,16286,86984.4,127674.3,130,233,1357.2,18365.8,16286,127674.3,0,24,0,0,89.4,564.6,838,0,352.9,,,0.45,0.867,1.043,0.418,0.797,0.944,,,,
apple,1,7,36,6,0,3,39,39,39,24,2940.5,2940.5,2940.5,17643.2,17643.2,17643.2,39,39,2940.5,2940.5,17643.2,17643.2,4,4,4,9,124.9,124.9,124.9,54.9,54.9,,,4.333,0.3,0.5,1.397,0.149,NA,,,,
apple,1,8,36,6,3,2,20,121,185,40,2513.3,9814.4,14068.1,25132.7,70698.4,93745.1,121,185,2513.3,14068.1,25132.7,93745.1,0,20,1,5,161.1,475.2,623.7,0.1,298,,,2.222,0.931,0.833,1.802,0.744,1.072,,,,
apple,1,9,36,8,0,3,15,15,15,26,1225.2,1225.2,1225.2,7963.9,7963.9,7963.9,15,15,1225.2,1225.2,7963.9,7963.9,3,3,0,4,53,53,53,122.8,122.8,,,0.75,0.124,0.65,0.329,0.085,NA,,,,
apple,1,10,36,8,0,3,13,13,13,16,653.5,653.5,653.5,2613.8,2613.8,2613.8,13,13,653.5,653.5,2613.8,2613.8,1,1,1,1,16.8,16.8,16.8,8.9,8.9,,,0.65,0.107,0.4,0.104,0.027,NA,,,,
apple,1,11,36,8,2,2,65,101,137,28,5717.7,7301.1,9676.1,40023.9,45565.7,58034.7,101,137,5717.7,9676.1,40023.9,58034.7,6,16,3,13,277,314.1,392.8,166.2,166.2,,,3.25,0.835,0.7,1.719,0.63,0.812,,,,
apple,1,12,36,11,0,3,36,36,36,14,1583.4,1583.4,1583.4,5541.8,5541.8,5541.8,36,36,1583.4,1583.4,5541.8,5541.8,7,7,3,2,37.1,37.1,37.1,0,0,,,0.554,0.356,0.5,0.134,0.094,NA,,,,
apple,1,13,36,11,0,2,36,36,36,21,2375,2375,2375,12469,12469,12469,36,36,2375,2375,12469,12469,3,3,1,11,78.7,78.7,78.7,0,0,,,0.554,0.356,0.75,0.284,0.2,NA,,,,
apple,1,14,36,1,0,2,80,80,80,36,9047.8,9047.8,9047.8,81430.1,81430.1,81430.1,80,80,9047.8,9047.8,81430.1,81430.1,13,13,2,17,478.7,478.7,478.7,432.3,432.3,,,1,0.208,0.343,0.089,0.036,NA,,,,
apple,1,15,36,1,2,2,24,170.5,217,41,3091.3,15899.5,17745.2,31686.1,129190.1,135161.1,170.5,217,3091.3,17745.2,31686.1,135161.1,0,22,0,2,183,768.9,812,0,264,,,0.3,0.443,0.39,0.034,0.061,0.905,,,,
apple,1,16,36,15,0,3,19,19,19,15,895.4,895.4,895.4,3357.6,3357.6,3357.6,19,19,895.4,895.4,3357.6,3357.6,3,3,1,5,21.7,21.7,21.7,22.7,22.7,,,0.792,0.111,0.366,0.119,0.027,NA,,,,
apple,1,17,36,15,1,2,70,146.5,174,36,7916.8,12808.2,13758.5,71251.3,97504,100117.4,146.5,174,7916.8,13758.5,71251.3,100117.4,11,19,3,22,429.1,585.9,607.3,128.6,241.3,,,2.917,0.859,0.878,2.345,0.748,0.694,,,,
