"[0, 0]","[0, 93]","[0, 0]",180
"[0, -21.217622392718749]","[93, 105.25]","[0, -21.217622392718745]",107.0
"[0, 1.3777276490407724e-15]","[93, 115.5]","[0, 22.5]",178.0
"[1.3777276490407724e-15, -21.449244407331388]","[115.5, 133.4980530712231]","[22.5, 17.637851025325951]",125.0
"[-21.449244407331388, -109.09851314625351]","[133.4980530712231, 194.87073176078502]","[17.637851025325951, 123.01228059763221]",60.299999999999997
"[-21.449244407331388, -34.125561377017306]","[133.4980530712231, 205.3890190411143]","[17.637851025325951, -29.285644481791437]",92.0
"[-34.125561377017306, -82.209740585209715]","[205.3890190411143, 237.82220744241761]","[-29.285644481791437, -19.214050177109499]",23.899999999999999
"[-82.209740585209715, -107.20974058520972]","[237.82220744241761, 237.82220744241761]","[-19.214050177109499, -36.891719706773188]",5.5
"[-82.209740585209715, -105.42279261675088]","[237.82220744241761, 253.47960873959852]","[-19.214050177109499, -19.214050177109502]",12.0
"[-105.42279261675088, -146.42279261675088]","[253.47960873959852, 253.47960873959852]","[-19.214050177109502, 16.292991378052474]",6.4000000000000004
"[-146.42279261675088, -136.42279261675088]","[253.47960873959852, 253.47960873959852]","[16.292991378052474, 26.25493835896993]",2.6000000000000001
"[-146.42279261675088, -162.42279261675088]","[253.47960873959852, 253.47960873959852]","[16.292991378052474, 30.149397838603488]",2.0
"[-107.20974058520972, -127.20974058520972]","[237.82220744241761, 237.82220744241761]","[-36.891719706773188, -51.033855330504139]",6.7000000000000002
"[-21.217622392718749, -71.217622392718752]","[105.25, 105.25]","[-21.217622392718745, -71.217622392718738]",37.0
"[-71.217622392718752, -92.717622392718752]","[105.25, 105.25]","[-71.217622392718738, -71.217622392718738]",11.4
"[-105.42279261675088, -77.445538004299934]","[253.47960873959852, 230.82407466180436]","[-19.214050177109502, -1.2140501771094989]",2.8999999999999999
"[-105.42279261675088, -78.022340346684288]","[253.47960873959852, 294.10244979479558]","[-19.214050177109502, 5.2859498228905046]",4.7999999999999998
