"","Relationship","Apple - Segment - Elastic","Between","Flow","Subtree - Elastic","Between","Flow","Cherry - Segment - Elastic","Between","Flow","Subtree - Elastic","Between","Flow"
"1","L~D","26","5","47","0","79","100","80","0","0","0","100","40"
"2","SA~V","95","58","84","0","0","53","80","0","0","0","40","100"
"3","D~V","53","5","11","95","47","11","0","0","0","100","20","0"
"4","L~V","11","21","74","0","0","5","20","100","40","0","0","20"
"5","D~SA","79","11","11","37","95","11","0","0","0","20","80","0"
"6","L~SA","0","5","47","0","0","0","0","40","100","0","0","0"
"7","L~M","5","0","5","0","0","0","0","0","0","0","0","0"
"8","M~D","42","0","47","100","11","100","0","0","0","60","20","80"
"9","M~V","89","0","89","84","0","84","80","0","80","80","0","80"
