tree,location,no_fruits,yield,avg_fruit_wgt
1,9.17,291,63.39,218
2,9.23,113,23.25,206
3,6.07,94,16.88,180
4,6.23,200,44.95,225
5,4.07,212,46.45,219
6,8.19,108,25.35,235
7,9.08,112,21.08,188
8,5.19,71,17.75,250
9,3.09,299,63.33,212
10,5.06,163,40.24,247
11,5.03,48,10.5,219
12,3.08,80,15.55,194
13,7.02,56,13.23,236
14,4.02,33,8.09,245
15,3.15,17,4.28,252
17,6.11,17,3.85,226
18,7.11,1,0.1,1
19,7.1,32,9.32,291
20,6.05,52,14.62,281
