"","group","L~D (Segment)","(Path)","(Subtree)","SA~V (Segment)","(Path)","(Subtree)","D~V(Segment)","(Path)","(Subtree)","L~V (Segment)","(Path)","(Subtree)","D~SA (Segment)","(Path)","(Subtree)","L~SA (Segment)","(Path)","(Subtree)","L~M (Segment)","(Path)","(Subtree)","M~D (Segment)","(Subtree)","M~V(Segment)","(Path)","(Subtree)","D/P Ratio ~ P Diam"
"1","tree-level","X","-","-","_","_","X","_","_","X","X","-","-","_","_","-","X","X","-","X","-","-","_","X","_","_","X","_"
"2","branch-level","-","-","X","-","-","-","X","X","X","-","-","-","X","X","-","-","-","X","-","-","X","X","-","-","X","-","-"
