species,tree,branch,date,parent,order,bearing,opp_length_cm,declination,length_cm,diameter_mm,root_dia,no_twigs,no_spurs,no_scars,stem_m,tot_stem_mO,tot_stem_m,twig_m,leaf_m,flower_m,length_ratio,diameter_ratio,mass_ratio
apple,3,2,,1,2,80,,10,112,21.1,,12,2,22,189.2,,189.2,65.8,,,1.514,0.352,0.158
apple,3,3,,1,2,275,,20,88,18.1,,10,3,13,109,,109,,,,1.189,0.302,0.091
apple,3,4,,1,2,125,,15,108,22.1,,10,2,19,258.2,,258.2,164.5,,,1.459,0.368,0.216
apple,3,5,,1,1,0,,90,21,41.2,,0,0,1,172.9,,691.6,,,,0.284,0.687,0.145
apple,3,6,,5,2,345,,5,109,17.2,,8,8,21,160,,160,89.1,,,5.19,0.417,0.925
apple,3,7,,5,1,0,,90,21.5,38,,0,0,8,124.2,,372.6,41.1,,,1.024,0.922,0.718
apple,3,8,,7,2,10,,15,70.5,13.5,,17,1,7,73.3,,73.3,84,,,3.279,0.355,0.59
apple,3,9,,7,1,0,,90,22,32.4,,1,0,8,113.5,,227,17.6,,,1.023,0.853,0.914
apple,3,10,,9,2,130,,20,97,10.1,,10,8,14,66.3,,66.3,29.8,,,4.409,0.312,0.584
apple,3,11,,9,1,0,,90,59,28.8,,3,3,21,189.5,,189.5,61.3,,,2.682,0.889,1.67
apple,3,12,,11,2,240,,0,13,21.3,,0,1,3,29.1,,29.1,1.2,,,0.22,0.74,0.154
apple,3,13,,12,3,175,,40,51,11.4,,16,0,3,42.3,,42.3,30.9,,,3.923,0.535,1.454
apple,4,1,,0,1,0,,90,90,110,,0,0,4,6350.5,,88907,,,,NA,NA,NA
apple,4,2,,1,2,180,,-5,50,47.6,,5,0,11,629.2,,1258.4,161,,,0.556,0.433,0.099
apple,4,3,,2,3,240,,5,45,15.6,,7,1,5,73.1,,73.1,51.5,,,0.9,0.328,0.116
apple,4,4,,2,2,130,,0,165,25.9,,23,6,29,650.3,,650.3,577.8,,,3.3,0.544,1.034
apple,4,5,,1,2,40,,0,214.5,30.2,,32,3,40,815.5,,815.5,323.4,,,2.383,0.275,0.128
apple,4,6,,1,2,350,,0,113,52.7,,19,6,23,1161.6,,1161.6,639.5,,,1.256,0.479,0.183
apple,4,7,,6,3,290,,0,51,35.2,,5,2,10,239.4,,239.4,275.5,,,0.451,0.668,0.206
apple,4,8,,1,2,250,,-5,65,39.2,,8,2,20,550.7,,550.7,150.1,,,0.722,0.356,0.087
