species,tree,branch,date,parent,order,bearing,opp_length_cm,declination,length_cm,diameter_mm,root_dia,no_twigs,no_spurs,no_scars,stem_m,tot_stem_mO,tot_stem_m,twig_m,leaf_m,flower_m,length_ratio,diameter_ratio,mass_ratio
apple,14,19,,18,2,210,,20,103,37.6,,10,15,16,883.8,,883.8,1154.6,,,0.792,0.539,0.317
apple,14,20,,1,1,0,,90,63,159,,6,10,21,7832.5,,78325,157.5,,,0.863,0.817,0.539
apple,14,21,,20,2,0,,5,130,29.7,,16,0,19,625.8,,625.8,451.5,,,2.063,0.187,0.08
apple,14,22,,20,1,0,,90,39,161,,6,10,12,4522.4,,40701.6,526.6,,,0.619,1.013,0.577
apple,14,23,,22,2,140,,0,184,47.4,,19,10,20,1793.4,,1793.4,1663.6,,,4.718,0.294,0.397
apple,14,24,,22,2,70,,25,200,49.5,,20,13,36,2309.6,,2309.6,1740.1,,,5.128,0.307,0.511
apple,14,25,,22,2,330,,0,175,48.6,,26,6,26,1926.5,,1926.5,1665.8,,,4.487,0.302,0.426
apple,14,26,,22,1,0,,90,55,139,,6,8,16,4751.1,,28506.6,131.3,,,1.41,0.863,1.051
apple,14,27,,26,2,240,,0,115,26.3,,20,0,14,801.6,,801.6,745.5,,,2.091,0.189,0.169
apple,14,28,,26,1,0,,90,12.5,130,,0,1,3,969.3,,4846.5,,,,0.227,0.935,0.204
apple,14,29,,28,2,180,,5,137,23.4,,23,7,16,1813.3,,1813.3,1785.5,,,10.96,0.18,1.871
apple,14,30,,28,1,0,,90,18,120,,2,0,2,1234.8,,4939.2,1505,,,1.44,0.923,1.274
apple,14,31,,30,2,10,,10,100,34.6,,13,3,13,688.7,,688.7,788.8,,,5.556,0.288,0.558
apple,14,32,,30,1,0,,90,15,115,,0,2,4,895.4,,2686.2,2.1,,,0.833,0.958,0.725
apple,14,33,,32,2,220,,20,110,33.5,,16,5,20,698.7,,698.7,1054.2,,,7.333,0.291,0.78
apple,14,34,,32,1,0,,90,39,103,,5,4,15,1918.8,,3837.6,371,,,2.6,0.896,2.143
apple,14,35,,34,2,340,,15,98.5,30.3,,11,10,19,679.9,,679.9,753.7,,,2.526,0.294,0.354
apple,14,36,,34,1,0,,90,23,90,,6,12,18,1000.5,,1000.5,1079.9,,,0.59,0.874,0.521
apple,14,37,,36,2,230,,70,62,43.8,,6,12,3,680.8,,680.8,1259.8,,,2.696,0.487,0.68
apple,15,1,,0,1,0,,90,85,186,,3,7,20,15214.1,,228211.5,37.5,,,NA,NA,NA
apple,15,2,,1,2,20,,10,43,83.7,,8,4,12,1578.7,,4736.1,236.8,,,0.506,0.45,0.104
apple,15,3,,2,3,90,,0,106,37.6,,10,4,14,677.6,,677.6,573,,,2.465,0.449,0.429
apple,15,4,,2,2,10,,15,145,56.2,,32,15,15,2887,,2887,1834.6,,,3.372,0.671,1.829
apple,15,5,,2,2,350,,0,56,43,,9,1,4,501.1,,501.1,862.2,,,1.302,0.514,0.317
apple,15,6,,1,2,150,,25,36,90.2,,2,2,8,1794.6,,3589.2,1293.6,,,0.424,0.485,0.118
apple,15,7,,6,3,90,,10,58,42.6,,7,4,11,549.5,,549.5,933.2,,,1.611,0.472,0.306
apple,15,8,,6,2,150,,45,32,80.1,,7,3,15,1114.7,,1114.7,186.5,,,0.889,0.888,0.621
apple,15,9,,8,2,100,,45,128.5,58.6,,17,10,15,2078.1,,2078.1,1837,,,4.016,0.732,1.864
apple,15,10,,9,2,90,,15,59.5,27.1,,8,8,6,358.1,,358.1,536.9,,,0.463,0.462,0.172
apple,15,11,,1,2,220,,20,137,64.4,,17,24,42,3023.7,,3023.7,2232,,,1.612,0.346,0.199
apple,15,12,,1,2,300,,25,153,62.1,,23,6,41,3259.9,,6519.8,1472.1,,,1.8,0.334,0.214
apple,15,13,,12,3,40,,35,53,29.9,,5,3,9,205.8,,205.8,290.9,,,0.346,0.481,0.063
apple,15,14,,12,3,300,,10,91,28.2,,9,11,11,413.7,,413.7,427.8,,,0.595,0.454,0.127
apple,15,15,,1,1,0,,90,88,132,,24,22,37,8221.6,,57551.2,1293.6,,,1.035,0.71,0.54
apple,15,16,,15,2,190,,30,94,32.1,,18,0,7,490.9,,490.9,569.4,,,1.068,0.243,0.06
apple,15,17,,15,1,0,,90,40,113,,3,1,14,2537.1,,15222.6,548.5,,,0.455,0.856,0.309
apple,15,18,,17,2,300,,25,85.5,40.6,,20,0,13,742.9,,742.9,1123.7,,,2.138,0.359,0.293
apple,15,19,,17,2,20,,25,134,45.5,,24,2,15,1453,,1453,1211.4,,,3.35,0.403,0.573
apple,15,20,,17,1,2,,90,30,101,,1,2,7,1305.9,,5223.6,569.9,,,0.75,0.894,0.515
apple,15,21,,20,2,150,,25,101,37.2,,17,9,8,753.9,,753.9,753.7,,,3.367,0.368,0.577
apple,15,22,,20,1,0,,90,65,77,,13,8,16,2066.7,,6200.1,951.2,,,2.167,0.762,1.583
apple,15,23,,22,2,120,,0,33,25.9,,4,7,6,136.4,,136.4,541.5,,,0.508,0.336,0.066
apple,15,24,,22,2,270,,0,140,23.5,,8,21,12,392.3,,392.3,153.5,,,2.154,0.305,0.19
apple,15,25,,22,1,0,,90,37.5,64.6,,6,25,35,938.3,,938.3,952.2,,,0.577,0.839,0.454
apple,17,1,127,0,1,,,,91,173,,5,2,18,13330.1,,213281.6,76.8,,,NA,NA,NA
apple,17,2,127,1,2,,,,30,85,,2,1,15,1066,,3198,174.3,,,0.33,0.491,0.08
apple,17,3,127,2,3,,,,124,27.9,,11,6,15,499.2,,499.2,358.6,,,4.133,0.328,0.468
apple,17,4,127,2,2,,,,24.5,84,,6,3,15,1077.2,,2154.4,146.3,,,0.817,0.988,1.011
apple,17,5,127,4,3,,,,100,29.9,,12,5,12,435.2,,435.2,462.1,,,4.082,0.356,0.404
apple,17,6,127,4,2,,,,117.5,51.3,,18,5,24,1673.1,,1673.1,2231,,,4.796,0.611,1.553
apple,17,7,127,1,2,,,,118.5,54.4,,17,13,26,2158.6,,2158.6,2224.4,,,1.302,0.314,0.162
apple,17,8,127,1,2,,,,56,81.8,,7,8,23,2296.4,,6889.2,391,,,0.615,0.473,0.172
apple,17,9,127,8,3,,,,126,33.5,,11,11,11,761.9,,761.9,511.7,,,2.25,0.41,0.332
apple,17,10,127,8,3,,,,154,30.9,,15,6,6,639,,639,397.6,,,2.75,0.378,0.278
apple,17,11,127,8,2,,,,57.5,60.2,,11,5,11,1015.5,,1015.5,2480.3,,,1.027,0.736,0.442
apple,17,12,127,1,1,,,,91,120,,8,14,36,6934.7,,62412.3,302.9,,,1,0.694,0.52
apple,17,13,127,12,2,,,,162,35.2,,29,2,13,1006.1,,1006.1,716.1,,,1.78,0.293,0.145
apple,17,14,127,12,2,,,,180,29.8,,39,3,11,868,,868,480.1,,,1.978,0.248,0.125
apple,17,15,127,12,1,,,,52,100,,11,6,13,2813.7,,19695.9,463.4,,,0.571,0.833,0.406
apple,17,16,127,15,2,,,,160,31.4,,29,5,14,714.2,,714.2,514.9,,,3.077,0.314,0.254
apple,17,17,127,15,2,,,,110,34.4,,18,5,7,566.3,,566.3,530.6,,,2.115,0.344,0.201
apple,17,18,127,15,1,,,,51,85,,4,5,12,1755.5,,8777.5,549.2,,,0.981,0.85,0.624
apple,17,19,127,18,2,,,,134,24.4,,19,3,15,440.9,,440.9,398.6,,,2.627,0.287,0.251
apple,17,20,127,18,2,,,,115,31.6,,16,8,4,615.2,,615.2,449.5,,,2.255,0.372,0.35
apple,17,21,127,18,1,,,,26,68.8,,3,1,10,636.7,,1910.1,288.5,,,0.51,0.809,0.363
apple,17,22,127,21,2,,,,42,25.3,,4,4,2,124.7,,124.7,213.8,,,1.615,0.368,0.196
apple,17,23,127,21,2,,,,62,27.7,,10,5,1,273.6,,273.6,412.7,,,2.385,0.403,0.43
apple,17,24,127,21,1,,,,57,48.5,,3,10,23,830.9,,830.9,1233.5,,,2.192,0.705,1.305
apple,18,1,134,0,1,,,,87,188,,4,4,25,11793.4,,141520.8,31.3,,,NA,NA,NA
apple,18,2,134,1,2,,,,105,70.5,,10,9,26,2201,,2201,1829.8,,,1.207,0.375,0.187
apple,18,3,134,1,2,,,,75,61.1,,10,2,11,1271.8,,1271.8,,,,0.862,0.325,0.108
apple,18,4,134,3,2,,,,107,49.8,,12,4,18,1035.9,,1035.9,2048.1,,,1.427,0.815,0.815
apple,18,5,134,1,2,,,,73,74.3,,16,3,12,2124,,6372,499.1,,,0.839,0.395,0.18
apple,18,6,134,5,3,,,,63.5,30.5,,9,1,5,297.7,,297.7,347.9,,,0.87,0.41,0.14
apple,18,7,134,5,2,,,,30.5,67.3,,5,0,2,579.9,,1159.8,324.6,,,0.418,0.906,0.273
apple,18,8,134,7,3,,,,115,29.8,,21,0,4,523.7,,523.7,412.3,,,3.77,0.443,0.903
apple,18,9,134,7,2,,,,97.5,38.8,,14,4,12,955.4,,955.4,1836.4,,,3.197,0.577,1.648
apple,18,10,134,1,2,,,,96,64.7,,12,7,22,2131.8,,2131.8,1883.5,,,1.103,0.344,0.181
apple,18,11,134,10,2,,,,91,36.7,,13,5,16,764.3,,764.3,840.9,,,0.948,0.567,0.359
apple,18,12,134,1,1,,,,44,135,,3,3,20,3756.7,,22540.2,334.4,,,0.506,0.718,0.319
apple,18,13,134,12,2,,,,135,36,,16,14,20,706.9,,706.9,531.6,,,3.068,0.267,0.188
apple,18,14,134,12,1,,,,25,116,,5,0,1,1459.4,,7297,26.8,,,0.568,0.859,0.388
apple,18,15,134,14,2,,,,77,36.1,,13,7,4,526.8,,526.8,861,,,3.08,0.311,0.361
apple,18,16,134,14,1,,,,71,113,,3,1,26,3601.4,,14405.6,672.1,,,2.84,0.974,2.468
apple,18,17,134,16,2,,,,82,42.6,,12,5,12,719.1,,719.1,836.1,,,1.155,0.377,0.2
apple,18,18,134,16,2,,,,137,37.8,,23,0,11,817.4,,817.4,1146.6,,,1.93,0.335,0.227
apple,18,19,134,16,2,,,,56,38.6,,8,0,12,511.4,,511.4,1063.9,,,0.789,0.342,0.142
apple,18,20,134,16,1,,,,58,86,,9,18,27,2148.7,,2148.7,2061.6,,,0.817,0.761,0.597
apple,18,21,134,20,2,,,,32,53.7,,5,8,8,579.7,,579.7,1116.2,,,0.552,0.624,0.27
apple,19,1,133,0,1,,,,87,185,,2,8,32,13607.8,,149685.8,103.8,,,NA,NA,NA
apple,19,2,133,1,2,,,,60,62,,7,3,3,953.4,,1906.8,1152.5,,,0.69,0.335,0.07
apple,19,3,133,2,3,,,,53,28,,3,7,1,217.4,,217.4,774.1,,,0.883,0.452,0.228
apple,19,4,133,2,3,,,,93,37.3,,15,4,3,713.4,,713.4,871.1,,,1.55,0.602,0.748
apple,19,5,133,1,2,,,,165,32.4,,27,5,13,684.2,,684.2,642.4,,,1.897,0.175,0.05
apple,19,6,133,1,2,,,,115,66.3,,23,4,26,2398.4,,2398.4,1453,,,1.322,0.358,0.176
apple,19,7,133,6,2,,,,38,52.9,,6,3,13,697.3,,697.3,1059.8,,,0.33,0.798,0.291
apple,19,8,133,1,2,,,,112,89,,14,17,27,4039.6,,4039.6,2125.1,,,1.287,0.481,0.297
apple,19,9,133,8,3,,,,134,39,,19,7,12,849.5,,849.5,1090.6,,,1.196,0.438,0.21
apple,19,10,133,1,1,,,,89,140,,8,8,39,7884.2,,47305.2,1609.4,,,1.023,0.757,0.579
apple,19,11,133,10,2,,,,142,41,,9,11,5,981.5,,981.5,708.5,,,1.596,0.293,0.124
apple,19,12,133,10,1,,,,35,135,,3,5,11,2433.1,,12165.5,71.4,,,0.393,0.964,0.309
apple,19,13,133,12,2,,,,80,41.8,,9,5,10,591.8,,591.8,862.5,,,2.286,0.31,0.243
apple,19,14,133,12,1,,,,20,110,,5,1,5,1236.8,,4947.2,68.6,,,0.571,0.815,0.508
apple,19,15,133,14,2,,,,52.5,35.3,,8,4,4,322.7,,322.7,910.8,,,2.625,0.321,0.261
apple,19,16,133,14,2,,,,123,27.8,,11,13,10,610.5,,610.5,546.8,,,6.15,0.253,0.494
apple,19,17,133,14,1,,,,27.5,104,,2,7,5,1346.8,,2693.6,283.7,,,1.375,0.945,1.089
apple,19,18,133,17,2,,,,179,44.2,,28,5,22,1837.9,,1837.9,1474.5,,,6.509,0.425,1.365
apple,19,19,133,17,1,,,,47,81.7,,7,14,23,2027.5,,2027.5,1564.6,,,1.709,0.786,1.505
apple,19,20,133,19,1,,,,59,47.6,,6,8,8,548.8,,548.8,1042.5,,,1.255,0.583,0.271
apple,20,1,122,0,1,,,,85,182,,4,2,5,12925.5,,180957,22.4,,,NA,NA,NA
apple,20,2,122,1,2,,,,43,93,,5,1,3,1782.1,,3564.2,70.2,,,0.506,0.511,0.138
apple,20,3,122,2,3,,,,108,43.1,,11,7,13,838.4,,838.4,661.8,,,2.512,0.463,0.47
apple,20,4,122,2,2,,,,57,81.5,,6,2,15,1734.4,,1734.4,1148.1,,,1.326,0.876,0.973
apple,20,5,122,4,2,,,,96,55.8,,15,3,10,1543.5,,1543.5,1147.3,,,1.684,0.685,0.89
apple,20,6,122,5,2,,,,136,32.4,,17,3,22,837.4,,837.4,720,,,1.417,0.581,0.543
apple,20,7,122,1,2,,,,117,47.3,,19,0,18,1360.4,,1360.4,1285.3,,,1.376,0.26,0.105
apple,20,8,122,1,2,,,,89,82,,12,7,20,2806.9,,2806.9,1085.7,,,1.047,0.451,0.217
apple,20,9,122,8,2,,,,146,49.6,,15,13,15,2085.6,,2085.6,1744.8,,,1.64,0.605,0.743
apple,20,10,122,1,2,,,,101,75,,17,12,32,3297.4,,3297.4,2133.9,,,1.188,0.412,0.255
apple,20,11,122,10,3,,,,27,56,,4,4,4,455.8,,455.8,1942.9,,,0.267,0.747,0.138
apple,20,12,122,1,1,,,,64,141,,1,11,20,6173,,55557,46.1,,,0.753,0.775,0.478
apple,20,13,122,12,2,,,,102,47.8,,17,6,12,1119.4,,1119.4,967.5,,,1.594,0.339,0.181
apple,20,14,122,12,2,,,,142,30.5,,22,6,10,615.9,,615.9,323.3,,,2.219,0.216,0.1
apple,20,15,122,12,1,,,,12.5,137,,0,0,7,1055,,7385,0,,,0.195,0.972,0.171
apple,20,16,122,15,2,,,,145,50.6,,20,4,17,1397.6,,1397.6,1375.3,,,11.6,0.369,1.325
apple,20,17,122,15,1,,,,23,129,,1,2,9,1901.9,,11411.4,71.2,,,1.84,0.942,1.803
apple,20,18,122,17,2,,,,170,52.9,,24,11,22,1741.2,,1741.2,1256.7,,,7.391,0.41,0.916
apple,20,19,122,17,2,,,,102,36.3,,11,6,8,707.9,,707.9,688.8,,,4.435,0.281,0.372
apple,20,20,122,17,1,,,,69,106,,6,6,18,3925.8,,15703.2,851,,,3,0.822,2.064
apple,20,21,122,20,2,,,,166,34.7,,22,2,11,802.9,,802.9,565.5,,,2.406,0.327,0.205
apple,20,22,122,20,1,,,,38,92,,2,0,10,1425.8,,4277.4,174,,,0.551,0.868,0.363
apple,20,23,122,22,2,,,,96,384,,14,4,7,624.7,,624.7,662.6,,,2.526,4.174,0.438
apple,20,24,122,22,2,,,,114,36,,15,5,13,789.6,,789.6,696.8,,,3,0.391,0.554
apple,20,25,122,22,1,,,,31.5,82,,2,9,15,989.1,,989.1,323.9,,,0.829,0.891,0.694
apple,20,26,122,25,2,,,,78,39.9,,6,12,14,844.2,,844.2,908.6,,,2.476,0.487,0.854
cherry,1,0,76,,0,,,,,,,17,,,0,0,,183.5,,,NA,NA,NA
cherry,1,1,76,0,1,,,,,186,194,0,0,5,10886.2,0,337472.2,0,,,NA,NA,NA
cherry,1,2,76,1,2,220,,,56.5,99,,0,0,7,2281.3,31938.2,31938.2,0,,,NA,0.532,0.21
cherry,1,3,76,2,3,,,,119.5,49.8,,3,0,24,1533.6,4600.8,4600.8,42.2,,,2.115,0.503,0.672
cherry,1,4,76,3,4,,,,94.5,20.1,,7,2,15,210.9,210.9,210.9,54.7,,,0.791,0.404,0.138
cherry,1,5,76,4,5,,,,66,8.3,,5,3,0,26.8,26.8,26.8,64.3,,,0.698,0.413,0.127
cherry,1,6,76,3,4,,,,71,36.1,,14,0,8,521.7,1043.4,1043.4,306.4,,,0.594,0.725,0.34
cherry,1,7,76,6,5,,,,12,30.2,,1,0,0,55.9,111.8,111.8,16,,,0.169,0.837,0.107
cherry,1,8,76,7,6,,,,134,8.8,,9,8,1,82.6,82.6,82.6,95.9,,,11.167,0.291,1.478
cherry,1,9,76,7,6,,,,53,14.3,,9,3,2,62.2,62.2,62.2,63.4,,,4.417,0.474,1.113
cherry,1,10,76,1,2,0,,,30,135.5,,3,0,10,2207.8,11039,11039,3,,,NA,0.728,0.203
cherry,1,11,76,10,2,310,,,63,91.3,,9,7,5,2923.4,14617,14617,154.3,,,2.1,0.674,1.324
cherry,1,12,76,11,3,,,,80,31,,7,0,9,358.2,1074.6,1074.6,114.8,,,1.27,0.34,0.123
cherry,1,13,76,12,3,,,,32,20.6,,2,0,4,68.6,205.8,205.8,2.9,,,0.4,0.665,0.192
cherry,1,14,76,13,4,,,,26.5,9.6,,4,2,3,12,12,12,21.5,,,0.828,0.466,0.175
cherry,1,15,76,13,4,,,,17,16,,1,1,1,27.2,54.4,54.4,8.5,,,0.531,0.777,0.397
cherry,1,16,76,15,5,,,,41.5,9.8,,11,1,1,19.7,19.7,19.7,31.6,,,2.441,0.612,0.724
cherry,1,17,76,15,5,,,,36,10.1,,10,0,2,19.5,19.5,19.5,48.5,,,2.118,0.631,0.717
cherry,1,18,76,11,2,,,,22,90.8,,11,5,8,996.4,1992.8,1992.8,44.1,,,0.349,0.995,0.341
cherry,1,19,76,18,2,,,,88,75.6,,20,0,14,2823.5,5647,5647,108.7,,,4,0.833,2.834
cherry,1,20,76,19,3,,,,120,24,,25,3,0,295.7,295.7,295.7,285.2,,,1.364,0.317,0.105
cherry,1,21,76,19,3,,,,66.5,31.2,,10,3,12,330.5,330.5,330.5,58.2,,,0.756,0.413,0.117
cherry,1,22,76,21,3,,,,38.5,18.1,,6,0,5,66.9,66.9,66.9,81.3,,,0.579,0.58,0.202
cherry,1,23,76,2,2,,,,46.5,80,,0,0,8,1234.4,13578.4,13578.4,318.2,,,0.823,0.808,0.541
cherry,1,24,76,23,3,,,,36,29.3,,3,3,4,119.4,119.4,119.4,93.8,,,0.774,0.366,0.097
cherry,1,25,76,23,2,,,,114,73.1,,5,1,14,2844,28440,28440,277.6,,,2.452,0.914,2.304
cherry,1,26,76,25,3,,,,84.5,46.9,,15,0,2,732.1,3660.5,3660.5,203.2,,,0.741,0.642,0.257
cherry,1,27,76,25,2,,,,32,55.8,,5,0,4,437.9,2189.5,2189.5,243.6,,,0.281,0.763,0.154
cherry,1,28,76,27,3,,,,45,31,,13,2,1,180.8,542.4,542.4,,,,1.406,0.556,0.413
cherry,1,29,76,28,4,,,,62,13.8,,6,4,2,36.3,36.3,36.3,85.7,,,1.378,0.445,0.201
cherry,1,30,76,28,3,,,,47,41.3,,4,2,3,151.6,303.2,303.2,35.9,,,1.044,1.332,0.838
cherry,1,31,76,30,4,,,,120.5,23,,17,5,2,370.3,370.3,370.3,329.7,,,2.564,0.557,2.443
cherry,1,32,76,30,3,,,,58,28.1,,15,0,3,183.6,183.6,183.6,,,,1.234,0.68,1.211
cherry,1,33,76,32,4,,,,60,17.8,,10,4,1,94,94,94,136.2,,,1.034,0.633,0.512
cherry,1,34,89,26,4,,,,116,13.5,,23,1,4,108.9,108.9,108.9,150.3,,,1.373,0.288,0.149
cherry,1,35,89,26,3,,,,29.5,39.5,,3,1,1,206.4,825.6,825.6,10.4,,,0.349,0.842,0.282
cherry,1,36,89,35,4,,,,81,11.4,,13,5,2,70.2,140.4,140.4,70.9,,,2.746,0.289,0.34
cherry,1,37,89,36,5,,,,73,11,,16,0,4,50.8,50.8,50.8,93,,,0.901,0.965,0.724
cherry,1,38,89,36,5,,,,101,9.1,,19,1,2,51.7,51.7,51.7,66.7,,,1.247,0.798,0.736
cherry,1,39,89,35,4,,,,51,28.1,,6,3,0,236.7,473.4,473.4,257.6,,,1.729,0.711,1.147
cherry,1,40,89,39,5,,,,53.5,21.2,,8,2,0,115.1,115.1,115.1,308.8,,,1.049,0.754,0.486
cherry,1,41,89,39,5,,,,61.5,11.5,,8,5,1,55.3,55.3,55.3,95.6,,,1.206,0.409,0.234
cherry,1,42,89,27,3,,,,107,27.8,,15,13,1,318.5,318.5,318.5,376.5,,,3.344,0.498,0.727
cherry,1,43,89,27,3,,,,155,18.4,,19,6,3,234.4,234.4,234.4,135.8,,,4.844,0.33,0.535
cherry,1,44,89,1,2,120,,,139,121,,1,1,13,8054.4,96652.8,96652.8,9.8,,,NA,0.651,0.74
cherry,1,45,89,44,3,,,,25,76,,2,0,2,879.6,4398,4398,11.1,,,0.18,0.628,0.109
cherry,1,46,89,45,4,,,,55,11.3,,11,1,0,34.4,34.4,34.4,73.3,,,2.2,0.149,0.039
cherry,1,47,89,45,3,,,,34,76.8,,0,0,12,932.9,3731.6,3731.6,0,,,1.36,1.011,1.061
cherry,1,48,89,47,4,,,,123,53,,18,1,5,1625.6,6502.4,6502.4,393.7,,,3.618,0.69,1.743
cherry,1,49,89,48,5,,,,101.5,18.9,,15,5,3,252.1,252.1,252.1,377.2,,,0.825,0.357,0.155
cherry,1,50,89,48,4,,,,46.5,44.6,,10,2,0,406.2,1218.6,1218.6,339.5,,,0.378,0.842,0.25
cherry,1,51,89,50,5,,,,68,18.1,,8,10,3,116.9,116.9,116.9,180.2,,,1.462,0.406,0.288
cherry,1,52,89,50,5,,,,96,16.9,,15,12,0,131.3,131.3,131.3,139,,,2.065,0.379,0.323
cherry,1,53,89,50,4,,,,73,24.5,,9,9,9,254.7,254.7,254.7,554.7,,,1.57,0.549,0.627
cherry,1,54,89,44,2,,,,77.5,92,,6,0,15,3170.5,22193.5,22193.5,74.7,,,0.558,0.76,0.394
cherry,1,55,89,54,3,,,,41.5,17.7,,9,0,1,69.4,69.4,69.4,167,,,0.535,0.192,0.022
cherry,1,56,89,54,3,,,,67.5,17.5,,11,2,6,141.3,141.3,141.3,129.7,,,0.871,0.19,0.045
cherry,1,57,89,54,2,,,,73,81.5,,13,0,14,2529.1,12645.5,12645.5,334.2,,,0.942,0.886,0.798
cherry,1,58,89,57,3,,,,107,27.8,,15,3,6,561.9,561.9,561.9,968.3,,,1.466,0.341,0.222
cherry,1,59,89,57,3,,,,13.5,66,,0,0,3,,0,,0,,,0.185,0.81,NA
cherry,1,60,89,59,4,,,,129.5,20.6,,16,16,2,363.8,1455.2,1455.2,576.8,,,9.593,0.312,NA
cherry,1,61,89,60,4,,,,33,56.3,,4,0,6,838.2,3352.8,3352.8,27.8,,,0.255,2.733,2.304
cherry,1,62,89,61,5,,,,62,18,,8,0,1,75.1,75.1,75.1,129.1,,,1.879,0.32,0.09
cherry,1,63,89,61,5,,,,27.5,40,,2,0,2,204.2,408.4,408.4,21.9,,,0.833,0.71,0.244
cherry,1,64,89,63,6,,,,29,37.7,,7,1,1,170.2,170.2,170.2,,,,1.055,0.943,0.833
cherry,1,65,89,63,6,,,,37.5,22.1,,8,0,3,86.9,86.9,86.9,241,,,1.364,0.552,0.426
cherry,1,66,89,61,4,,,,102,34.4,,24,1,6,556.7,556.7,556.7,1099.6,,,3.091,0.611,0.664
cherry,7,0,108,,0,,,,,,,61,,,1763.6,0,,1171.8,,,NA,NA,NA
cherry,7,1,108,0,1,,,,84,159,170,3,3,11,7711.1,0,92533.2,2.6,,,NA,NA,NA
cherry,7,2,108,1,2,340,,,70,85,,5,0,10,2654.7,5309.4,5309.4,49,,,0.833,0.535,0.344
cherry,7,3,108,2,3,,,,21.5,28.9,,5,0,4,90.3,90.3,90.3,7.5,,,0.307,0.34,0.034
cherry,7,4,108,2,2,,,,28,88,,6,0,7,1037.2,1037.2,1037.2,28.9,,,0.4,1.035,0.391
cherry,7,5,108,4,3,,,,145,16.3,,18,9,5,224.7,224.7,224.7,118.4,,,5.179,0.185,0.217
cherry,7,6,108,1,2,210,,,82,95,,19,2,12,3165.7,22159.9,22159.9,172.7,,,0.976,0.597,0.411
cherry,7,7,108,6,3,,,,64.5,20.4,,6,0,13,102.3,102.3,102.3,45.3,,,0.787,0.215,0.032
cherry,7,8,108,6,3,,,,62,55.5,,5,3,7,826.5,4132.5,4132.5,43.5,,,0.756,0.584,0.261
cherry,7,9,108,8,4,,,,59,11.6,,10,6,1,42.3,42.3,42.3,81.8,,,0.952,0.209,0.051
cherry,7,10,108,8,4,,,,92.5,24.1,,10,2,13,220,220,220,100.21,,,1.492,0.434,0.266
cherry,7,11,108,8,4,,,,56,77,,6,1,8,533.2,1599.6,1599.6,33.4,,,0.903,1.387,0.645
cherry,7,12,108,11,5,,,,75,12.9,,9,4,0,52.6,52.6,52.6,52.8,,,1.339,0.168,0.099
cherry,7,13,108,11,5,,,,63,28.3,,13,0,4,225,225,225,110.2,,,1.125,0.368,0.422
cherry,7,14,108,11,5,,,,82,40.8,,10,1,3,427.6,427.6,427.6,264.9,,,1.464,0.53,0.802
cherry,7,15,108,20,3,,,,55,53.5,,6,1,10,966.9,966.9,966.9,343.3,,,3.235,0.706,2.361
cherry,7,16,108,1,2,130,,,35,87.5,,25,0,5,1227.2,1227.2,1227.2,104.4,,,0.417,0.55,0.159
cherry,7,17,108,1,2,55,,,49,122,,12,0,4,2390.5,4781,4781,60.1,,,0.583,0.767,0.31
cherry,7,18,108,17,3,,,,204.5,30.7,,29,1,4,939.2,939.2,939.2,503.5,,,4.173,0.252,0.393
cherry,7,19,108,17,2,,,,43,94,,20,1,6,1636,1636,1636,182.9,,,0.878,0.77,0.684
cherry,7,20,108,6,2,,,,17,75.8,,3,0,3,409.6,409.6,409.6,9.1,,,0.207,0.798,0.129
cherry,10,0,117,,0,,,,,,,0,,,0,0,,0,0,0,NA,NA,NA
cherry,10,1,117,0,1,,,,90.5,203,199,0,0,4,12700.6,0,241311.4,0,0,0,NA,NA,NA
cherry,10,2,117,1,2,250,,,37.5,156,,1,0,2,3125.2,31252,31252,,,,0.414,0.768,0.246
cherry,10,3,159,2,3,,,,189,94,,25,3,18,8526.9,59688.3,59688.3,424.4,350.9,13.4,5.04,0.603,2.728
cherry,10,4,117,2,3,,,,29.5,115,,7,0,6,1556.3,4668.9,4668.9,96.6,14.7,9.4,0.787,0.737,0.498
cherry,10,5,117,4,4,,,,107,32.2,,13,0,10,437.5,437.5,437.5,280.8,12.7,21.1,3.627,0.28,0.281
cherry,10,6,117,4,3,,,,81,104.5,,21,3,25,4551.6,9103.2,9103.2,123.5,40.1,9.3,2.746,0.909,2.925
cherry,10,7,117,6,4,,,,63,63.5,,11,0,5,1059.7,1059.7,1059.7,581.6,11.4,12.9,0.778,0.608,0.233
cherry,10,8,117,6,4,,,,97,24.8,,15,1,1,265.6,265.6,265.6,262.3,28.7,33.7,1.198,0.237,0.058
cherry,10,9,117,1,2,160,,,47,111,,3,0,3,2931.8,20522.6,20522.6,1.3,0,0,0.519,0.547,0.231
cherry,10,10,117,9,3,,,,85,59.2,,17,1,18,1504.1,1504.1,1504.1,209.2,57.8,21.2,1.809,0.533,0.513
cherry,10,11,117,10,3,,,,50,53.9,,10,3,8,510.5,510.5,510.5,47.1,14.1,5.1,0.588,0.91,0.339
cherry,10,12,117,11,3,,,,87.5,45.7,,21,0,9,466.5,466.5,466.5,391.9,19,18.3,1.75,0.848,0.914
cherry,10,13,117,9,2,,,,146,93.5,,12,1,14,5652,33912,33912,123.1,76.7,6.6,3.106,0.842,1.928
cherry,10,14,117,1,2,80,,,65,99,,10,6,16,0,0,0,66.4,21,7,0.718,0.488,0
