"","V1","V2","V3","V4","V5","V6"
"1","apple","3","1","1","0","5"
"2","apple","3","2","12","2","22"
"3","apple","3","3","10","3","13"
"4","apple","3","4","10","2","19"
"5","apple","3","5","0","0","1"
"6","apple","3","6","8","8","21"
"7","apple","3","7","0","0","8"
"8","apple","3","8","17","1","7"
"9","apple","3","9","1","0","8"
"10","apple","3","10","10","8","14"
"11","apple","3","11","3","3","21"
"12","apple","3","12","0","1","3"
"13","apple","3","13","16","0","3"
"14","apple","4","1","0","0","4"
"15","apple","4","2","5","0","11"
"16","apple","4","3","7","1","5"
"17","apple","4","4","23","6","29"
"18","apple","4","5","32","3","40"
"19","apple","4","6","19","6","23"
"20","apple","4","7","5","2","10"
"21","apple","4","8","8","2","20"
"22","apple","4","9","26","5","8"
"23","apple","4","10","10","1","16"
"24","apple","4","11","1","0","6"
"25","apple","4","12","14","1","12"
"26","apple","4","13","11","3","21"
"27","apple","4","14","2","4","6"
"28","apple","4","15","16","2","17"
"29","apple","4","16","4","4","7"
"30","apple","4","17","7","1","15"
"31","apple","4","18","10","2","18"
"32","apple","4","19","1","0","1"
"33","apple","4","20","18","3","10"
"34","apple","4","21","8","3","17"
"35","apple","4","22","15","9","13"
"36","apple","4","23","0","0","1"
"37","apple","4","24","14","8","18"
"38","apple","4","25","-1","4","5"
"39","apple","4","26","17","1","9"
"40","apple","5","1","0","0","11"
"41","apple","5","2","20","3","30"
"42","apple","5","3","8","5","23"
"43","apple","5","4","3","0","6"
"44","apple","5","5","6","1","10"
"45","apple","5","6","7","2","12"
"46","apple","5","7","16","3","33"
"47","apple","5","8","1","0","18"
"48","apple","5","9","5","0","14"
"49","apple","5","10","8","0","8"
"50","apple","5","11","22","3","15"
"51","apple","5","12","9","2","6"
"52","apple","5","13","13","2","25"
"53","apple","5","14","0","0","4"
"54","apple","5","15","14","4","16"
"55","apple","5","16","0","0","9"
"56","apple","5","17","22","1","16"
"57","apple","13","1","5","0","2"
"58","apple","13","2","11","2","20"
"59","apple","13","3","11","18","14"
"60","apple","13","4","19","3","23"
"61","apple","13","5","6","3","19"
"62","apple","13","6","14","6","29"
"63","apple","13","7","11","4","6"
"64","apple","13","8","6","1","18"
"65","apple","13","9","18","8","17"
"66","apple","13","10","2","3","5"
"67","apple","13","11","5","1","6"
"68","apple","13","12","17","3","3"
"69","apple","13","13","14","3","12"
"70","apple","13","14","2","1","11"
"71","apple","13","15","14","6","18"
"72","apple","13","16","8","15","9"
"73","apple","13","17","4","0","9"
"74","apple","13","18","0","0","2"
"75","apple","13","19","8","2","13"
"76","apple","13","20","2","0","4"
"77","apple","13","21","14","5","10"
"78","apple","13","22","1","2","6"
"79","apple","13","23","1","0","5"
"80","apple","13","24","7","0","16"
"81","apple","13","25","18","0","6"
"82","apple","13","26","0","2","13"
"83","apple","13","27","15","5","15"
"84","apple","14","1","0","2","10"
"85","apple","14","2","5","2","14"
"86","apple","14","3","3","0","3"
"87","apple","14","4","11","8","23"
"88","apple","14","5","19","3","13"
"89","apple","14","6","4","1","18"
"90","apple","14","7","9","12","13"
"91","apple","14","8","13","5","42"
"92","apple","14","9","6","1","9"
"93","apple","14","10","2","3","11"
"94","apple","14","11","9","8","12"
"95","apple","14","12","11","3","24"
"96","apple","14","13","17","3","6"
"97","apple","14","14","6","5","14"
"98","apple","14","15","7","3","12"
"99","apple","14","16","4","5","7"
"100","apple","14","17","22","7","16"
"101","apple","14","18","17","3","35"
"102","apple","14","19","10","15","16"
"103","apple","14","20","6","10","21"
"104","apple","14","21","16","0","19"
"105","apple","14","22","6","10","12"
"106","apple","14","23","19","10","20"
"107","apple","14","24","20","13","36"
"108","apple","14","25","26","6","26"
"109","apple","14","26","6","8","16"
"110","apple","14","27","20","0","14"
"111","apple","14","28","0","1","3"
"112","apple","14","29","23","7","16"
"113","apple","14","30","2","0","2"
"114","apple","14","31","13","3","13"
"115","apple","14","32","0","2","4"
"116","apple","14","33","16","5","20"
"117","apple","14","34","5","4","15"
"118","apple","14","35","11","10","19"
"119","apple","14","36","6","12","18"
"120","apple","14","37","6","12","3"
"121","apple","15","1","3","7","20"
"122","apple","15","2","8","4","12"
"123","apple","15","3","10","4","14"
"124","apple","15","4","32","15","15"
"125","apple","15","5","9","1","4"
"126","apple","15","6","2","2","8"
"127","apple","15","7","7","4","11"
"128","apple","15","8","7","3","15"
"129","apple","15","9","17","10","15"
"130","apple","15","10","8","8","6"
"131","apple","15","11","17","24","42"
"132","apple","15","12","23","6","41"
"133","apple","15","13","5","3","9"
"134","apple","15","14","9","11","11"
"135","apple","15","15","24","22","37"
"136","apple","15","16","18","0","7"
"137","apple","15","17","3","1","14"
"138","apple","15","18","20","0","13"
"139","apple","15","19","24","2","15"
"140","apple","15","20","1","2","7"
"141","apple","15","21","17","9","8"
"142","apple","15","22","13","8","16"
"143","apple","15","23","4","7","6"
"144","apple","15","24","8","21","12"
"145","apple","15","25","6","25","35"
